target,target_year,exclusion_reason,rows
cash_cover_months,2018,no_exact_prior_year,128
cash_cover_months,2019,boundary_flag,4
cash_cover_months,2019,eligible,121
cash_cover_months,2019,missing_or_ineligible_persistence,3
cash_cover_months,2020,boundary_flag,4
cash_cover_months,2020,eligible,123
cash_cover_months,2020,missing_target,1
cash_cover_months,2021,boundary_flag,4
cash_cover_months,2021,eligible,124
cash_cover_months,2022,boundary_flag,4
cash_cover_months,2022,eligible,122
cash_cover_months,2022,missing_or_ineligible_persistence,1
cash_cover_months,2022,missing_target,1
cash_cover_months,2023,boundary_flag,4
cash_cover_months,2023,eligible,124
cash_cover_months,2024,boundary_flag,4
cash_cover_months,2024,missing_target,124
cash_cover_months,2025,no_exact_future_year,128
maintenance_ratio_pct,2018,no_exact_prior_year,128
maintenance_ratio_pct,2019,boundary_flag,4
maintenance_ratio_pct,2019,eligible,119
maintenance_ratio_pct,2019,missing_or_ineligible_persistence,4
maintenance_ratio_pct,2019,missing_target,1
maintenance_ratio_pct,2020,boundary_flag,4
maintenance_ratio_pct,2020,eligible,120
maintenance_ratio_pct,2020,missing_or_ineligible_persistence,1
maintenance_ratio_pct,2020,missing_target,2
maintenance_ratio_pct,2020,target_maintenance_quality,1
maintenance_ratio_pct,2021,boundary_flag,4
maintenance_ratio_pct,2021,eligible,122
maintenance_ratio_pct,2021,missing_target,1
maintenance_ratio_pct,2021,target_maintenance_quality,1
maintenance_ratio_pct,2022,boundary_flag,4
maintenance_ratio_pct,2022,eligible,120
maintenance_ratio_pct,2022,missing_or_ineligible_persistence,2
maintenance_ratio_pct,2022,missing_target,2
maintenance_ratio_pct,2023,boundary_flag,4
maintenance_ratio_pct,2023,eligible,122
maintenance_ratio_pct,2023,missing_or_ineligible_persistence,1
maintenance_ratio_pct,2023,missing_target,1
maintenance_ratio_pct,2024,boundary_flag,4
maintenance_ratio_pct,2024,eligible,121
maintenance_ratio_pct,2024,missing_or_ineligible_persistence,2
maintenance_ratio_pct,2024,missing_target,1
maintenance_ratio_pct,2025,no_exact_future_year,128
operating_ratio_pct,2018,no_exact_prior_year,128
operating_ratio_pct,2019,boundary_flag,4
operating_ratio_pct,2019,eligible,121
operating_ratio_pct,2019,missing_or_ineligible_persistence,3
operating_ratio_pct,2020,boundary_flag,4
operating_ratio_pct,2020,eligible,122
operating_ratio_pct,2020,missing_or_ineligible_persistence,1
operating_ratio_pct,2020,missing_target,1
operating_ratio_pct,2021,boundary_flag,4
operating_ratio_pct,2021,eligible,124
operating_ratio_pct,2022,boundary_flag,4
operating_ratio_pct,2022,eligible,122
operating_ratio_pct,2022,missing_or_ineligible_persistence,1
operating_ratio_pct,2022,missing_target,1
operating_ratio_pct,2023,boundary_flag,4
operating_ratio_pct,2023,eligible,124
operating_ratio_pct,2024,boundary_flag,4
operating_ratio_pct,2024,missing_target,124
operating_ratio_pct,2025,no_exact_future_year,128
