target,test_year,model,MAE,RMSE,R2
cash_cover_months,2021,change_tree,4.062467284219704,5.3868706692819,-0.2096580969816979
cash_cover_months,2021,mean_change,3.902925013329779,5.264855640124672,-0.15548010982108318
cash_cover_months,2021,persistence,3.763886290322581,5.161601521916273,-0.11060209017378742
cash_cover_months,2022,change_tree,3.7267478884891463,5.142607582797522,-0.12591570151338694
cash_cover_months,2022,mean_change,3.844636535877452,5.044558129040729,-0.08339135452630653
cash_cover_months,2022,persistence,3.8477385245901634,5.047330219564385,-0.08458237423797899
cash_cover_months,2023,change_tree,4.035702716987314,5.417050288504099,-0.04138263341661985
cash_cover_months,2023,mean_change,3.8905551805750354,5.372566095320469,-0.02434943057332606
cash_cover_months,2023,persistence,3.786871774193548,5.315335869102813,-0.002642294914678045
maintenance_ratio_pct,2021,change_tree,26.923379115890892,54.57942621761792,-0.11201943927918623
maintenance_ratio_pct,2021,mean_change,24.309252298890893,52.1509514882858,-0.015263845446475077
maintenance_ratio_pct,2021,persistence,23.385954033946543,51.782976825578416,-0.000987083896203611
maintenance_ratio_pct,2022,change_tree,22.57828813466349,32.84915269493062,-0.07024151960794112
maintenance_ratio_pct,2022,mean_change,20.972387548191072,32.44928925123627,-0.04434460813383678
maintenance_ratio_pct,2022,persistence,21.067458450461512,32.59358846820423,-0.05365348259560743
maintenance_ratio_pct,2023,change_tree,24.89405640497838,37.57954191351908,-0.5618537620448341
maintenance_ratio_pct,2023,mean_change,21.031756787048263,30.27014206543771,-0.013365985564582017
maintenance_ratio_pct,2023,persistence,21.010704084717272,30.258038203109702,-0.012555735644248722
maintenance_ratio_pct,2024,change_tree,24.099976649369967,35.83107932613798,0.14319247903192012
maintenance_ratio_pct,2024,mean_change,23.303179394106518,39.07715143808078,-0.01908236199814728
maintenance_ratio_pct,2024,persistence,22.852550135630697,38.875925778154446,-0.008613966712004428
operating_ratio_pct,2021,change_tree,6.513479919556958,8.450140602924034,-0.050941659275642204
operating_ratio_pct,2021,mean_change,7.534328845641162,9.781594731802876,-0.4082185725818839
operating_ratio_pct,2021,persistence,6.393951612903226,8.47301318418394,-0.056638672367435916
operating_ratio_pct,2022,change_tree,8.634763699202146,10.567620763125104,-0.5799773628371807
operating_ratio_pct,2022,mean_change,9.95147743371787,12.117902315067738,-1.0775492128319786
operating_ratio_pct,2022,persistence,7.8204918032786885,9.993560467604732,-0.4129829285372404
operating_ratio_pct,2023,change_tree,6.5187176388648576,8.62626418968974,-0.019968640273392735
operating_ratio_pct,2023,mean_change,6.641771996132547,8.61508046378761,-0.0173256293522992
operating_ratio_pct,2023,persistence,6.615161290322581,8.551434514633467,-0.0023496851274573682
