target,test_year,model,node,n,prediction
operating_ratio_pct,2021,full_level_tree,1,27,-7.816666666666667
operating_ratio_pct,2021,full_level_tree,4,47,-0.9272340425531912
operating_ratio_pct,2021,full_level_tree,5,20,1.6140000000000003
operating_ratio_pct,2021,full_level_tree,6,27,6.330740740740739
operating_ratio_pct,2021,fiscal_only_tree,1,27,-7.816666666666667
operating_ratio_pct,2021,fiscal_only_tree,4,47,-0.9272340425531914
operating_ratio_pct,2021,fiscal_only_tree,5,20,1.6139999999999994
operating_ratio_pct,2021,fiscal_only_tree,6,27,6.330740740740742
operating_ratio_pct,2021,change_tree,2,20,4.115499999999999
operating_ratio_pct,2021,change_tree,3,22,-0.21772727272727269
operating_ratio_pct,2021,change_tree,6,21,-1.2576190476190479
operating_ratio_pct,2021,change_tree,7,38,-5.703947368421053
operating_ratio_pct,2021,change_tree,8,20,-11.712
operating_ratio_pct,2022,full_level_tree,2,29,-11.243448275862068
operating_ratio_pct,2022,full_level_tree,3,38,-4.115000000000001
operating_ratio_pct,2022,full_level_tree,6,26,2.7611538461538454
operating_ratio_pct,2022,full_level_tree,7,106,-1.013018867924528
operating_ratio_pct,2022,full_level_tree,9,23,3.5278260869565226
operating_ratio_pct,2022,full_level_tree,10,21,9.185714285714287
operating_ratio_pct,2022,fiscal_only_tree,2,29,-11.243448275862068
operating_ratio_pct,2022,fiscal_only_tree,3,38,-4.114999999999999
operating_ratio_pct,2022,fiscal_only_tree,6,26,2.761153846153846
operating_ratio_pct,2022,fiscal_only_tree,7,106,-1.0130188679245287
operating_ratio_pct,2022,fiscal_only_tree,9,23,3.5278260869565217
operating_ratio_pct,2022,fiscal_only_tree,10,21,9.185714285714287
operating_ratio_pct,2022,change_tree,2,20,5.261500000000001
operating_ratio_pct,2022,change_tree,4,20,3.1365000000000007
operating_ratio_pct,2022,change_tree,5,61,-2.0659016393442617
operating_ratio_pct,2022,change_tree,8,25,-0.7284
operating_ratio_pct,2022,change_tree,9,93,-5.722043010752687
operating_ratio_pct,2022,change_tree,10,24,-12.474583333333335
operating_ratio_pct,2023,full_level_tree,1,22,-14.816363636363635
operating_ratio_pct,2023,full_level_tree,4,119,-2.671092436974793
operating_ratio_pct,2023,full_level_tree,5,168,0.7941666666666665
operating_ratio_pct,2023,full_level_tree,7,20,12.813999999999998
operating_ratio_pct,2023,full_level_tree,8,38,5.001052631578949
operating_ratio_pct,2023,fiscal_only_tree,1,22,-14.816363636363638
operating_ratio_pct,2023,fiscal_only_tree,4,119,-2.6710924369747904
operating_ratio_pct,2023,fiscal_only_tree,5,168,0.7941666666666665
operating_ratio_pct,2023,fiscal_only_tree,7,20,12.813999999999998
operating_ratio_pct,2023,fiscal_only_tree,8,38,5.001052631578949
operating_ratio_pct,2023,change_tree,2,32,7.347187499999998
operating_ratio_pct,2023,change_tree,4,52,0.7369230769230769
operating_ratio_pct,2023,change_tree,5,30,5.1919999999999975
operating_ratio_pct,2023,change_tree,8,157,-2.182738853503184
operating_ratio_pct,2023,change_tree,9,76,-5.388289473684209
operating_ratio_pct,2023,change_tree,10,20,-12.077499999999997
cash_cover_months,2021,full_level_tree,2,38,7.201315789473684
cash_cover_months,2021,full_level_tree,4,31,10.889999999999999
cash_cover_months,2021,full_level_tree,5,22,14.377727272727276
cash_cover_months,2021,full_level_tree,6,30,21.670666666666666
cash_cover_months,2021,fiscal_only_tree,2,38,7.201315789473685
cash_cover_months,2021,fiscal_only_tree,4,31,10.89
cash_cover_months,2021,fiscal_only_tree,5,22,14.377727272727272
cash_cover_months,2021,fiscal_only_tree,6,30,21.670666666666666
cash_cover_months,2021,change_tree,1,24,2.0300000000000007
cash_cover_months,2021,change_tree,4,20,-3.9935
cash_cover_months,2021,change_tree,5,20,-1.4600000000000004
cash_cover_months,2021,change_tree,7,37,0.9937837837837835
cash_cover_months,2021,change_tree,8,20,-0.6504999999999999
cash_cover_months,2022,full_level_tree,3,21,5.100476190476191
cash_cover_months,2022,full_level_tree,4,61,8.971147540983605
cash_cover_months,2022,full_level_tree,6,58,11.612068965517237
cash_cover_months,2022,full_level_tree,7,45,14.645333333333337
cash_cover_months,2022,full_level_tree,9,39,18.945641025641027
cash_cover_months,2022,full_level_tree,10,20,27.011000000000003
cash_cover_months,2022,fiscal_only_tree,3,21,5.100476190476191
cash_cover_months,2022,fiscal_only_tree,4,61,8.971147540983607
cash_cover_months,2022,fiscal_only_tree,6,58,11.61206896551724
cash_cover_months,2022,fiscal_only_tree,7,45,14.64533333333333
cash_cover_months,2022,fiscal_only_tree,9,39,18.945641025641024
cash_cover_months,2022,fiscal_only_tree,10,20,27.011000000000003
cash_cover_months,2022,change_tree,2,20,3.3455000000000004
cash_cover_months,2022,change_tree,4,61,1.2088524590163934
cash_cover_months,2022,change_tree,5,79,-0.36645569620253166
cash_cover_months,2022,change_tree,8,33,0.09181818181818169
cash_cover_months,2022,change_tree,9,30,-5.089333333333333
cash_cover_months,2022,change_tree,10,21,1.9228571428571426
cash_cover_months,2023,full_level_tree,3,36,5.979255555555557
cash_cover_months,2023,full_level_tree,4,43,7.9955116279069784
cash_cover_months,2023,full_level_tree,6,32,16.035343750000003
cash_cover_months,2023,full_level_tree,7,152,11.771648684210522
cash_cover_months,2023,full_level_tree,10,32,21.051359375
cash_cover_months,2023,full_level_tree,11,49,17.00937142857143
cash_cover_months,2023,full_level_tree,12,24,30.730649999999997
cash_cover_months,2023,fiscal_only_tree,3,36,5.979255555555556
cash_cover_months,2023,fiscal_only_tree,4,43,7.995511627906976
cash_cover_months,2023,fiscal_only_tree,6,32,16.035343750000003
cash_cover_months,2023,fiscal_only_tree,7,152,11.771648684210527
cash_cover_months,2023,fiscal_only_tree,10,32,21.051359374999993
cash_cover_months,2023,fiscal_only_tree,11,49,17.009371428571423
