target,test_year,model,feature
operating_ratio_pct,2021,full_level_tree,operating_ratio_pct__prior
operating_ratio_pct,2021,full_level_tree,maintenance_ratio_pct__prior
operating_ratio_pct,2021,fiscal_only_tree,operating_ratio_pct__prior
operating_ratio_pct,2021,fiscal_only_tree,maintenance_ratio_pct__prior
operating_ratio_pct,2021,change_tree,operating_ratio_pct__prior
operating_ratio_pct,2021,change_tree,own_source_pct__prior
operating_ratio_pct,2021,change_tree,road_km__prior
operating_ratio_pct,2022,full_level_tree,operating_ratio_pct__prior
operating_ratio_pct,2022,full_level_tree,debt_service_cover__prior
operating_ratio_pct,2022,full_level_tree,population__prior
operating_ratio_pct,2022,fiscal_only_tree,operating_ratio_pct__prior
operating_ratio_pct,2022,fiscal_only_tree,debt_service_cover__prior
operating_ratio_pct,2022,fiscal_only_tree,population__prior
operating_ratio_pct,2022,change_tree,operating_ratio_pct__prior
operating_ratio_pct,2022,change_tree,own_source_pct__prior
operating_ratio_pct,2022,change_tree,population__prior
operating_ratio_pct,2022,change_tree,road_km__prior
operating_ratio_pct,2023,full_level_tree,operating_ratio_pct__prior
operating_ratio_pct,2023,full_level_tree,own_source_pct__prior
operating_ratio_pct,2023,fiscal_only_tree,operating_ratio_pct__prior
operating_ratio_pct,2023,fiscal_only_tree,own_source_pct__prior
operating_ratio_pct,2023,change_tree,operating_ratio_pct__prior
operating_ratio_pct,2023,change_tree,debt_service_cover__prior
cash_cover_months,2021,full_level_tree,cash_cover_months__prior
cash_cover_months,2021,fiscal_only_tree,cash_cover_months__prior
cash_cover_months,2021,change_tree,operating_ratio_pct__prior
cash_cover_months,2021,change_tree,own_source_pct__prior
cash_cover_months,2021,change_tree,population__prior
cash_cover_months,2022,full_level_tree,cash_cover_months__prior
cash_cover_months,2022,fiscal_only_tree,cash_cover_months__prior
cash_cover_months,2022,change_tree,cash_cover_months__prior
cash_cover_months,2022,change_tree,own_source_pct__prior
cash_cover_months,2022,change_tree,debt_service_cover__prior
cash_cover_months,2022,change_tree,maintenance_ratio_pct__prior
cash_cover_months,2023,full_level_tree,cash_cover_months__prior
cash_cover_months,2023,full_level_tree,own_source_pct__prior
cash_cover_months,2023,full_level_tree,debt_service_cover__prior
cash_cover_months,2023,fiscal_only_tree,cash_cover_months__prior
cash_cover_months,2023,fiscal_only_tree,own_source_pct__prior
cash_cover_months,2023,fiscal_only_tree,debt_service_cover__prior
cash_cover_months,2023,change_tree,cash_cover_months__prior
cash_cover_months,2023,change_tree,own_source_pct__prior
cash_cover_months,2023,change_tree,population__prior
maintenance_ratio_pct,2021,full_level_tree,maintenance_ratio_pct__prior
maintenance_ratio_pct,2021,full_level_tree,road_km__prior
maintenance_ratio_pct,2021,fiscal_only_tree,maintenance_ratio_pct__prior
maintenance_ratio_pct,2021,fiscal_only_tree,road_km__prior
maintenance_ratio_pct,2021,change_tree,current_ratio__prior
maintenance_ratio_pct,2021,change_tree,maintenance_ratio_pct__prior
maintenance_ratio_pct,2022,full_level_tree,maintenance_ratio_pct__prior
maintenance_ratio_pct,2022,full_level_tree,population__prior
maintenance_ratio_pct,2022,fiscal_only_tree,maintenance_ratio_pct__prior
maintenance_ratio_pct,2022,fiscal_only_tree,population__prior
maintenance_ratio_pct,2022,change_tree,current_ratio__prior
maintenance_ratio_pct,2022,change_tree,maintenance_ratio_pct__prior
maintenance_ratio_pct,2023,full_level_tree,maintenance_ratio_pct__prior
maintenance_ratio_pct,2023,full_level_tree,population__prior
maintenance_ratio_pct,2023,fiscal_only_tree,maintenance_ratio_pct__prior
maintenance_ratio_pct,2023,fiscal_only_tree,population__prior
maintenance_ratio_pct,2023,change_tree,operating_ratio_pct__prior
maintenance_ratio_pct,2023,change_tree,maintenance_ratio_pct__prior
maintenance_ratio_pct,2023,change_tree,population__prior
maintenance_ratio_pct,2024,full_level_tree,operating_ratio_pct__prior
maintenance_ratio_pct,2024,full_level_tree,maintenance_ratio_pct__prior
maintenance_ratio_pct,2024,full_level_tree,population__prior
maintenance_ratio_pct,2024,full_level_tree,road_km__prior
maintenance_ratio_pct,2024,fiscal_only_tree,operating_ratio_pct__prior
maintenance_ratio_pct,2024,fiscal_only_tree,maintenance_ratio_pct__prior
maintenance_ratio_pct,2024,fiscal_only_tree,population__prior
maintenance_ratio_pct,2024,fiscal_only_tree,road_km__prior
maintenance_ratio_pct,2024,change_tree,maintenance_ratio_pct__prior
maintenance_ratio_pct,2024,change_tree,population__prior
