target,test_year,n,prior_mean,outcome_mean,actual_change_mean,actual_change_sd,predicted_adjustment_mean,tree_bias,tree_mae,persistence_mae
cash_cover_months,2021,124,13.210887096774194,14.839758870967742,1.6288717741935483,4.917716825786912,-0.5482549390338016,-2.17712671322735,4.471395478983383,3.7638862903225805
cash_cover_months,2022,122,13.735737704918034,15.145254918032787,1.409517213114754,4.866510650848844,-0.37840886590882455,-1.7879260790235785,4.101850775942095,3.847738524590164
cash_cover_months,2023,124,14.839758870967742,14.566893548387098,-0.27286532258064505,5.32986229761632,0.6405620883839374,0.9134274109645825,4.375691456370711,3.786871774193548
maintenance_ratio_pct,2021,122,106.62468142857084,104.99857184478532,-1.626109583785538,51.97087230123221,0.4944300745349678,2.120539658320505,19.4536869719581,23.385954033946547
maintenance_ratio_pct,2022,120,102.76759736657829,110.12258984151164,7.354992474933354,31.886027522854448,3.0933835172704116,-4.261608957662943,21.51393965032245,21.06745845046151
maintenance_ratio_pct,2023,122,104.99857184478532,108.36797035461186,3.3693985098265475,30.19385242134874,1.9956934654449001,-1.3737050443816474,21.13556686474218,21.010704084717275
maintenance_ratio_pct,2024,121,109.28059374329776,105.68790287589351,-3.592690867404239,38.870517048081254,-2.2392071284208046,1.3534837389834335,21.524320801266583,22.852550135630697
operating_ratio_pct,2021,124,-0.5108870967741935,1.4508064516129033,1.9616935483870968,8.276236991205133,-2.2692338010625592,-4.230927349449655,6.987842624367676,6.393951612903226
operating_ratio_pct,2022,122,-1.6644262295081966,3.7383606557377047,5.402786885245901,8.441876946743468,-1.6640516655979478,-7.066838550843849,8.583122478140202,7.8204918032786885
operating_ratio_pct,2023,124,1.4508064516129033,1.0367741935483872,-0.41403225806451605,8.576056470448222,-1.2489049721833487,-0.8348727141188328,6.646727481168421,6.615161290322581
