council_key,council_display_name,n,tree_MAE,persistence_MAE,ridge_MAE,tree_excess_MAE
carrathool,Carrathool,3,19.48008641975309,14.496666666666664,20.53598786866324,4.983419753086425
warren,Warren,3,18.813181657848325,2.3899999999999992,15.32734451577563,16.423181657848325
balranald,Balranald,3,16.469837606837604,13.276666666666666,11.603826026945589,3.1931709401709387
hills,The Hills,1,16.255833333333335,9.98,14.547101112715424,6.275833333333335
warrumbungle,Warrumbungle,3,15.27183962264151,12.276666666666666,12.917845269429208,2.9951729559748443
murrayriver,Murray River,3,15.255416231278298,18.48333333333333,16.15328344030581,-3.2279171020550326
tenterfield,Tenterfield,3,14.97736006546645,14.853333333333332,18.523031242889516,0.12402673213311743
coonamble,Coonamble,3,13.599837606837605,13.653333333333334,9.506570603102436,-0.0534957264957292
dungog,Dungog,3,13.514507140369211,7.84,17.323464022294235,5.6745071403692116
kyogle,Kyogle,3,13.339426042394598,12.713333333333331,12.644481867816424,0.6260927090612665
lithgow,Lithgow,3,13.3225,11.626666666666667,11.128671830707924,1.6958333333333329
murrumbidgee,Murrumbidgee,3,13.174760536398468,13.763333333333335,10.242325335318695,-0.5885727969348675
wentworth,Wentworth,3,13.107895178197063,8.479999999999999,8.082021412684897,4.627895178197065
bogan,Bogan,3,13.087115384615386,9.436666666666666,10.795784921819708,3.65044871794872
centralcoast,Central Coast,3,12.741982758620688,13.923333333333334,12.403238595311398,-1.1813505747126456
hawkesbury,Hawkesbury,3,12.543727136991414,10.33,13.494617777279126,2.213727136991414
cabonne,Cabonne,3,12.365040598778029,12.163333333333334,11.305477197461997,0.20170726544469453
narrandera,Narrandera,3,11.468473409306744,11.270000000000001,8.697152491296746,0.19847340930674306
bellingen,Bellingen,3,10.670204678362573,9.139999999999999,9.409454287141537,1.5302046783625745
gleninnessevern,Glen Innes Severn,2,10.500416666666666,7.795,8.34388264415562,2.7054166666666664
walcha,Walcha,3,10.406022458628842,9.04,9.7340814737666,1.3660224586288425
edwardriver,Edward River,3,10.365666666666668,9.353333333333333,14.331834625921312,1.0123333333333342
northernbeaches,Northern Beaches,3,10.328649425287358,7.36,7.886275347012135,2.9686494252873574
huntershill,Hunters Hill,3,10.171270637408568,10.56,6.006868705484197,-0.3887293625914321
upperhunter,Upper Hunter,3,9.787840473702545,7.330000000000001,15.015091711196135,2.457840473702544
bland,Bland,3,9.692137701804368,5.81,9.308281156167396,3.8821377018043686
wollongong,Wollongong,3,9.662604821802935,9.616666666666667,8.245153744695168,0.045938155136267866
richmondvalley,Richmond Valley,3,9.343524743230626,8.016666666666666,8.251031300279736,1.3268580765639602
bathurst,Bathurst Regional,3,9.332082897944966,6.25,5.672828317113577,3.082082897944966
shellharbour,Shellharbour,3,9.233695115405261,11.61,9.51709068195735,-2.376304884594738
coffsharbour,Coffs Harbour,3,9.182028747937018,6.586666666666667,9.286236361563583,2.595362081270351
muswellbrook,Muswellbrook,3,9.11575550187869,5.453333333333333,10.314193941617338,3.6624221685453566
hilltops,Hilltops,3,9.0780938697318,14.38,9.244129636881405,-5.3019061302682005
walgett,Walgett,3,9.0766974789916,7.076666666666665,6.357176369125909,2.000030812324934
narromine,Narromine,3,9.069833202476179,11.176666666666668,10.023117475164922,-2.1068334641904887
federation,Federation,3,9.014253034547153,9.723333333333334,7.717013942575865,-0.7090802987861817
uralla,Uralla,3,8.883735793167842,6.8133333333333335,4.351823129150625,2.0704024598345088
woollahra,Woollahra,3,8.743735793167843,10.773333333333332,7.80405732791395,-2.029597540165488
brokenhill,Broken Hill,3,8.735833333333334,12.433333333333332,8.562022218203895,-3.697499999999998
begavalley,Bega Valley,3,8.648084303492572,5.9799999999999995,7.8378189581481505,2.6680843034925728
bluemountains,Blue Mountains,3,8.54593815513627,8.86,6.9357528325458935,-0.3140618448637298
cessnock,Cessnock,3,8.505466903073286,7.903333333333333,9.107256036458779,0.6021335697399524
liverpoolplains,Liverpool Plains,3,8.471048415186345,18.966666666666665,8.124437862193007,-10.49561825148032
byron,Byron,3,8.323735793167844,7.63,6.680451948268356,0.6937357931678436
gwydir,Gwydir,3,8.201565656565656,9.696666666666667,6.634961193094444,-1.4951010101010116
orange,Orange,3,8.038695414603684,2.59,8.118573060956377,5.448695414603684
hay,Hay,3,7.980606837606838,8.713333333333335,7.593139828461954,-0.7327264957264967
lockhart,Lockhart,3,7.948562141168523,9.176666666666666,8.260881985291597,-1.2281045254981429
hills,Hills,2,7.916139063591895,6.02,7.85321301107543,1.896139063591895
tweed,Tweed,3,7.758284067085953,2.893333333333333,9.502307495333532,4.86495073375262
lanecove,Lane Cove,3,7.7582840670859525,4.62,8.583600828311226,3.1382840670859524
georgesriver,Georges River,3,7.710919701213821,7.423333333333333,6.952481712644129,0.28758636788048797
newcastle,Newcastle,3,7.679513570945621,6.219999999999999,5.551348149209815,1.4595135709456217
junee,Junee,3,7.6440175438596505,8.016666666666667,4.826518898287922,-0.372649122807017
bayside,Bayside,3,7.628695414603684,4.8,9.568789915684752,2.8286954146036845
clarencevalley,Clarence Valley,3,7.471944444444445,5.206666666666667,4.405772474888855,2.2652777777777784
upperlachlan,Upper Lachlan,3,7.44951357094562,7.203333333333333,4.579957892707873,0.24618023761228702
snowymonaro,Snowy Monaro Regional,3,7.363007501851314,14.276666666666666,9.283282289082575,-6.913659164815352
portstephens,Port Stephens,3,7.228506289308176,4.14,6.034626260010463,3.0885062893081763
narrabri,Narrabri,3,7.181839622641509,3.8033333333333332,5.234254782130356,3.378506289308176
portmacquariehastings,Port Macquarie-Hastings,3,7.120435180685557,7.1499999999999995,8.320193189379692,-0.02956481931444266
blayney,Blayney,3,7.017586367880487,5.3500000000000005,3.7404030101521477,1.667586367880486
strathfield,Strathfield,3,6.95607508153665,6.1433333333333335,7.872592818685127,0.8127417482033161
moreeplains,Moree Plains,3,6.832952798140535,8.556666666666667,6.703855395640424,-1.723713868526132
dubbo,Dubbo Regional,3,6.66040245983451,4.283333333333333,3.2886009060185906,2.377069126501177
mosman,Mosman,3,6.538284067085954,4.406666666666667,7.886361102685737,2.1316174004192865
cowra,Cowra,3,6.488695414603684,2.6799999999999997,5.733449075865585,3.808695414603684
queanbeyanpalerang,Queanbeyan-Palerang Regional,3,6.473364145658263,6.223333333333333,3.753326712608579,0.25003081232493063
brewarrina,Brewarrina,3,6.43409069325736,15.173333333333332,8.063704854757473,-8.739242640075972
gilgandra,Gilgandra,3,6.42397117657756,3.206666666666667,6.872859739800464,3.2173045099108926
kempsey,Kempsey,3,6.408506289308176,4.6866666666666665,5.710117367569032,1.7218396226415091
weddin,Weddin,3,6.338140127846009,6.6066666666666665,9.11447456646742,-0.268526538820657
maitland,Maitland,3,6.219049266247379,9.753333333333334,6.7804137012205175,-3.534284067085955
greaterhume,Greater Hume,3,6.196197699205467,7.496666666666667,5.627362880858911,-1.3004689674612004
waggawagga,Wagga Wagga,3,5.926340835184647,2.8333333333333335,4.438773883353717,3.093007501851314
leeton,Leeton,3,5.761616328360642,8.783333333333333,4.457042548349346,-3.0217170049726914
ryde,Ryde,3,5.725362081270351,1.4000000000000001,5.830275495028165,4.325362081270351
campbelltown,Campbelltown,3,5.672028747937017,5.246666666666666,5.966183544733191,0.42536208127035113
canterburybankstown,Canterbury-Bankstown,3,5.670191409897292,5.02,4.9618320007940255,0.6501914098972925
snowyvalleys,Snowy Valleys,3,5.657586367880487,7.16,3.6617742012996395,-1.502413632119513
bourke,Bourke,3,5.627304509910893,5.383333333333333,5.72504854045122,0.24397117657755985
nambuccavalley,Nambucca Valley,3,5.556022458628842,6.016666666666667,5.959615557995291,-0.4606442080378246
gunnedah,Gunnedah,3,5.508759375727929,1.1966666666666672,7.674403486574486,4.312092709061262
camden,Camden,3,5.471896390740203,8.773333333333333,6.31902260258813,-3.3014369425931305
coolamon,Coolamon,3,5.444761904761903,5.506666666666665,8.853150107706162,-0.061904761904761685
midcoast,Mid-Coast,3,5.399166666666667,3.4766666666666666,5.101468519521171,1.9225000000000003
sydney,Sydney,3,5.309619464807201,5.55,4.7031389425071,-0.24038053519279856
blacktown,Blacktown,3,5.2437357931678426,3.1,2.443665982641987,2.1437357931678425
parramatta,Parramatta,3,5.065362081270351,3.74,6.758406788997575,1.3253620812703506
singleton,Singleton,3,5.057115115817504,4.47,4.064672164188724,0.5871151158175039
northsydney,North Sydney,3,5.041284067085955,5.043333333333333,4.244146945175044,-0.002049266247378334
randwick,Randwick,3,5.034950733752621,2.646666666666667,12.860051438615116,2.3882840670859538
lakemacquarie,Lake Macquarie,3,4.984617400419287,2.9333333333333336,4.1563580428570015,2.0512840670859536
fairfield,Fairfield,3,4.891617400419286,3.3966666666666665,5.712498770130846,1.4949507337526198
hornsby,Hornsby,3,4.705625754115377,4.626666666666667,3.8949167730721594,0.07895908744870983
waverley,Waverley,3,4.69091970121382,4.6066666666666665,2.875267624853983,0.08425303454715394
eurobodalla,Eurobodalla,3,4.559969135802469,6.123333333333334,6.794278412067438,-1.5633641975308645
parkes,Parkes,3,4.476400092966257,3.793333333333333,4.194901508035467,0.6830667596329238
centraldarling,Central Darling,3,4.4607573599240276,9.293333333333335,7.763560560031631,-4.832575973409307
griffith,Griffith,3,4.421473192381462,2.32,4.948075725010926,2.101473192381462
berrigan,Berrigan,3,4.412884884182496,8.49,6.010297992414816,-4.077115115817504
burwood,Burwood,3,4.387069126501177,5.456666666666667,4.470615621096845,-1.06959754016549
kuringgai,Ku-ring-gai,3,4.33495073375262,1.8533333333333335,5.449449404908481,2.481617400419286
kiama,Kiama,2,4.318484848484848,2.125,8.786559812379112,2.1934848484848484
sutherland,Sutherland,3,4.314806525714795,2.373333333333333,3.928044203199766,1.941473192381462
liverpool,Liverpool,3,4.2335247432306256,2.99,2.7850509485822905,1.2435247432306253
forbes,Forbes,3,4.089291348723397,7.739999999999999,5.509119497714525,-3.6507086512766023
goulburnmulwaree,Goulburn Mulwaree,3,4.004395178197065,5.683333333333334,4.234387778704678,-1.6789381551362688
yassvalley,Yass Valley,3,3.959969135802469,6.8566666666666665,4.332164205364715,-2.8966975308641976
lismore,Lismore,3,3.9449496616939754,3.516666666666667,2.67931738925993,0.4282829950273084
cumberland,Cumberland,3,3.7986954146036847,0.9700000000000001,4.420253223974889,2.8286954146036845
wollondilly,Wollondilly,3,3.6918963907402023,3.1166666666666667,1.7405303530005793,0.5752297240735356
shoalhaven,Shoalhaven,3,3.580191409897291,3.046666666666667,2.5586155990141877,0.533524743230624
cootamundragundagai,Cootamundra-Gundagai Regional,3,3.5363408351846473,8.016666666666667,3.0280187271032766,-4.48032583148202
penrith,Penrith,3,3.245040598778028,2.84,1.8674187933442978,0.4050405987780281
midwestern,Mid-Western Regional,3,2.9420087255174985,6.496666666666666,3.2487474690832,-3.5546579411491677
ballina,Ballina,3,2.7920287479370174,3.11,3.2128384788650592,-0.3179712520629825
temora,Temora,3,2.68397117657756,3.58,4.329310077520016,-0.8960288234224403
albury,Albury,3,2.352224506824005,4.38,2.310178146706004,-2.027775493175995
wingecarribee,Wingecarribee,3,2.340279842165691,6.033333333333334,1.9979387017270227,-3.693053491167643
tamworth,Tamworth Regional,3,1.664806525714795,1.5333333333333332,3.0938063476382447,0.13147319238146182
innerwest,Inner West,3,1.6622924207820435,3.6899999999999995,1.6158569058200694,-2.0277075792179557
canadabay,Canada Bay,3,1.0866828359873322,1.7299999999999998,2.2318618405360433,-0.6433171640126676
willoughby,Willoughby,3,0.8096194648072009,3.0233333333333334,1.582147335892406,-2.2137138685261326
oberon,Oberon,3,0.7288684191625383,3.5066666666666664,2.5903743318433072,-2.777798247504128
