target,test_year,test_fy,status,training_candidate_rows,training_rows,training_excluded_rows,training_councils,training_distinct_outcome_years,training_outcome_years,test_candidate_rows,test_rows,test_excluded_rows,test_councils,test_distinct_outcome_years,source_rows,source_councils,source_distinct_years
operating_ratio_pct,2018,2018-19,skipped,0,0,0,0,0,,128,0,128,0,0,1024,128,8
operating_ratio_pct,2019,2019-20,skipped,0,0,0,0,0,,128,121,7,121,1,1024,128,8
operating_ratio_pct,2020,2020-21,skipped,0,0,0,0,0,,128,122,6,122,1,1024,128,8
operating_ratio_pct,2021,2021-22,evaluated,128,121,7,121,1,2019,128,124,4,124,1,1024,128,8
operating_ratio_pct,2022,2022-23,evaluated,256,243,13,124,2,2019|2020,128,122,6,122,1,1024,128,8
operating_ratio_pct,2023,2023-24,evaluated,384,367,17,124,3,2019|2020|2021,128,124,4,124,1,1024,128,8
operating_ratio_pct,2024,2024-25,skipped,512,489,23,124,4,2019|2020|2021|2022,128,0,128,0,0,1024,128,8
operating_ratio_pct,2025,2025-26,skipped,640,613,27,124,5,2019|2020|2021|2022|2023,128,0,128,0,0,1024,128,8
cash_cover_months,2018,2018-19,skipped,0,0,0,0,0,,128,0,128,0,0,1024,128,8
cash_cover_months,2019,2019-20,skipped,0,0,0,0,0,,128,121,7,121,1,1024,128,8
cash_cover_months,2020,2020-21,skipped,0,0,0,0,0,,128,123,5,123,1,1024,128,8
cash_cover_months,2021,2021-22,evaluated,128,121,7,121,1,2019,128,124,4,124,1,1024,128,8
cash_cover_months,2022,2022-23,evaluated,256,244,12,124,2,2019|2020,128,122,6,122,1,1024,128,8
cash_cover_months,2023,2023-24,evaluated,384,368,16,124,3,2019|2020|2021,128,124,4,124,1,1024,128,8
cash_cover_months,2024,2024-25,skipped,512,490,22,124,4,2019|2020|2021|2022,128,0,128,0,0,1024,128,8
cash_cover_months,2025,2025-26,skipped,640,614,26,124,5,2019|2020|2021|2022|2023,128,0,128,0,0,1024,128,8
maintenance_ratio_pct,2018,2018-19,skipped,0,0,0,0,0,,128,0,128,0,0,1024,128,8
maintenance_ratio_pct,2019,2019-20,skipped,0,0,0,0,0,,128,119,9,119,1,1024,128,8
maintenance_ratio_pct,2020,2020-21,skipped,0,0,0,0,0,,128,120,8,120,1,1024,128,8
maintenance_ratio_pct,2021,2021-22,evaluated,128,119,9,119,1,2019,128,122,6,122,1,1024,128,8
maintenance_ratio_pct,2022,2022-23,evaluated,256,239,17,123,2,2019|2020,128,120,8,120,1,1024,128,8
maintenance_ratio_pct,2023,2023-24,evaluated,384,361,23,123,3,2019|2020|2021,128,122,6,122,1,1024,128,8
maintenance_ratio_pct,2024,2024-25,evaluated,512,481,31,123,4,2019|2020|2021|2022,128,121,7,121,1,1024,128,8
maintenance_ratio_pct,2025,2025-26,skipped,640,603,37,123,5,2019|2020|2021|2022|2023,128,0,128,0,0,1024,128,8
