case_id,council_key,year_start,period,mapped_burn_ha,mapped_burn_status,physical_flood_status,bushfire_declarations,flood_declarations,all_declarations,bushfire_agrns,flood_agrns,declaration_status,panel_direct_damage_flag,panel_damage_evidence_ids,verified_damage_amount_aud,verified_reconstruction_amount_aud,operating_disaster_grant_aud,capital_disaster_grant_aud,counter_disaster_reactive_maintenance_aud,financial_evidence,source_urls,payment_timing_caveat
carrathool_2022,carrathool,2020,prior,43.05,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,"No documented disaster-finance attribution in inspected evidence. | Storm/flood operating grants documented; no quantified matching reconstruction cost or damage valuation recovered. FAG advance is general funding, not automatically disaster funding.",https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/Annual-Report-2021-22-FINAL.pdf | https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/2022-2023-Final-Annual-Report.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
carrathool_2022,carrathool,2021,exposure,109.84,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,7256000.0,,,"No documented disaster-finance attribution in inspected evidence. | Storm/flood operating grants documented; no quantified matching reconstruction cost or damage valuation recovered. FAG advance is general funding, not automatically disaster funding.",https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/Annual-Report-2021-22-FINAL.pdf | https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/2022-2023-Final-Annual-Report.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
carrathool_2022,carrathool,2022,target,231.23,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,2,2,,1030|1034,listed_event_onset,,,,,1501000.0,,,"No documented disaster-finance attribution in inspected evidence. | Storm/flood operating grants documented; no quantified matching reconstruction cost or damage valuation recovered. FAG advance is general funding, not automatically disaster funding.",https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/Annual-Report-2021-22-FINAL.pdf | https://carrathool.nsw.gov.au/wp-content/uploads/IPR/Annual-Report/2022-2023-Final-Annual-Report.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
liverpoolplains_2022,liverpoolplains,2020,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,960,listed_event_onset,,,,,,,,"Council describes operational natural-disaster grants for road repair. Physical damage amount, matching reconstruction cost and payment schedule were not established.",https://www.liverpoolplains.nsw.gov.au/files/sharedassets/public/v/1/media-and-public-notices/media-release-images-new/lpsc-annual-financial-statements-30-june-2023.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
liverpoolplains_2022,liverpoolplains,2021,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,1,1,,987,listed_event_onset,,,,,,,,"Council describes operational natural-disaster grants for road repair. Physical damage amount, matching reconstruction cost and payment schedule were not established.",https://www.liverpoolplains.nsw.gov.au/files/sharedassets/public/v/1/media-and-public-notices/media-release-images-new/lpsc-annual-financial-statements-30-june-2023.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
liverpoolplains_2022,liverpoolplains,2022,target,960.99,mapped_burn_positive,unknown_no_complete_inundation_inventory,1,2,3,1055,1030|1034,listed_event_onset,,,,,,,,"Council describes operational natural-disaster grants for road repair. Physical damage amount, matching reconstruction cost and payment schedule were not established.",https://www.liverpoolplains.nsw.gov.au/files/sharedassets/public/v/1/media-and-public-notices/media-release-images-new/lpsc-annual-financial-statements-30-june-2023.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
snowymonaro_2022,snowymonaro,2020,prior,148.95,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,2,2,,923|960,listed_event_onset,,,,,,,,No documented disaster-finance attribution in inspected evidence. | No documented disaster-finance attribution in inspected evidence.,https://www.snowymonaro.nsw.gov.au/files/assets/public/v/1/council/annual-amp-financial-reports/combined-financial-statements-2020-2021.pdf | https://www.snowymonaro.nsw.gov.au/files/assets/public/v/2/council/ipr/annual-financial-statements-2022.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
snowymonaro_2022,snowymonaro,2021,exposure,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,2,2,,987|1012,listed_event_onset,,,,,,,,No documented disaster-finance attribution in inspected evidence. | No documented disaster-finance attribution in inspected evidence.,https://www.snowymonaro.nsw.gov.au/files/assets/public/v/1/council/annual-amp-financial-reports/combined-financial-statements-2020-2021.pdf | https://www.snowymonaro.nsw.gov.au/files/assets/public/v/2/council/ipr/annual-financial-statements-2022.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
snowymonaro_2022,snowymonaro,2022,target,909.93,mapped_burn_positive,unknown_no_complete_inundation_inventory,0,2,2,,1030|1034,listed_event_onset,,,,,,,,No documented disaster-finance attribution in inspected evidence. | No documented disaster-finance attribution in inspected evidence.,https://www.snowymonaro.nsw.gov.au/files/assets/public/v/1/council/annual-amp-financial-reports/combined-financial-statements-2020-2021.pdf | https://www.snowymonaro.nsw.gov.au/files/assets/public/v/2/council/ipr/annual-financial-statements-2022.pdf,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
hilltops_2021,hilltops,2019,prior,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,0,0,0,,,no_listed_event_onset_not_physical_zero,,,,,,,,No documentary financial link established; missing is not zero.,,General FAG advances are not disaster grants; recognition is not necessarily cash receipt; expected reimbursement is not received funding.
