year_start,sheet,measure,header,column,council_rows,numeric_count,missing_count,min_raw,max_raw,source_url,comparability
2014,2014-15 DATA,operating_performance,Operating Performance Ratio  ,AD,152,152,0,-38.63,21.16,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2014,2014-15 DATA,cash_cover,Cash Expense Cover Ratio,AK,152,152,0,0.0019,30.1877,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2014,2014-15 DATA,unrestricted_current,Unrestricted Current Ratio ,AE,152,152,0,0.3421,20.006500000000003,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2014,2014-15 DATA,own_source,% Own Source Revenue ,AF,152,152,0,34.21,92.54,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2014,2014-15 DATA,debt_service_cover,Debt Service Cover Ratio,AI,152,152,0,0.0,9568.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2014,2014-15 DATA,maintenance_ratio,Asset Maintenance Ratio,DF,152,152,0,40.04,274.71000000000004,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2013,2013-14 DATA,operating_performance,Operating Performance Ratio  ,BF,152,152,0,-83.26,20.549999999999997,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2013,2013-14 DATA,cash_cover,Cash Expense Cover Ratio,BK,152,152,0,0.1787,28.6737,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2013,2013-14 DATA,unrestricted_current,Unrestricted Current Ratio ,BG,152,152,0,0.0492,15.7937,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2013,2013-14 DATA,own_source,% Own Source Revenue ,BD,152,152,0,29.759999999999998,92.85,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2013,2013-14 DATA,debt_service_cover,Debt Service Cover ratio,BI,152,152,0,-1.0135,8505.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2013,2013-14 DATA,maintenance_ratio,Asset Maintenance Ratio,CL,152,152,0,31.0,194.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2012,2012-13 DATA,operating_performance,Operating Performance Ratio  ,CI,152,152,0,-59.91,15.879999999999999,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2012,2012-13 DATA,cash_cover,Cash Expense Cover Ratio,CM,152,152,0,0.149,29.4369,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2012,2012-13 DATA,unrestricted_current,Unrestricted Current Ratio ,CJ,152,152,0,0.5273,19.4269,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2012,2012-13 DATA,own_source,% Own Source Revenue ,CG,152,152,0,22.49,80.22,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2012,2012-13 DATA,debt_service_cover,Debt Service Cover ratio,CL,152,152,0,0.0,2125.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2012,2012-13 DATA,maintenance_ratio,Asset Maintenance Ratio,DL,152,152,0,0.0,7.0224,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2011,2011-12 DATA,operating_performance,Operating Performance Ratio,CE,152,152,0,-0.5419197097562899,0.3280829411458243,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2011,2011-12 DATA,cash_cover,,,152,0,152,,,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,Requested measure not found; do not substitute a similarly named metric
2011,2011-12 DATA,unrestricted_current,Unrestricted Current Ratio,CF,152,152,0,0.5987,16.688,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2011,2011-12 DATA,own_source,% Own Source Revenue,CC,152,152,0,0.1608475252036225,0.8042032920889088,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2011,2011-12 DATA,debt_service_cover,,,152,0,152,,,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,Requested measure not found; do not substitute a similarly named metric
2011,2011-12 DATA,maintenance_ratio,,,152,0,152,,,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,Requested measure not found; do not substitute a similarly named metric
2010,2010-11 DATA,operating_performance,,,152,0,152,,,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,Requested measure not found; do not substitute a similarly named metric
2010,2010-11 DATA,cash_cover,,,152,0,152,,,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,Requested measure not found; do not substitute a similarly named metric
2010,2010-11 DATA,unrestricted_current,Unrestricted Current Ratio,BL,152,152,0,1652000.0,315927786.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,"Candidate only; definitions, units and council identities not certified"
2010,2010-11 DATA,own_source,,,152,0,152,,,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,Requested measure not found; do not substitute a similarly named metric
2010,2010-11 DATA,debt_service_cover,,,152,0,152,,,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,Requested measure not found; do not substitute a similarly named metric
2010,2010-11 DATA,maintenance_ratio,,,152,0,152,,,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,Requested measure not found; do not substitute a similarly named metric
2015,2015-16 DATA,operating_performance,Operating Performance Ratio  ,AD,108,108,0,-16.1,27.4,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2015-16.xls,"Candidate only; definitions, units and council identities not certified"
2015,2015-16 DATA,cash_cover,Cash Expense Cover Ratio,AK,108,108,0,0.25,34.82,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2015-16.xls,"Candidate only; definitions, units and council identities not certified"
2015,2015-16 DATA,unrestricted_current,Unrestricted Current Ratio ,AE,108,108,0,0.71,11.84,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2015-16.xls,"Candidate only; definitions, units and council identities not certified"
2015,2015-16 DATA,own_source,% Own Source Revenue ,AF,108,108,0,30.86,92.2,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2015-16.xls,"Candidate only; definitions, units and council identities not certified"
2015,2015-16 DATA,debt_service_cover,Debt Service Cover Ratio,AI,108,108,0,0.0,5211.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2015-16.xls,"Candidate only; definitions, units and council identities not certified"
2015,2015-16 DATA,maintenance_ratio,"Asset Maintenance Ratio
(%)",DF,108,108,0,0.0,354.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2015-16.xls,"Candidate only; definitions, units and council identities not certified"
