council_key,year_start,source_council,panel_council,raw_operating_ratio,normalized_operating_ratio,panel_operating_ratio,difference_pp,source_url,sheet,excel_cell
balranald,2019,Balranald ,Balranald,-2.65,-2.65,-2.65,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA7
balranald,2020,Balranald ,Balranald,6.35,6.35,6.35,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA7
balranald,2021,Balranald ,Balranald,11.99,11.99,11.99,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA7
balranald,2022,Balranald ,Balranald,20.61,20.61,20.61,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA7
balranald,2023,Balranald ,Balranald,0.0106,1.06,1.06,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA7
bathurst,2021,Bathurst Regional,Bathurst Regional,-20.8,-20.8,-20.8,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA8
bathurst,2022,Bathurst Regional,Bathurst Regional,-19.94,-19.94,-19.94,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA8
bathurst,2023,Bathurst Regional,Bathurst Regional,-0.085,-8.5,-8.5,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA8
bellingen,2019,Bellingen ,Bellingen,-2.8,-2.8,-2.8,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA11
bellingen,2020,Bellingen ,Bellingen,-1.99,-1.99,-1.99,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA11
bellingen,2021,Bellingen ,Bellingen,8.77,8.77,8.77,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA11
bellingen,2022,Bellingen ,Bellingen,10.7,10.7,10.7,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA11
bland,2021,Bland ,Bland,17.02,17.02,17.02,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA14
bland,2022,Bland ,Bland,2.27,2.27,2.27,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA14
bland,2023,Bland ,Bland,0.3071,30.709999999999997,30.71,-3.552713678800501e-15,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA14
bluemountains,2021,Blue Mountains ,Blue Mountains,5.15,5.15,5.15,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA16
bluemountains,2022,Blue Mountains ,Blue Mountains,-5.7,-5.7,-5.7,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA16
bluemountains,2023,Blue Mountains ,Blue Mountains,-0.0719,-7.19,-7.19,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2023-24.xlsx,Councils ,AA16
bogan,2019,Bogan ,Bogan,-3.81,-3.81,-3.81,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA17
bogan,2020,Bogan ,Bogan,2.71,2.71,2.71,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA17
bogan,2021,Bogan ,Bogan,7.79,7.79,7.79,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA17
bogan,2022,Bogan ,Bogan,15.37,15.37,15.37,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA17
bourke,2020,Bourke ,Bourke,4.71,4.71,4.71,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA18
bourke,2021,Bourke ,Bourke,0.14,0.14,0.14,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA18
bourke,2022,Bourke ,Bourke,16.82,16.82,16.82,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA18
brewarrina,2019,Brewarrina ,Brewarrina,28.4,28.4,28.4,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA19
brewarrina,2020,Brewarrina ,Brewarrina,3.74,3.74,3.74,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2020-2021.xlsx,Councils,AA19
brewarrina,2021,Brewarrina ,Brewarrina,6.74,6.74,6.74,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2021-22.xlsx,Councils,AA19
brewarrina,2022,Brewarrina ,Brewarrina,17.93,17.93,17.93,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2022-23.xlsx,Councils,AA19
brokenhill,2019,Broken Hill ,Broken Hill,-20.38,-20.38,-20.38,0.0,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2019-2020.xlsx,Councils,AA20
