council_key,display_names,rows,first_year,last_year
albury,Albury,8,2017,2024
armidale,Armidale Regional,8,2017,2024
ballina,Ballina,8,2017,2024
balranald,Balranald,8,2017,2024
bathurst,Bathurst Regional,8,2017,2024
bayside,Bayside,8,2017,2024
begavalley,Bega Valley,8,2017,2024
bellingen,Bellingen,8,2017,2024
berrigan,Berrigan,8,2017,2024
blacktown,Blacktown,8,2017,2024
bland,Bland,8,2017,2024
blayney,Blayney,8,2017,2024
bluemountains,Blue Mountains,8,2017,2024
bogan,Bogan,8,2017,2024
bourke,Bourke,8,2017,2024
brewarrina,Brewarrina,8,2017,2024
brokenhill,Broken Hill,8,2017,2024
burwood,Burwood,8,2017,2024
byron,Byron,8,2017,2024
cabonne,Cabonne,8,2017,2024
camden,Camden,8,2017,2024
campbelltown,Campbelltown,8,2017,2024
canadabay,Canada Bay,8,2017,2024
canterburybankstown,Canterbury-Bankstown,8,2017,2024
carrathool,Carrathool,8,2017,2024
centralcoast,Central Coast,8,2017,2024
centraldarling,Central Darling,8,2017,2024
cessnock,Cessnock,8,2017,2024
clarencevalley,Clarence Valley,8,2017,2024
cobar,Cobar,8,2017,2024
coffsharbour,Coffs Harbour,8,2017,2024
coolamon,Coolamon,8,2017,2024
coonamble,Coonamble,8,2017,2024
cootamundragundagai,Cootamundra-Gundagai Regional,8,2017,2024
cowra,Cowra,8,2017,2024
cumberland,Cumberland,8,2017,2024
dubbo,Dubbo Regional,8,2017,2024
dungog,Dungog,8,2017,2024
edwardriver,Edward River,8,2017,2024
eurobodalla,Eurobodalla,8,2017,2024
fairfield,Fairfield,8,2017,2024
federation,Federation,8,2017,2024
forbes,Forbes,8,2017,2024
georgesriver,Georges River,8,2017,2024
gilgandra,Gilgandra,8,2017,2024
gleninnessevern,Glen Innes Severn,8,2017,2024
goulburnmulwaree,Goulburn Mulwaree,8,2017,2024
greaterhume,Greater Hume,8,2017,2024
griffith,Griffith,8,2017,2024
gunnedah,Gunnedah,8,2017,2024
gwydir,Gwydir,8,2017,2024
hawkesbury,Hawkesbury,8,2017,2024
hay,Hay,8,2017,2024
hills,Hills | The Hills,8,2017,2024
hilltops,Hilltops,8,2017,2024
hornsby,Hornsby,8,2017,2024
huntershill,Hunters Hill,8,2017,2024
innerwest,Inner West,8,2017,2024
inverell,Inverell,8,2017,2024
junee,Junee,8,2017,2024
kempsey,Kempsey,8,2017,2024
kiama,Kiama,8,2017,2024
kuringgai,Ku-ring-gai,8,2017,2024
kyogle,Kyogle,8,2017,2024
lachlan,Lachlan,8,2017,2024
lakemacquarie,Lake Macquarie,8,2017,2024
lanecove,Lane Cove,8,2017,2024
leeton,Leeton,8,2017,2024
lismore,Lismore,8,2017,2024
lithgow,Lithgow,8,2017,2024
liverpool,Liverpool,8,2017,2024
liverpoolplains,Liverpool Plains,8,2017,2024
lockhart,Lockhart,8,2017,2024
maitland,Maitland,8,2017,2024
midcoast,Mid-Coast,8,2017,2024
midwestern,Mid-Western Regional,8,2017,2024
moreeplains,Moree Plains,8,2017,2024
mosman,Mosman,8,2017,2024
murrayriver,Murray River,8,2017,2024
murrumbidgee,Murrumbidgee | Murrumbidgee (new),8,2017,2024
muswellbrook,Muswellbrook,8,2017,2024
nambuccavalley,Nambucca | Nambucca Valley,8,2017,2024
narrabri,Narrabri,8,2017,2024
narrandera,Narrandera,8,2017,2024
narromine,Narromine,8,2017,2024
newcastle,Newcastle,8,2017,2024
northernbeaches,Northern Beaches,8,2017,2024
northsydney,North Sydney,8,2017,2024
oberon,Oberon,8,2017,2024
orange,Orange,8,2017,2024
parkes,Parkes,8,2017,2024
parramatta,Parramatta | Parramatta (new),8,2017,2024
penrith,Penrith,8,2017,2024
portmacquariehastings,Port Macquarie-Hastings,8,2017,2024
portstephens,Port Stephens,8,2017,2024
queanbeyanpalerang,Queanbeyan-Palerang Regional,8,2017,2024
randwick,Randwick,8,2017,2024
richmondvalley,Richmond Valley,8,2017,2024
ryde,Ryde,8,2017,2024
shellharbour,Shellharbour,8,2017,2024
shoalhaven,Shoalhaven,8,2017,2024
singleton,Singleton,8,2017,2024
snowymonaro,Snowy Monaro Regional,8,2017,2024
snowyvalleys,Snowy Valleys,8,2017,2024
strathfield,Strathfield,8,2017,2024
sutherland,Sutherland,8,2017,2024
sydney,Sydney,8,2017,2024
tamworth,Tamworth Regional,8,2017,2024
temora,Temora,8,2017,2024
tenterfield,Tenterfield,8,2017,2024
tweed,Tweed,8,2017,2024
upperhunter,Upper Hunter,8,2017,2024
upperlachlan,Upper Lachlan,8,2017,2024
uralla,Uralla,8,2017,2024
waggawagga,Wagga Wagga,8,2017,2024
walcha,Walcha,8,2017,2024
walgett,Walgett,8,2017,2024
warren,Warren,8,2017,2024
warrumbungle,Warrumbungle,8,2017,2024
waverley,Waverley,8,2017,2024
weddin,Weddin,8,2017,2024
wentworth,Wentworth,8,2017,2024
willoughby,Willoughby,8,2017,2024
wingecarribee,Wingecarribee,8,2017,2024
wollondilly,Wollondilly,8,2017,2024
wollongong,Wollongong,8,2017,2024
woollahra,Woollahra,8,2017,2024
yassvalley,Yass Valley,8,2017,2024
