target,test_year,feature,training_median,train_missing,test_missing
operating_ratio_pct,2021,operating_ratio_pct__prior,4.18,0,0
operating_ratio_pct,2021,cash_cover_months__prior,12.03,0,0
operating_ratio_pct,2021,current_ratio__prior,3.72,0,0
operating_ratio_pct,2021,own_source_pct__prior,65.28,0,0
operating_ratio_pct,2021,debt_service_cover__prior,7.32,0,0
operating_ratio_pct,2021,maintenance_ratio_pct__prior,99.26257437827392,2,1
operating_ratio_pct,2021,population__prior,24815.0,0,0
operating_ratio_pct,2021,road_km__prior,1166.98,0,0
operating_ratio_pct,2021,fesm_burned_ha__event,0.0,0,0
operating_ratio_pct,2021,bushfire_declared_event_count__event,0.0,0,0
operating_ratio_pct,2021,flood_declared_event_count__event,0.0,0,0
operating_ratio_pct,2022,operating_ratio_pct__prior,3.15,0,0
operating_ratio_pct,2022,cash_cover_months__prior,12.2,0,0
operating_ratio_pct,2022,current_ratio__prior,3.7,0,0
operating_ratio_pct,2022,own_source_pct__prior,66.14,0,0
operating_ratio_pct,2022,debt_service_cover__prior,6.83,0,0
operating_ratio_pct,2022,maintenance_ratio_pct__prior,100.0,3,2
operating_ratio_pct,2022,population__prior,26586.0,0,0
operating_ratio_pct,2022,road_km__prior,1176.4337503999998,0,0
operating_ratio_pct,2022,fesm_burned_ha__event,0.0,0,0
operating_ratio_pct,2022,bushfire_declared_event_count__event,0.0,0,0
operating_ratio_pct,2022,flood_declared_event_count__event,1.0,0,0
operating_ratio_pct,2023,operating_ratio_pct__prior,2.23,0,0
operating_ratio_pct,2023,cash_cover_months__prior,11.97,0,0
operating_ratio_pct,2023,current_ratio__prior,3.49,0,0
operating_ratio_pct,2023,own_source_pct__prior,65.42,0,0
operating_ratio_pct,2023,debt_service_cover__prior,6.8,0,0
operating_ratio_pct,2023,maintenance_ratio_pct__prior,100.0,4,2
operating_ratio_pct,2023,population__prior,26586.0,0,0
operating_ratio_pct,2023,road_km__prior,1194.6699999999998,0,0
operating_ratio_pct,2023,fesm_burned_ha__event,0.0,0,0
operating_ratio_pct,2023,bushfire_declared_event_count__event,0.0,0,0
operating_ratio_pct,2023,flood_declared_event_count__event,1.0,0,0
cash_cover_months,2021,operating_ratio_pct__prior,4.18,0,0
cash_cover_months,2021,cash_cover_months__prior,12.03,0,0
cash_cover_months,2021,current_ratio__prior,3.72,0,0
cash_cover_months,2021,own_source_pct__prior,65.28,0,0
cash_cover_months,2021,debt_service_cover__prior,7.32,0,0
cash_cover_months,2021,maintenance_ratio_pct__prior,99.26257437827392,2,1
cash_cover_months,2021,population__prior,24815.0,0,0
cash_cover_months,2021,road_km__prior,1166.98,0,0
cash_cover_months,2021,fesm_burned_ha__event,0.0,0,0
cash_cover_months,2021,bushfire_declared_event_count__event,0.0,0,0
cash_cover_months,2021,flood_declared_event_count__event,0.0,0,0
cash_cover_months,2022,operating_ratio_pct__prior,3.15,1,0
cash_cover_months,2022,cash_cover_months__prior,12.129999999999999,0,0
cash_cover_months,2022,current_ratio__prior,3.6900000000000004,0,0
cash_cover_months,2022,own_source_pct__prior,65.985,0,0
cash_cover_months,2022,debt_service_cover__prior,6.965,0,0
cash_cover_months,2022,maintenance_ratio_pct__prior,100.0,4,2
cash_cover_months,2022,population__prior,25836.0,0,0
cash_cover_months,2022,road_km__prior,1185.5518751999998,0,0
cash_cover_months,2022,fesm_burned_ha__event,0.0,0,0
cash_cover_months,2022,bushfire_declared_event_count__event,0.0,0,0
cash_cover_months,2022,flood_declared_event_count__event,1.0,0,0
cash_cover_months,2023,operating_ratio_pct__prior,2.23,1,0
cash_cover_months,2023,cash_cover_months__prior,11.965,0,0
cash_cover_months,2023,current_ratio__prior,3.4800000000000004,0,0
cash_cover_months,2023,own_source_pct__prior,65.41499999999999,0,0
cash_cover_months,2023,debt_service_cover__prior,6.8149999999999995,0,0
cash_cover_months,2023,maintenance_ratio_pct__prior,100.0,5,2
cash_cover_months,2023,population__prior,25918.5,0,0
cash_cover_months,2023,road_km__prior,1194.6699999999998,0,0
cash_cover_months,2023,fesm_burned_ha__event,0.0,0,0
cash_cover_months,2023,bushfire_declared_event_count__event,0.0,0,0
cash_cover_months,2023,flood_declared_event_count__event,1.0,0,0
maintenance_ratio_pct,2021,operating_ratio_pct__prior,4.28,0,0
maintenance_ratio_pct,2021,cash_cover_months__prior,12.03,0,0
maintenance_ratio_pct,2021,current_ratio__prior,3.72,0,0
maintenance_ratio_pct,2021,own_source_pct__prior,65.01,0,0
maintenance_ratio_pct,2021,debt_service_cover__prior,7.48,0,0
maintenance_ratio_pct,2021,maintenance_ratio_pct__prior,99.26257437827392,0,0
maintenance_ratio_pct,2021,population__prior,24815.0,0,0
maintenance_ratio_pct,2021,road_km__prior,1194.6702999999998,0,0
maintenance_ratio_pct,2021,fesm_burned_ha__event,0.0,0,0
maintenance_ratio_pct,2021,bushfire_declared_event_count__event,0.0,0,0
maintenance_ratio_pct,2021,flood_declared_event_count__event,0.0,0,0
maintenance_ratio_pct,2022,operating_ratio_pct__prior,3.15,0,0
maintenance_ratio_pct,2022,cash_cover_months__prior,12.06,0,0
maintenance_ratio_pct,2022,current_ratio__prior,3.7,0,0
maintenance_ratio_pct,2022,own_source_pct__prior,66.14,0,0
maintenance_ratio_pct,2022,debt_service_cover__prior,7.1,0,0
maintenance_ratio_pct,2022,maintenance_ratio_pct__prior,100.0,0,0
maintenance_ratio_pct,2022,population__prior,26586.0,0,0
maintenance_ratio_pct,2022,road_km__prior,1194.6699999999998,0,0
maintenance_ratio_pct,2022,fesm_burned_ha__event,0.0,0,0
maintenance_ratio_pct,2022,bushfire_declared_event_count__event,0.0,0,0
maintenance_ratio_pct,2022,flood_declared_event_count__event,1.0,0,0
maintenance_ratio_pct,2023,operating_ratio_pct__prior,2.31,0,0
maintenance_ratio_pct,2023,cash_cover_months__prior,11.97,0,0
maintenance_ratio_pct,2023,current_ratio__prior,3.49,0,0
maintenance_ratio_pct,2023,own_source_pct__prior,65.42,0,0
maintenance_ratio_pct,2023,debt_service_cover__prior,7.0,0,0
maintenance_ratio_pct,2023,maintenance_ratio_pct__prior,100.0,0,0
maintenance_ratio_pct,2023,population__prior,26882.0,0,0
maintenance_ratio_pct,2023,road_km__prior,1194.6699999999998,0,0
maintenance_ratio_pct,2023,fesm_burned_ha__event,0.0,0,0
maintenance_ratio_pct,2023,bushfire_declared_event_count__event,0.0,0,0
maintenance_ratio_pct,2023,flood_declared_event_count__event,1.0,0,0
maintenance_ratio_pct,2024,operating_ratio_pct__prior,1.56,0,0
maintenance_ratio_pct,2024,cash_cover_months__prior,12.06,0,0
maintenance_ratio_pct,2024,current_ratio__prior,3.42,0,0
maintenance_ratio_pct,2024,own_source_pct__prior,64.26,0,0
maintenance_ratio_pct,2024,debt_service_cover__prior,6.8,0,0
maintenance_ratio_pct,2024,maintenance_ratio_pct__prior,100.0,0,0
maintenance_ratio_pct,2024,population__prior,27029.0,0,0
maintenance_ratio_pct,2024,road_km__prior,1194.6699999999998,0,0
maintenance_ratio_pct,2024,fesm_burned_ha__event,0.0,0,0
maintenance_ratio_pct,2024,bushfire_declared_event_count__event,0.0,0,0
maintenance_ratio_pct,2024,flood_declared_event_count__event,1.0,0,0
