column,value,rows
outcome_observed,True,1009
outcome_observed,False,15
outcome_quality_eligible,True,1005
outcome_quality_eligible,False,19
maintenance_conflict,False,1020
maintenance_conflict,True,4
fesm_status,verified_zero_mapped_burn_within_source_scope,515
fesm_status,mapped_burn_positive,381
fesm_status,unknown_source_not_acquired,128
boundary_change_flag,False,992
boundary_change_flag,True,32
boundary_compatibility,entity_name_compatible_polygon_vintage_not_verified,992
boundary_compatibility,known_2019_2020_transfer_exclude_from_strict_comparison,32
physical_flood_status,unknown_no_complete_inundation_inventory,1024
verified_zero_all_disaster_exposure,False,1024
bushfire_declaration_status,no_listed_event_onset_not_physical_zero,867
bushfire_declaration_status,listed_event_onset,157
flood_declaration_status,no_listed_event_onset_not_physical_zero,525
flood_declaration_status,listed_event_onset,499
all_declaration_status,listed_event_onset,597
all_declaration_status,no_listed_event_onset_not_physical_zero,427
source_list_disagreement_count,0.0,1023
source_list_disagreement_count,1.0,1
open_ended_onset_event_count,0.0,444
open_ended_onset_event_count,1.0,281
open_ended_onset_event_count,2.0,220
open_ended_onset_event_count,3.0,61
open_ended_onset_event_count,4.0,12
open_ended_onset_event_count,5.0,4
open_ended_onset_event_count,6.0,2
known_prior_year_carryover_count,0.0,1024
declaration_vs_fesm_scope_difference,False,1019
declaration_vs_fesm_scope_difference,True,5
candidate_no_new_declared_event,False,597
candidate_no_new_declared_event,True,427
candidate_strict_scoped_comparison,False,870
candidate_strict_scoped_comparison,True,154
direct_infrastructure_damage_documented,<missing>,1019
direct_infrastructure_damage_documented,1.0,5
