target,test_year,feature,disaster_variable
operating_ratio_pct,2021,maintenance_ratio_pct__prior,False
operating_ratio_pct,2021,operating_ratio_pct__prior,False
operating_ratio_pct,2022,debt_service_cover__prior,False
operating_ratio_pct,2022,operating_ratio_pct__prior,False
operating_ratio_pct,2022,population__prior,False
operating_ratio_pct,2023,operating_ratio_pct__prior,False
operating_ratio_pct,2023,own_source_pct__prior,False
cash_cover_months,2021,cash_cover_months__prior,False
cash_cover_months,2022,cash_cover_months__prior,False
cash_cover_months,2023,cash_cover_months__prior,False
cash_cover_months,2023,debt_service_cover__prior,False
cash_cover_months,2023,own_source_pct__prior,False
maintenance_ratio_pct,2021,maintenance_ratio_pct__prior,False
maintenance_ratio_pct,2021,road_km__prior,False
maintenance_ratio_pct,2022,maintenance_ratio_pct__prior,False
maintenance_ratio_pct,2022,population__prior,False
maintenance_ratio_pct,2023,maintenance_ratio_pct__prior,False
maintenance_ratio_pct,2023,population__prior,False
maintenance_ratio_pct,2024,maintenance_ratio_pct__prior,False
maintenance_ratio_pct,2024,operating_ratio_pct__prior,False
maintenance_ratio_pct,2024,population__prior,False
maintenance_ratio_pct,2024,road_km__prior,False
