target,test_year,split,model,n,training_years,MAE,RMSE,R2
operating_ratio_pct,2021,train,persistence,121,2019,7.01900826446281,9.038380696774988,-0.06625366766456664
operating_ratio_pct,2021,train,training_mean,121,2019,6.483013455365072,8.753069178271971,0.0
operating_ratio_pct,2021,train,mean_change,121,2019,6.51691277918175,8.41253031374186,0.07629655648590583
operating_ratio_pct,2021,train,full_level_tree,121,2019,5.496923770262261,7.311309141917309,0.30229863413981617
operating_ratio_pct,2021,train,fiscal_only_tree,121,2019,5.496923770262261,7.311309141917309,0.30229863413981617
operating_ratio_pct,2021,train,change_tree,121,2019,5.200241305743697,6.761594566085868,0.4032704686751365
operating_ratio_pct,2021,test,persistence,124,2019,6.393951612903226,8.47301318418394,0.08038198567251298
operating_ratio_pct,2021,test,training_mean,124,2019,6.595391895494535,9.032476921156215,-0.0450701103817257
operating_ratio_pct,2021,test,mean_change,124,2019,7.534328845641162,9.781594731802876,-0.22560644553667109
operating_ratio_pct,2021,test,full_level_tree,124,2019,6.987842624367677,8.923551270398464,-0.020016394531828352
operating_ratio_pct,2021,test,fiscal_only_tree,124,2019,6.987842624367677,8.923551270398464,-0.020016394531828352
operating_ratio_pct,2021,test,change_tree,124,2019,6.513479919556958,8.450140602924034,0.08534023299402604
operating_ratio_pct,2022,train,persistence,243,2019|2020,6.762345679012346,9.390595483732364,-0.1700370662319246
operating_ratio_pct,2022,train,training_mean,243,2019|2020,6.37488323256956,8.681471080072921,0.0
operating_ratio_pct,2022,train,mean_change,243,2019|2020,6.348878727836204,8.782492442930744,-0.023408274039615318
operating_ratio_pct,2022,train,full_level_tree,243,2019|2020,5.400776988541691,6.993441610252106,0.35107387196816653
operating_ratio_pct,2022,train,fiscal_only_tree,243,2019|2020,5.400776988541691,6.993441610252106,0.35107387196816653
operating_ratio_pct,2022,train,change_tree,243,2019|2020,5.480377802659192,7.487921090633364,0.2560634909931572
operating_ratio_pct,2022,test,persistence,122,2019|2020,7.8204918032786885,9.993560467604732,-0.14734790525993424
operating_ratio_pct,2022,test,training_mean,122,2019|2020,8.197226607299466,10.465925854552397,-0.2583746049166529
operating_ratio_pct,2022,test,mean_change,122,2019|2020,9.95147743371787,12.117902315067738,-0.686978440627616
operating_ratio_pct,2022,test,full_level_tree,122,2019|2020,8.583122478140202,10.367593972731788,-0.234839743857846
operating_ratio_pct,2022,test,fiscal_only_tree,122,2019|2020,8.583122478140202,10.367593972731788,-0.234839743857846
operating_ratio_pct,2022,test,change_tree,122,2019|2020,8.634763699202146,10.567620763125104,-0.2829480675226552
operating_ratio_pct,2023,train,persistence,367,2019|2020|2021,6.637874659400546,9.090933292016338,-0.06462832235108151
operating_ratio_pct,2023,train,training_mean,367,2019|2020|2021,6.396329024641953,8.810680711424517,0.0
operating_ratio_pct,2023,train,mean_change,367,2019|2020|2021,6.550648976531121,8.95983641232716,-0.034144518820137026
operating_ratio_pct,2023,train,full_level_tree,367,2019|2020|2021,5.387494829432496,7.096415487742056,0.3512772272072566
operating_ratio_pct,2023,train,fiscal_only_tree,367,2019|2020|2021,5.387494829432496,7.096415487742056,0.3512772272072564
operating_ratio_pct,2023,train,change_tree,367,2019|2020|2021,5.529895139248166,7.723864538209485,0.23148850022613265
operating_ratio_pct,2023,test,persistence,124,2019|2020|2021,6.615161290322581,8.551434514633467,0.31681047930269124
operating_ratio_pct,2023,test,training_mean,124,2019|2020|2021,7.768223609035775,10.416579830505517,-0.013709556293896474
operating_ratio_pct,2023,test,mean_change,124,2019|2020|2021,6.641771996132547,8.615080463787608,0.30660305537791765
operating_ratio_pct,2023,test,full_level_tree,124,2019|2020|2021,6.64672748116842,8.495600537770384,0.3257027088242699
operating_ratio_pct,2023,test,fiscal_only_tree,124,2019|2020|2021,6.646727481168421,8.495600537770384,0.3257027088242699
operating_ratio_pct,2023,test,change_tree,124,2019|2020|2021,6.5187176388648576,8.62626418968974,0.30480161084097435
cash_cover_months,2021,train,persistence,121,2019,3.0668595041322315,4.3735541648707,0.6386720985366259
cash_cover_months,2021,train,training_mean,121,2019,5.6599808756232495,7.275850386898935,0.0
cash_cover_months,2021,train,mean_change,121,2019,3.084102178812923,4.363087470173588,0.6403994732514655
cash_cover_months,2021,train,full_level_tree,121,2019,3.4399675221110626,4.717428742878803,0.579618904633521
cash_cover_months,2021,train,fiscal_only_tree,121,2019,3.439967522111063,4.717428742878803,0.579618904633521
cash_cover_months,2021,train,change_tree,121,2019,2.777407862407862,3.866561694978707,0.7175885060800703
cash_cover_months,2021,test,persistence,124,2019,3.763886290322581,5.161601521916273,0.5883009026409523
cash_cover_months,2021,test,training_mean,124,2019,5.89160217941882,8.243592572373373,-0.05013227361751649
cash_cover_months,2021,test,mean_change,124,2019,3.902925013329779,5.264855640124672,0.5716646651050026
cash_cover_months,2021,test,full_level_tree,124,2019,4.471395478983384,6.309962868526904,0.38473165087423644
cash_cover_months,2021,test,fiscal_only_tree,124,2019,4.471395478983384,6.309962868526904,0.38473165087423644
cash_cover_months,2021,test,change_tree,124,2019,4.062467284219704,5.3868706692819,0.5515809388018539
cash_cover_months,2022,train,persistence,244,2019|2020,3.299877049180328,4.7507900550898885,0.5863404110662124
cash_cover_months,2022,train,training_mean,244,2019|2020,5.7570485084654655,7.386595050049681,0.0
cash_cover_months,2022,train,mean_change,244,2019|2020,3.299795417898414,4.750779616603307,0.5863422288587372
cash_cover_months,2022,train,full_level_tree,244,2019|2020,3.3348124499625023,4.752183245283905,0.586097760484523
cash_cover_months,2022,train,fiscal_only_tree,244,2019|2020,3.3348124499625023,4.752183245283904,0.586097760484523
cash_cover_months,2022,train,change_tree,244,2019|2020,3.027970237180351,4.21186936633543,0.6748668854396349
cash_cover_months,2022,test,persistence,122,2019|2020,3.8477385245901634,5.047330219564385,0.5611417913211432
cash_cover_months,2022,test,training_mean,122,2019|2020,5.622818610588551,7.819678602000364,-0.05336429776125362
cash_cover_months,2022,test,mean_change,122,2019|2020,3.844636535877452,5.044558129040729,0.56162371762714
cash_cover_months,2022,test,full_level_tree,122,2019|2020,4.101850775942095,5.477137620575953,0.48321714809891747
cash_cover_months,2022,test,fiscal_only_tree,122,2019|2020,4.101850775942095,5.477137620575953,0.48321714809891747
cash_cover_months,2022,test,change_tree,122,2019|2020,3.7267478884891463,5.142607582797522,0.5444169482869134
cash_cover_months,2023,train,persistence,368,2019|2020|2021,3.456227989130435,4.8930700923130095,0.5904167447927595
cash_cover_months,2023,train,training_mean,368,2019|2020|2021,5.898758146266541,7.6455782996743915,0.0
