council_key,prior_year,event_year,target_year,exclusion_reason,target
albury,2016,2017,2018,no_exact_prior_year,operating_ratio_pct
albury,2017,2018,2019,eligible,operating_ratio_pct
albury,2018,2019,2020,eligible,operating_ratio_pct
albury,2019,2020,2021,eligible,operating_ratio_pct
albury,2020,2021,2022,eligible,operating_ratio_pct
albury,2021,2022,2023,eligible,operating_ratio_pct
albury,2022,2023,2024,missing_target,operating_ratio_pct
albury,2023,2024,2025,no_exact_future_year,operating_ratio_pct
armidale,2016,2017,2018,no_exact_prior_year,operating_ratio_pct
armidale,2017,2018,2019,boundary_flag,operating_ratio_pct
armidale,2018,2019,2020,boundary_flag,operating_ratio_pct
armidale,2019,2020,2021,boundary_flag,operating_ratio_pct
armidale,2020,2021,2022,boundary_flag,operating_ratio_pct
armidale,2021,2022,2023,boundary_flag,operating_ratio_pct
armidale,2022,2023,2024,boundary_flag,operating_ratio_pct
armidale,2023,2024,2025,no_exact_future_year,operating_ratio_pct
ballina,2016,2017,2018,no_exact_prior_year,operating_ratio_pct
ballina,2017,2018,2019,eligible,operating_ratio_pct
ballina,2018,2019,2020,eligible,operating_ratio_pct
ballina,2019,2020,2021,eligible,operating_ratio_pct
ballina,2020,2021,2022,eligible,operating_ratio_pct
ballina,2021,2022,2023,eligible,operating_ratio_pct
ballina,2022,2023,2024,missing_target,operating_ratio_pct
ballina,2023,2024,2025,no_exact_future_year,operating_ratio_pct
balranald,2016,2017,2018,no_exact_prior_year,operating_ratio_pct
balranald,2017,2018,2019,eligible,operating_ratio_pct
balranald,2018,2019,2020,eligible,operating_ratio_pct
balranald,2019,2020,2021,eligible,operating_ratio_pct
balranald,2020,2021,2022,eligible,operating_ratio_pct
balranald,2021,2022,2023,eligible,operating_ratio_pct
balranald,2022,2023,2024,missing_target,operating_ratio_pct
balranald,2023,2024,2025,no_exact_future_year,operating_ratio_pct
bathurst,2016,2017,2018,no_exact_prior_year,operating_ratio_pct
bathurst,2017,2018,2019,eligible,operating_ratio_pct
bathurst,2018,2019,2020,eligible,operating_ratio_pct
bathurst,2019,2020,2021,eligible,operating_ratio_pct
bathurst,2020,2021,2022,eligible,operating_ratio_pct
bathurst,2021,2022,2023,eligible,operating_ratio_pct
bathurst,2022,2023,2024,missing_target,operating_ratio_pct
bathurst,2023,2024,2025,no_exact_future_year,operating_ratio_pct
bayside,2016,2017,2018,no_exact_prior_year,operating_ratio_pct
bayside,2017,2018,2019,missing_or_ineligible_persistence,operating_ratio_pct
bayside,2018,2019,2020,eligible,operating_ratio_pct
bayside,2019,2020,2021,eligible,operating_ratio_pct
bayside,2020,2021,2022,eligible,operating_ratio_pct
bayside,2021,2022,2023,eligible,operating_ratio_pct
bayside,2022,2023,2024,missing_target,operating_ratio_pct
bayside,2023,2024,2025,no_exact_future_year,operating_ratio_pct
begavalley,2016,2017,2018,no_exact_prior_year,operating_ratio_pct
begavalley,2017,2018,2019,eligible,operating_ratio_pct
begavalley,2018,2019,2020,eligible,operating_ratio_pct
begavalley,2019,2020,2021,eligible,operating_ratio_pct
begavalley,2020,2021,2022,eligible,operating_ratio_pct
begavalley,2021,2022,2023,eligible,operating_ratio_pct
begavalley,2022,2023,2024,missing_target,operating_ratio_pct
begavalley,2023,2024,2025,no_exact_future_year,operating_ratio_pct
bellingen,2016,2017,2018,no_exact_prior_year,operating_ratio_pct
bellingen,2017,2018,2019,eligible,operating_ratio_pct
bellingen,2018,2019,2020,eligible,operating_ratio_pct
bellingen,2019,2020,2021,eligible,operating_ratio_pct
bellingen,2020,2021,2022,eligible,operating_ratio_pct
bellingen,2021,2022,2023,eligible,operating_ratio_pct
bellingen,2022,2023,2024,missing_target,operating_ratio_pct
bellingen,2023,2024,2025,no_exact_future_year,operating_ratio_pct
berrigan,2016,2017,2018,no_exact_prior_year,operating_ratio_pct
berrigan,2017,2018,2019,eligible,operating_ratio_pct
berrigan,2018,2019,2020,eligible,operating_ratio_pct
berrigan,2019,2020,2021,eligible,operating_ratio_pct
berrigan,2020,2021,2022,eligible,operating_ratio_pct
berrigan,2021,2022,2023,eligible,operating_ratio_pct
berrigan,2022,2023,2024,missing_target,operating_ratio_pct
