test_year,model,node,leaf,feature,threshold,n,prediction
2021,tree_fiscal_only,0,False,operating_ratio_pct__prior,-1.3299999833106995,121,-0.4249586776859502
2021,tree_fiscal_only,1,True,,,27,-7.816666666666667
2021,tree_fiscal_only,2,False,operating_ratio_pct__prior,8.375,94,1.698191489361702
2021,tree_fiscal_only,3,False,maintenance_ratio_pct__prior,106.57015991210938,67,-0.1686567164179104
2021,tree_fiscal_only,4,True,,,47,-0.9272340425531914
2021,tree_fiscal_only,5,True,,,20,1.6139999999999994
2021,tree_fiscal_only,6,True,,,27,6.330740740740742
2021,tree_level,0,False,operating_ratio_pct__prior,-1.3299999833106995,121,-0.4249586776859502
2021,tree_level,1,True,,,27,-7.816666666666667
2021,tree_level,2,False,operating_ratio_pct__prior,8.375,94,1.698191489361702
2021,tree_level,3,False,maintenance_ratio_pct__prior,106.57015991210938,67,-0.16865671641791047
2021,tree_level,4,True,,,47,-0.9272340425531912
2021,tree_level,5,True,,,20,1.6140000000000003
2021,tree_level,6,True,,,27,6.330740740740739
2021,tree_change,0,False,operating_ratio_pct__prior,1.7199999690055847,121,-3.304793388429753
2021,tree_change,1,False,operating_ratio_pct__prior,-3.7300000190734863,42,1.8457142857142856
2021,tree_change,2,True,,,20,4.115499999999999
2021,tree_change,3,True,,,22,-0.21772727272727269
2021,tree_change,4,False,road_km__prior,1607.6950073242188,79,-6.043037974683544
2021,tree_change,5,False,own_source_pct__prior,62.57499885559082,59,-4.1213559322033895
2021,tree_change,6,True,,,21,-1.2576190476190479
2021,tree_change,7,True,,,38,-5.703947368421053
2021,tree_change,8,True,,,20,-11.712
2022,tree_fiscal_only,0,False,operating_ratio_pct__prior,-1.0699999928474426,243,-1.0040329218106991
2022,tree_fiscal_only,1,False,operating_ratio_pct__prior,-6.394999980926514,67,-7.200447761194031
2022,tree_fiscal_only,2,True,,,29,-11.243448275862068
2022,tree_fiscal_only,3,True,,,38,-4.114999999999999
2022,tree_fiscal_only,4,False,operating_ratio_pct__prior,8.375,176,1.3548295454545451
2022,tree_fiscal_only,5,False,population__prior,6805.0,132,-0.269621212121212
2022,tree_fiscal_only,6,True,,,26,2.761153846153846
2022,tree_fiscal_only,7,True,,,106,-1.0130188679245287
2022,tree_fiscal_only,8,False,debt_service_cover__prior,12.484999656677246,44,6.228181818181816
