outer_year,specification,inner_fold,mode,train_n,validation_n,train_years,validation_years
2021,ridge_level,0,training_only_grouped_council_fallback,90,31,2019,2019
2021,ridge_level,1,training_only_grouped_council_fallback,91,30,2019,2019
2021,ridge_level,2,training_only_grouped_council_fallback,91,30,2019,2019
2021,ridge_level,3,training_only_grouped_council_fallback,91,30,2019,2019
2021,ridge_change,0,training_only_grouped_council_fallback,90,31,2019,2019
2021,ridge_change,1,training_only_grouped_council_fallback,91,30,2019,2019
2021,ridge_change,2,training_only_grouped_council_fallback,91,30,2019,2019
2021,ridge_change,3,training_only_grouped_council_fallback,91,30,2019,2019
2022,ridge_level,0,training_only_grouped_council_fallback,182,61,2019|2020,2019|2020
2022,ridge_level,1,training_only_grouped_council_fallback,182,61,2019|2020,2019|2020
2022,ridge_level,2,training_only_grouped_council_fallback,182,61,2019|2020,2019|2020
2022,ridge_level,3,training_only_grouped_council_fallback,183,60,2019|2020,2019|2020
2022,ridge_change,0,training_only_grouped_council_fallback,182,61,2019|2020,2019|2020
2022,ridge_change,1,training_only_grouped_council_fallback,182,61,2019|2020,2019|2020
2022,ridge_change,2,training_only_grouped_council_fallback,182,61,2019|2020,2019|2020
2022,ridge_change,3,training_only_grouped_council_fallback,183,60,2019|2020,2019|2020
2023,ridge_level,0,inner_forward_with_embargo,121,124,2019,2021
2023,ridge_change,0,inner_forward_with_embargo,121,124,2019,2021
