grouping,group,year,model,n,councils,financial_years,MAE,median_AE,q25_AE,q75_AE,p90_AE,RMSE,bias,mean_AE_difference_vs_persistence,median_AE_difference_vs_persistence
mapped_fire_group,mapped fire >0,pooled,persistence,131,77,3,7.278396946564886,6.279999999999999,2.4449999999999994,11.135,15.020000000000003,9.264461235535114,-2.3707633587786257,0.0,0.0
mapped_fire_group,mapped fire >0,pooled,tree_level,131,77,3,8.06460249214093,6.915999999999999,3.202546218487395,12.181666666666668,15.714166666666667,10.02254093798691,-4.29825993422683,0.7862055455760447,0.7930188679245278
mapped_fire_group,mapped fire >0,pooled,ridge_level,131,77,3,7.486439229154735,5.7668639452776915,2.645824282750366,10.240244112323243,16.696682404175945,9.86698266090943,-3.5824371472481964,0.20804228258984972,0.16003681408674497
mapped_fire_group,mapped fire >0,pooled,tree_change,131,77,3,7.6229086222929885,5.772043010752687,3.1036194267515924,10.938972325048475,16.966923076923074,9.77995606026346,-4.056434938964659,0.3445116757281031,0.42828947368420955
mapped_fire_group,mapped fire >0,pooled,ridge_change,131,77,3,7.588021917186742,6.019437878057326,3.352315867976996,10.433550264608922,16.132952754236243,9.639743663084959,-3.5852120677946804,0.30962497062185645,0.3533574755601627
mapped_fire_group,mapped fire >0,2021,persistence,31,31,1,6.74225806451613,5.35,2.9850000000000003,9.8,11.6,8.637557711865458,-5.45709677419355,0.0,0.0
mapped_fire_group,mapped fire >0,2021,tree_level,31,31,1,8.831280662955338,7.966666666666668,3.713246650906226,12.431666666666668,15.606666666666667,10.497195409729988,-8.727151630697273,2.0890225984392092,2.227234042553191
mapped_fire_group,mapped fire >0,2021,ridge_level,31,31,1,7.061957702559366,5.544610707909406,2.427934819096146,8.8631593973403,16.577446319538964,9.621037467271076,-6.6150801710619165,0.319699638043237,0.26368495543557247
mapped_fire_group,mapped fire >0,2021,tree_change,31,31,1,6.983121586958599,5.1877272727272725,3.2661136363636363,7.366113636363637,16.723947368421054,9.141606834884005,-5.968706980060122,0.24086352244247017,0.21772727272727266
mapped_fire_group,mapped fire >0,2021,ridge_change,31,31,1,7.83433395875279,6.333498705977138,4.185895561495251,9.794442630205685,15.321903978511077,9.582655908844789,-7.181562641365743,1.0920758942366613,1.1194378780573269
mapped_fire_group,mapped fire >0,2022,persistence,33,33,1,7.446060606060606,6.48,2.3699999999999997,9.21,15.264000000000001,9.886680970177029,-5.763030303030304,0.0,0.0
mapped_fire_group,mapped fire >0,2022,tree_level,33,33,1,8.408197583158547,6.853018867924527,4.213018867924529,12.563018867924528,15.252184325108853,10.509455110238536,-6.97453691721421,0.9621369770979401,0.38344827586206875
mapped_fire_group,mapped fire >0,2022,ridge_level,33,33,1,8.275109618640561,7.681412031394642,3.4497076562742786,12.16401439101014,15.145201907681965,10.38849033800859,-6.9661331971039875,0.8290490125799554,1.1414621473559876
mapped_fire_group,mapped fire >0,2022,tree_change,33,33,1,8.833415892665416,8.125901639344262,5.045901639344262,11.1885,14.92931440860215,10.648523879941672,-7.262234074483599,1.3873552866048104,2.065901639344261
mapped_fire_group,mapped fire >0,2022,ridge_change,33,33,1,8.277146549940056,7.692765219763592,3.7196426645204728,12.075749475561608,14.875699202886853,10.39182540280408,-7.010447806816731,0.8310859438794502,0.930781093654728
mapped_fire_group,mapped fire >0,2023,persistence,67,67,1,7.443880597014926,6.279999999999999,2.3949999999999996,12.290000000000001,15.356000000000002,9.227877134959613,0.728059701492537,0.0,0.0
mapped_fire_group,mapped fire >0,2023,tree_level,67,67,1,7.540637398128572,6.316363636363635,2.355916666666668,11.835,16.16283333333333,9.540482497175427,-0.9309049636422457,0.09675680111364704,0.12890756302520856
mapped_fire_group,mapped fire >0,2023,ridge_level,67,67,1,7.29439153469838,5.38052213617104,2.285492567411943,10.240244112323243,16.774880565797258,9.714532178440283,-0.5126773952561597,-0.14948906231654563,-0.01261674537434826
mapped_fire_group,mapped fire >0,2023,tree_change,67,67,1,7.322709490547854,4.952812500000004,2.577092111709946,10.152261146496816,17.554069225611798,9.617524864260144,-1.5926766591723551,-0.12117110646707194,0.44273885350318487
mapped_fire_group,mapped fire >0,2023,ridge_change,67,67,1,7.13463704898664,5.320619878329054,2.856102136088795,9.533358794325634,16.399541905956543,9.274272630788875,-0.23417255781810364,-0.30924354802828574,-0.39524417387205446
mapped_fire_group,verified scoped mapped zero,pooled,persistence,239,111,3,6.752133891213389,4.9399999999999995,2.76,9.665000000000001,14.416,8.895131713518177,-2.2614225941422594,0.0,0.0
mapped_fire_group,verified scoped mapped zero,pooled,tree_level,239,111,3,7.0349987822138855,5.952173913043477,2.543287037037036,9.928018867924528,14.95944827586207,8.863943756519623,-3.879671379505135,0.28286489100049705,0.4030188679245281
mapped_fire_group,verified scoped mapped zero,pooled,ridge_level,239,111,3,6.893631553726833,5.6831426250071795,2.6787444874642277,9.74757693956284,14.54979850664428,8.690974399717852,-3.2879619375950946,0.14149766251344337,0.07579668946617524
