year_start,financial_year,variable,councils,positive,zero,unknown,provenance
2012,2012-13,fesm_burned_ha,103,20,83,0,new_primary_source_historical_reconstruction
2012,2012-13,bushfire_declared,103,59,44,0,new_primary_source_historical_reconstruction
2012,2012-13,flood_declared,103,31,72,0,new_primary_source_historical_reconstruction
2012,2012-13,all_declared,103,72,31,0,new_primary_source_historical_reconstruction
2012,2012-13,bushfire_declared_event_count,103,59,44,0,new_primary_source_historical_reconstruction
2012,2012-13,flood_declared_event_count,103,31,72,0,new_primary_source_historical_reconstruction
2012,2012-13,flood_inundated_ha,103,0,0,103,new_primary_source_historical_reconstruction
2013,2013-14,fesm_burned_ha,103,41,62,0,new_primary_source_historical_reconstruction
2013,2013-14,bushfire_declared,103,33,0,70,new_primary_source_historical_reconstruction
2013,2013-14,flood_declared,103,0,0,103,new_primary_source_historical_reconstruction
2013,2013-14,all_declared,103,36,0,67,new_primary_source_historical_reconstruction
2013,2013-14,bushfire_declared_event_count,103,0,0,103,new_primary_source_historical_reconstruction
2013,2013-14,flood_declared_event_count,103,0,0,103,new_primary_source_historical_reconstruction
2013,2013-14,flood_inundated_ha,103,0,0,103,new_primary_source_historical_reconstruction
2014,2014-15,fesm_burned_ha,103,21,82,0,new_primary_source_historical_reconstruction
2014,2014-15,bushfire_declared,103,3,0,100,new_primary_source_historical_reconstruction
2014,2014-15,flood_declared,103,28,0,75,new_primary_source_historical_reconstruction
2014,2014-15,all_declared,103,42,0,61,new_primary_source_historical_reconstruction
2014,2014-15,bushfire_declared_event_count,103,0,0,103,new_primary_source_historical_reconstruction
2014,2014-15,flood_declared_event_count,103,0,0,103,new_primary_source_historical_reconstruction
2014,2014-15,flood_inundated_ha,103,0,0,103,new_primary_source_historical_reconstruction
2015,2015-16,fesm_burned_ha,103,21,82,0,new_primary_source_historical_reconstruction
2015,2015-16,bushfire_declared,103,3,0,100,new_primary_source_historical_reconstruction
2015,2015-16,flood_declared,103,41,0,62,new_primary_source_historical_reconstruction
2015,2015-16,all_declared,103,45,0,58,new_primary_source_historical_reconstruction
2015,2015-16,bushfire_declared_event_count,103,0,0,103,new_primary_source_historical_reconstruction
2015,2015-16,flood_declared_event_count,103,0,0,103,new_primary_source_historical_reconstruction
2015,2015-16,flood_inundated_ha,103,0,0,103,new_primary_source_historical_reconstruction
2016,2016-17,fesm_burned_ha,103,49,54,0,new_primary_source_historical_reconstruction
2016,2016-17,bushfire_declared,103,17,0,86,new_primary_source_historical_reconstruction
2016,2016-17,flood_declared,103,51,0,52,new_primary_source_historical_reconstruction
2016,2016-17,all_declared,103,61,0,42,new_primary_source_historical_reconstruction
2016,2016-17,bushfire_declared_event_count,103,0,0,103,new_primary_source_historical_reconstruction
2016,2016-17,flood_declared_event_count,103,0,0,103,new_primary_source_historical_reconstruction
2016,2016-17,flood_inundated_ha,103,0,0,103,new_primary_source_historical_reconstruction
2017,2017-18,fesm_burned_ha,103,44,59,0,frozen_NSW_Data_Panel_v1_exposure
