record_id,event_id,council_name_source,council_key,in_fixed_103,year_start,hazard_group,include_in_historical_panel,source_file,pdf_page
mpes_2012_p23_r01,mpes_2012_p23_r01,Shoalhaven,shoalhaven,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r01,mpes_2012_p23_r01,Goulburn Mulwaree,goulburnmulwaree,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r01,mpes_2012_p23_r01,Palerang,,False,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r02,mpes_2012_p23_r02,Nambucca,nambuccavalley,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r03,mpes_2012_p23_r03,Berrigan,berrigan,True,2012,other,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r03,mpes_2012_p23_r03,Corowa,,False,2012,other,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Armidale Dumaresq,,False,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Ballina,ballina,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Bellingen,bellingen,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Blue Mountains,bluemountains,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Byron,byron,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Camden,camden,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Cessnock,cessnock,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Clarence Valley,clarencevalley,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Coffs Harbour,coffsharbour,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Dungog,dungog,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Gloucester,,False,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Gosford,,False,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Greater Taree,,False,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Great Lakes,,False,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Hawkesbury,hawkesbury,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Kempsey,kempsey,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Kiama,kiama,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Kyogle,kyogle,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Lismore,lismore,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Lithgow,lithgow,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Nambucca,nambuccavalley,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Narrabri,narrabri,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Port Macquarie Hastings,portmacquariehastings,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Port Stephens,portstephens,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Randwick,randwick,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Richmond Valley,richmondvalley,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Shoalhaven,shoalhaven,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Upper Hunter,upperhunter,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Walcha,walcha,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r04,mpes_2012_p23_r04,Wyong,,False,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Ballina,ballina,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Bellingen,bellingen,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Byron,byron,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Clarence Valley,clarencevalley,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Coffs Harbour,coffsharbour,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Glen Innes Severn,gleninnessevern,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Gloucester,,False,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Great Lakes,,False,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Gunnedah,gunnedah,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Guyra,,False,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Inverell,,False,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Kempsey,kempsey,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Kyogle,kyogle,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Lismore,lismore,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Liverpool Plains,liverpoolplains,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Moree Plains,moreeplains,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Nambucca,nambuccavalley,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Port Macquarie Hastings,portmacquariehastings,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Richmond Valley,richmondvalley,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Tenterfield,tenterfield,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Tweed,tweed,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Upper Hunter,upperhunter,True,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r05,mpes_2012_p23_r05,Wyong,,False,2012,flood,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Albury,albury,True,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Bathurst,bathurst,True,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Bega Valley,begavalley,True,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Berrigan,berrigan,True,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Bogan,bogan,True,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Bland,bland,True,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Blayney,blayney,True,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Boorowa,,False,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Bourke,bourke,True,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Brewarrina,brewarrina,True,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Cabonne,cabonne,True,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Carrathool,carrathool,True,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Central Darling,centraldarling,True,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Cessnock,cessnock,True,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Cobar,,False,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Conargo,,False,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Coolamon,coolamon,True,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Cooma-Monaro,,False,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Coonamble Shire,coonamble,True,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Cootamundra,,False,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Corowa,,False,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Cowra,cowra,True,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Deniliquin,,False,2012,bushfire,True,sources/mpes_2012.pdf,23
mpes_2012_p23_r06,mpes_2012_p23_r06,Dubbo,,False,2012,bushfire,True,sources/mpes_2012.pdf,23
