record_id,source_id,source_file,source_url,pdf_page,reported_event_date,reported_hazard,reported_area,agricultural_only,agrn,declaration_announcement_date,source_first_publication_date,publication_date_status,onset_date_lower_bound,onset_date_upper_bound,reported_end_date,date_precision,year_start,financial_year,hazard_group,event_id,include_in_historical_panel,exclusion_reason
mpes_2012_p23_r01,mpes_2012,sources/mpes_2012.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,23,22 to 29 June 2013,"Storms, Flooding and Landslides","Shoalhaven, Goulburn Mulwaree, Palerang",False,,,,not_verified; annual report date is not event announcement date,2013-06-22,2013-06-22,2013-06-29,reported_range,2012,2012-13,flood,mpes_2012_p23_r01,True,
mpes_2012_p23_r02,mpes_2012,sources/mpes_2012.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,23,23 to 25 May 2013,"Storms, Flooding and Landslide",Nambucca,False,,,,not_verified; annual report date is not event announcement date,2013-05-23,2013-05-23,2013-05-25,reported_range,2012,2012-13,flood,mpes_2012_p23_r02,True,
mpes_2012_p23_r03,mpes_2012,sources/mpes_2012.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,23,21 March 2013,Severe weather,"Berrigan, Corowa",False,,,,not_verified; annual report date is not event announcement date,2013-03-21,2013-03-21,,day,2012,2012-13,other,mpes_2012_p23_r03,True,
mpes_2012_p23_r04,mpes_2012,sources/mpes_2012.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,23,From 19 February 2013,Storms and Flooding,"Armidale Dumaresq, Ballina, Bellingen, Blue Mountains, Byron, Camden, Cessnock, Clarence Valley, Coffs Harbour, Dungog, Gloucester, Gosford, Greater Taree, Great Lakes, Hawkesbury, Kempsey, Kiama, Kyogle, Lismore, Lithgow, Nambucca, Narrabri, Port Macquarie Hastings, Port Stephens, Randwick, Richmond Valley, Shoalhaven, Upper Hunter, Walcha, Wyong",False,,,,not_verified; annual report date is not event announcement date,2013-02-19,2013-02-19,,open_ended_onset,2012,2012-13,flood,mpes_2012_p23_r04,True,
mpes_2012_p23_r05,mpes_2012,sources/mpes_2012.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,23,January 2013,Storms and Flooding,"Ballina, Bellingen, Byron, Clarence Valley , Coffs Harbour , Glen Innes Severn , Gloucester, Great Lakes, Gunnedah, Guyra, Inverell, Kempsey, Kyogle, Lismore, Liverpool Plains , Moree Plains, Nambucca, Port Macquarie Hastings , Richmond Valley , Tenterfield, Tweed, Upper Hunter, Wyong",False,,,,not_verified; annual report date is not event announcement date,2013-01-01,2013-01-31,,month_or_month_range_bounds_not_exact_dates,2012,2012-13,flood,mpes_2012_p23_r05,True,
mpes_2012_p23_r06,mpes_2012,sources/mpes_2012.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,23,January 2013,Bushfire,"Albury, Bathurst, Bega Valley, Berrigan, Bogan, Bland, Blayney, Boorowa, Bourke, Brewarrina, Cabonne, Carrathool, Central Darling, Cessnock, Cobar, Conargo, Coolamon, Cooma-Monaro, Coonamble Shire , Cootamundra, Corowa, Cowra, Deniliquin, Dubbo, Eurobodalla, Forbes, Gilgandra Shire, Goulburn Mulwaree, Greater Hume, Griffith, Gundagai, Gwydir, Harden, Hay, Jerilderie, Junee, Lachlan, Leeton, Lithgow, Lockhart, Mid-Western Regional , Moree Plains , Murray, Muswellbrook, Murrumbidgee, Narrabri, Narrandera, Narromine, Oberon, Orange, Palerang, Parkes, Queanbeyan, Shoalhaven, Singleton, Snowy River, Temora, Tumbarumba, Tumut, Upper Lachlan , Urana, The Unincorporated Area , Wagga Wagga , Wakool, Walgett, Warren, Warrumbungle Shire, Weddin, Wellington, Yass Valley, Young",False,,,,not_verified; annual report date is not event announcement date,2013-01-01,2013-01-31,,month_or_month_range_bounds_not_exact_dates,2012,2012-13,bushfire,mpes_2012_p23_r06,True,
mpes_2012_p23_r07,mpes_2012,sources/mpes_2012.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,23,19 to 28 December 2012,Bushfire,"Gunnedah, Liverpool Plains, Upper Hunter",False,,,,not_verified; annual report date is not event announcement date,2012-12-19,2012-12-19,2012-12-28,reported_range,2012,2012-13,bushfire,mpes_2012_p23_r07,True,
mpes_2012_p23_r08,mpes_2012,sources/mpes_2012.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,23,17 to 21 December 2012,Bushfire,Gloucester,False,,,,not_verified; annual report date is not event announcement date,2012-12-17,2012-12-17,2012-12-21,reported_range,2012,2012-13,bushfire,mpes_2012_p23_r08,True,
mpes_2012_p23_r09,mpes_2012,sources/mpes_2012.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,23,16 to 23 December 2012,Bushfire,"Boorowa, Young",False,,,,not_verified; annual report date is not event announcement date,2012-12-16,2012-12-16,2012-12-23,reported_range,2012,2012-13,bushfire,mpes_2012_p23_r09,True,
mpes_2012_p23_r10,mpes_2012,sources/mpes_2012.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,23,13 to 18 December 2012,Bushfire,"Bourke, Brewarrina, Cobar, Central Darling, Unincorporated Area of NSW",False,,,,not_verified; annual report date is not event announcement date,2012-12-13,2012-12-13,2012-12-18,reported_range,2012,2012-13,bushfire,mpes_2012_p23_r10,True,
mpes_2012_p23_r11,mpes_2012,sources/mpes_2012.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,23,9 to 15 December 2012,Bushfire,Parkes,False,,,,not_verified; annual report date is not event announcement date,2012-12-09,2012-12-09,2012-12-15,reported_range,2012,2012-13,bushfire,mpes_2012_p23_r11,True,
mpes_2012_p23_r12,mpes_2012,sources/mpes_2012.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,23,6 to 10 December 2012,Bushfire,"Kempsey, Nambucca",False,,,,not_verified; annual report date is not event announcement date,2012-12-06,2012-12-06,2012-12-10,reported_range,2012,2012-13,bushfire,mpes_2012_p23_r12,True,
mpes_2012_p23_r13,mpes_2012,sources/mpes_2012.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,23,5 to 10 December 2012,Bushfire,Great Lakes,False,,,,not_verified; annual report date is not event announcement date,2012-12-05,2012-12-05,2012-12-10,reported_range,2012,2012-13,bushfire,mpes_2012_p23_r13,True,
mpes_2012_p23_r14,mpes_2012,sources/mpes_2012.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,23,4 to 9 December 2012,Bushfire,"Gwydir, Narrabri, Moree Plains",False,,,,not_verified; annual report date is not event announcement date,2012-12-04,2012-12-04,2012-12-09,reported_range,2012,2012-13,bushfire,mpes_2012_p23_r14,True,
mpes_2012_p24_r15,mpes_2012,sources/mpes_2012.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,24,17 November 2012,Severe storms,"Ballina, Lismore, Richmond Valley",False,,,,not_verified; annual report date is not event announcement date,2012-11-17,2012-11-17,,day,2012,2012-13,other,mpes_2012_p24_r15,True,
mpes_2012_p24_r16,mpes_2012,sources/mpes_2012.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,24,October/November 2012,Bushfire,"Armidale Dumaresq, Guyra, Kempsey, Walcha",False,,,,not_verified; annual report date is not event announcement date,2012-10-01,2012-11-30,,month_or_month_range_bounds_not_exact_dates,2012,2012-13,bushfire,mpes_2012_p24_r16,True,
