source_name,normalised_name,council_key,match_status,alias_rule
Albury,albury,albury,included_fixed_103,normalise_punctuation_and_council_suffixes
Armidale Dumaresq,armidaledumaresq,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Ashfield,ashfield,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Auburn,auburn,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Ballina,ballina,ballina,included_fixed_103,normalise_punctuation_and_council_suffixes
Balranald,balranald,balranald,included_fixed_103,normalise_punctuation_and_council_suffixes
Bankstown,bankstown,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Bathurst,bathurst,bathurst,included_fixed_103,normalise_punctuation_and_council_suffixes
Bega,bega,begavalley,included_fixed_103,explicit_spelling_or_short_name_alias
Bega Valley,begavalley,begavalley,included_fixed_103,normalise_punctuation_and_council_suffixes
Bellingen,bellingen,bellingen,included_fixed_103,normalise_punctuation_and_council_suffixes
Berrigan,berrigan,berrigan,included_fixed_103,normalise_punctuation_and_council_suffixes
Blacktown,blacktown,blacktown,included_fixed_103,normalise_punctuation_and_council_suffixes
Bland,bland,bland,included_fixed_103,normalise_punctuation_and_council_suffixes
Blayney,blayney,blayney,included_fixed_103,normalise_punctuation_and_council_suffixes
Blue Mountains,bluemountains,bluemountains,included_fixed_103,normalise_punctuation_and_council_suffixes
Bogan,bogan,bogan,included_fixed_103,normalise_punctuation_and_council_suffixes
Bombala,bombala,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Boorowa,boorowa,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Bourke,bourke,bourke,included_fixed_103,normalise_punctuation_and_council_suffixes
Brewarrina,brewarrina,brewarrina,included_fixed_103,normalise_punctuation_and_council_suffixes
Byron,byron,byron,included_fixed_103,normalise_punctuation_and_council_suffixes
Cabonne,cabonne,cabonne,included_fixed_103,normalise_punctuation_and_council_suffixes
Camden,camden,camden,included_fixed_103,normalise_punctuation_and_council_suffixes
Campbelltown,campbelltown,campbelltown,included_fixed_103,normalise_punctuation_and_council_suffixes
Canada Bay,canadabay,canadabay,included_fixed_103,normalise_punctuation_and_council_suffixes
Canterbury,canterbury,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Canterbury-Bankstown,canterburybankstown,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Carrathool,carrathool,carrathool,included_fixed_103,normalise_punctuation_and_council_suffixes
Central Coast,centralcoast,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Central Darling,centraldarling,centraldarling,included_fixed_103,normalise_punctuation_and_council_suffixes
Cessnock,cessnock,cessnock,included_fixed_103,normalise_punctuation_and_council_suffixes
City of Sydney,sydney,sydney,included_fixed_103,normalise_punctuation_and_council_suffixes
Clarence Valley,clarencevalley,clarencevalley,included_fixed_103,normalise_punctuation_and_council_suffixes
Cobar,cobar,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Coffs Harbour,coffsharbour,coffsharbour,included_fixed_103,normalise_punctuation_and_council_suffixes
Conargo,conargo,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Coolamon,coolamon,coolamon,included_fixed_103,normalise_punctuation_and_council_suffixes
Cooma-Monaro,coomamonaro,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Coonamble,coonamble,coonamble,included_fixed_103,normalise_punctuation_and_council_suffixes
Coonamble Shire,coonamble,coonamble,included_fixed_103,normalise_punctuation_and_council_suffixes
Cootamundra,cootamundra,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Cootamundra-Gundagai,cootamundragundagai,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Corowa,corowa,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Cowra,cowra,cowra,included_fixed_103,normalise_punctuation_and_council_suffixes
Deniliquin,deniliquin,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Dubbo,dubbo,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Dungog,dungog,dungog,included_fixed_103,normalise_punctuation_and_council_suffixes
Edward River,edwardriver,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Eurobodala,eurobodala,eurobodalla,included_fixed_103,explicit_spelling_or_short_name_alias
Eurobodalla,eurobodalla,eurobodalla,included_fixed_103,normalise_punctuation_and_council_suffixes
Fairfield,fairfield,fairfield,included_fixed_103,normalise_punctuation_and_council_suffixes
Federation,federation,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Forbes,forbes,forbes,included_fixed_103,normalise_punctuation_and_council_suffixes
G reat Lakes,greatlakes,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Gilgandra,gilgandra,gilgandra,included_fixed_103,normalise_punctuation_and_council_suffixes
Gilgandra Shire,gilgandra,gilgandra,included_fixed_103,normalise_punctuation_and_council_suffixes
Glen Innes Severn,gleninnessevern,gleninnessevern,included_fixed_103,normalise_punctuation_and_council_suffixes
Gloucester,gloucester,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Gosford,gosford,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Goulburn Mulwaree,goulburnmulwaree,goulburnmulwaree,included_fixed_103,normalise_punctuation_and_council_suffixes
Goulburn-Mulwaree,goulburnmulwaree,goulburnmulwaree,included_fixed_103,normalise_punctuation_and_council_suffixes
Great Lakes,greatlakes,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Greater Hume,greaterhume,greaterhume,included_fixed_103,normalise_punctuation_and_council_suffixes
Greater Taree,greatertaree,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Griffith,griffith,griffith,included_fixed_103,normalise_punctuation_and_council_suffixes
Gundagai,gundagai,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Gunnedah,gunnedah,gunnedah,included_fixed_103,normalise_punctuation_and_council_suffixes
Guyra,guyra,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Gwydir,gwydir,gwydir,included_fixed_103,normalise_punctuation_and_council_suffixes
Harden,harden,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Hawkesbury,hawkesbury,hawkesbury,included_fixed_103,normalise_punctuation_and_council_suffixes
Hay,hay,hay,included_fixed_103,normalise_punctuation_and_council_suffixes
Hilltops,hilltops,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Holroyd,holroyd,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Hornsby,hornsby,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Hunters Hill,huntershill,huntershill,included_fixed_103,normalise_punctuation_and_council_suffixes
Hurstville,hurstville,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Inner West,innerwest,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Inverell,inverell,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Jerilderie,jerilderie,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Junee,junee,junee,included_fixed_103,normalise_punctuation_and_council_suffixes
Kempsey,kempsey,kempsey,included_fixed_103,normalise_punctuation_and_council_suffixes
Kiama,kiama,kiama,included_fixed_103,normalise_punctuation_and_council_suffixes
Kogarah,kogarah,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Ku-ring- gai,kuringgai,kuringgai,included_fixed_103,normalise_punctuation_and_council_suffixes
Ku-ring-gai,kuringgai,kuringgai,included_fixed_103,normalise_punctuation_and_council_suffixes
Kur-Ring-Gai,kurringgai,kuringgai,included_fixed_103,explicit_spelling_or_short_name_alias
Kyogle,kyogle,kyogle,included_fixed_103,normalise_punctuation_and_council_suffixes
Lachlan,lachlan,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Lake Macquarie,lakemacquarie,lakemacquarie,included_fixed_103,normalise_punctuation_and_council_suffixes
Lane Cove,lanecove,lanecove,included_fixed_103,normalise_punctuation_and_council_suffixes
Leeton,leeton,leeton,included_fixed_103,normalise_punctuation_and_council_suffixes
Leichhardt,leichhardt,,excluded_not_in_fixed_103,normalise_punctuation_and_council_suffixes
Lismore,lismore,lismore,included_fixed_103,normalise_punctuation_and_council_suffixes
Lismore City,lismore,lismore,included_fixed_103,normalise_punctuation_and_council_suffixes
Lithgow,lithgow,lithgow,included_fixed_103,normalise_punctuation_and_council_suffixes
Liverpool,liverpool,liverpool,included_fixed_103,normalise_punctuation_and_council_suffixes
Liverpool Plains,liverpoolplains,liverpoolplains,included_fixed_103,normalise_punctuation_and_council_suffixes
Lockhart,lockhart,lockhart,included_fixed_103,normalise_punctuation_and_council_suffixes
Maitland,maitland,maitland,included_fixed_103,normalise_punctuation_and_council_suffixes
