LGA,Severity Class,Definition,Area (Ha),Total Area,% of LGA,Total % of LGA,council_key,source_excel_row
ALBURY,low,"burnt understory, unburnt canopy",0.0,,0.0,,albury,3
ALBURY,moderate,partial canopy scorch,0.0,,0.0,,albury,4
ALBURY,high,"full canopy scorch, partial consumption",0.0,,0.0,,albury,5
ALBURY,extreme,full canopy consumption,0.0,,0.0,,albury,6
ALBURY,,,,0.0,,0.0,albury,7
BALLINA,low,"burnt understory, unburnt canopy",18.24,,0.33,,ballina,13
BALLINA,moderate,partial canopy scorch,12.58,,0.23,,ballina,14
BALLINA,high,"full canopy scorch, partial consumption",7.83,,0.14,,ballina,15
BALLINA,extreme,full canopy consumption,11.46,,0.21,,ballina,16
BALLINA,,,,50.11,,0.91,ballina,17
BALRANALD,low,"burnt understory, unburnt canopy",13.55,,0.01,,balranald,18
BALRANALD,moderate,partial canopy scorch,3.14,,0.0,,balranald,19
BALRANALD,high,"full canopy scorch, partial consumption",13.22,,0.01,,balranald,20
BALRANALD,extreme,full canopy consumption,0.0,,0.0,,balranald,21
BALRANALD,,,,29.91,,0.02,balranald,22
BATHURST REGIONAL,low,"burnt understory, unburnt canopy",12.44,,0.03,,bathurst,23
BATHURST REGIONAL,moderate,partial canopy scorch,16.57,,0.04,,bathurst,24
BATHURST REGIONAL,high,"full canopy scorch, partial consumption",7.42,,0.02,,bathurst,25
BATHURST REGIONAL,extreme,full canopy consumption,1.84,,0.0,,bathurst,26
BATHURST REGIONAL,,,,38.27,,0.09000000000000001,bathurst,27
BEGA VALLEY,low,"burnt understory, unburnt canopy",0.0,,0.0,,begavalley,33
BEGA VALLEY,moderate,partial canopy scorch,0.0,,0.0,,begavalley,34
BEGA VALLEY,high,"full canopy scorch, partial consumption",0.0,,0.0,,begavalley,35
BEGA VALLEY,extreme,full canopy consumption,0.0,,0.0,,begavalley,36
BEGA VALLEY,,,,0.0,,0.0,begavalley,37
BELLINGEN,low,"burnt understory, unburnt canopy",37.26,,0.21,,bellingen,38
BELLINGEN,moderate,partial canopy scorch,3.35,,0.02,,bellingen,39
BELLINGEN,high,"full canopy scorch, partial consumption",0.18,,0.0,,bellingen,40
BELLINGEN,extreme,full canopy consumption,0.41,,0.0,,bellingen,41
BELLINGEN,,,,41.2,,0.23,bellingen,42
BERRIGAN,low,"burnt understory, unburnt canopy",0.0,,0.0,,berrigan,43
BERRIGAN,moderate,partial canopy scorch,0.0,,0.0,,berrigan,44
BERRIGAN,high,"full canopy scorch, partial consumption",0.0,,0.0,,berrigan,45
BERRIGAN,extreme,full canopy consumption,0.0,,0.0,,berrigan,46
BERRIGAN,,,,0.0,,0.0,berrigan,47
BLACKTOWN,low,"burnt understory, unburnt canopy",0.0,,0.0,,blacktown,48
