council_key,year_start,mapped_fire_positive,bushfire_declared,mapped_zero_but_declared,mapped_positive_but_no_listed_declaration,interpretation
albury,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
ballina,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
balranald,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
bathurst,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
bathurst,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
bathurst,2016,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
begavalley,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
bellingen,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
berrigan,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
blacktown,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
blacktown,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
bland,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
bland,2016,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
blayney,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
bluemountains,2012,True,0.0,False,True,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
bluemountains,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
bluemountains,2015,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
bogan,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
bourke,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
brewarrina,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
brokenhill,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
burwood,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
byron,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
cabonne,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
camden,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
campbelltown,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
canadabay,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
carrathool,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
centraldarling,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
cessnock,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
cessnock,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
cessnock,2016,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
clarencevalley,2012,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
clarencevalley,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
clarencevalley,2014,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
coffsharbour,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
coffsharbour,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
coffsharbour,2014,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
coolamon,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
coolamon,2013,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
coonamble,2012,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
cowra,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
dungog,2012,True,0.0,False,True,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
dungog,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
dungog,2016,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
eurobodalla,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
eurobodalla,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
fairfield,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
forbes,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
gilgandra,2012,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
gleninnessevern,2012,True,0.0,False,True,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
goulburnmulwaree,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
goulburnmulwaree,2016,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
greaterhume,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
greaterhume,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
griffith,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
gunnedah,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
gwydir,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
gwydir,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
hawkesbury,2012,True,0.0,False,True,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
hawkesbury,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
hawkesbury,2015,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
hay,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
huntershill,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
junee,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
junee,2013,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
kempsey,2012,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
kempsey,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
kempsey,2016,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
kiama,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
kuringgai,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
kyogle,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
lakemacquarie,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
lakemacquarie,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
lanecove,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
leeton,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
lismore,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
lithgow,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
lithgow,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
liverpool,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
liverpoolplains,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
lockhart,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
lockhart,2013,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
maitland,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
maitland,2016,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
midwestern,2012,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
midwestern,2016,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
moreeplains,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
moreeplains,2013,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
mosman,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
muswellbrook,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
muswellbrook,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
nambuccavalley,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
narrabri,2012,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
narrabri,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
narrabri,2014,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
narrabri,2016,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
narrandera,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
narromine,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
newcastle,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
newcastle,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
northsydney,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
oberon,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
oberon,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
orange,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
parkes,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
penrith,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
penrith,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
penrith,2016,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
portmacquariehastings,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
portmacquariehastings,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
portmacquariehastings,2016,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
portstephens,2012,True,0.0,False,True,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
portstephens,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
portstephens,2016,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
randwick,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
richmondvalley,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
ryde,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
shellharbour,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
shoalhaven,2012,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
shoalhaven,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
shoalhaven,2015,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
singleton,2012,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
singleton,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
singleton,2016,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
strathfield,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
sutherland,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
sydney,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
tamworth,2012,True,0.0,False,True,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
temora,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
tenterfield,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
tenterfield,2016,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
tweed,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
upperhunter,2012,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
upperhunter,2016,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
upperlachlan,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
uralla,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
waggawagga,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
waggawagga,2013,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
walcha,2012,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
walcha,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
walgett,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
warren,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
warrumbungle,2012,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
warrumbungle,2013,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
warrumbungle,2016,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
waverley,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
weddin,2012,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
wentworth,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
willoughby,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
wingecarribee,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
wingecarribee,2013,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
wollondilly,2012,True,0.0,False,True,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
wollondilly,2013,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
wollongong,2012,True,0.0,False,True,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
wollongong,2013,False,1.0,True,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
woollahra,2012,False,0.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
yassvalley,2012,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
yassvalley,2016,True,1.0,False,False,Different scopes: mapped vegetation burn versus assistance eligibility; neither overwrites the other
