council_key,year_start,financial_year,fesm_burned_ha,fesm_burned_pct_raw,fesm_high_extreme_ha,fesm_class0_ha,fesm_extent_only_ha,fesm_status,source_file,source_member,source_pixel_width_m,source_pixel_height_m,area_method,boundary_vintage,sensor,minimum_fire_size_ha_exclusive,fire_type,source_catalogue_created_utc,ex_ante_eligible_for_historical_forecast,physical_all_fire_zero_verified,raster_bbox_council_area_fraction
albury,2012,2012-13,0.0,0.0,0.0,30575.846265743417,0.0,verified_zero_mapped_burn_within_source_scope,fesm_wildfires_2012.zip,cvmsre_NSWWildfire_20122013_ag1l0.img,30.003107440343214,30.002776761894605,"Pixel centres within ABS2023 LGA; projected EPSG3308 grid-cell area, approximate hectares",2023,Landsat,100,wildfire_only,2025-02-21T00:59:39.368432,False,False,
ballina,2012,2012-13,0.0,0.0,0.0,48689.46854985184,0.0,verified_zero_mapped_burn_within_source_scope,fesm_wildfires_2012.zip,cvmsre_NSWWildfire_20122013_ag1l0.img,30.003107440343214,30.002776761894605,"Pixel centres within ABS2023 LGA; projected EPSG3308 grid-cell area, approximate hectares",2023,Landsat,100,wildfire_only,2025-02-21T00:59:39.368432,False,False,
balranald,2012,2012-13,0.0,0.0,0.0,2165389.507123465,0.0,verified_zero_mapped_burn_within_source_scope,fesm_wildfires_2012.zip,cvmsre_NSWWildfire_20122013_ag1l0.img,30.003107440343214,30.002776761894605,"Pixel centres within ABS2023 LGA; projected EPSG3308 grid-cell area, approximate hectares",2023,Landsat,100,wildfire_only,2025-02-21T00:59:39.368432,False,False,
bathurst,2012,2012-13,0.0,0.0,0.0,381075.24312123994,0.0,verified_zero_mapped_burn_within_source_scope,fesm_wildfires_2012.zip,cvmsre_NSWWildfire_20122013_ag1l0.img,30.003107440343214,30.002776761894605,"Pixel centres within ABS2023 LGA; projected EPSG3308 grid-cell area, approximate hectares",2023,Landsat,100,wildfire_only,2025-02-21T00:59:39.368432,False,False,
begavalley,2012,2012-13,0.0,0.0,0.0,629140.4914934884,0.0,verified_zero_mapped_burn_within_source_scope,fesm_wildfires_2012.zip,cvmsre_NSWWildfire_20122013_ag1l0.img,30.003107440343214,30.002776761894605,"Pixel centres within ABS2023 LGA; projected EPSG3308 grid-cell area, approximate hectares",2023,Landsat,100,wildfire_only,2025-02-21T00:59:39.368432,False,False,
bellingen,2012,2012-13,0.0,0.0,0.0,160131.32354518652,0.0,verified_zero_mapped_burn_within_source_scope,fesm_wildfires_2012.zip,cvmsre_NSWWildfire_20122013_ag1l0.img,30.003107440343214,30.002776761894605,"Pixel centres within ABS2023 LGA; projected EPSG3308 grid-cell area, approximate hectares",2023,Landsat,100,wildfire_only,2025-02-21T00:59:39.368432,False,False,
berrigan,2012,2012-13,0.0,0.0,0.0,206585.2936887749,0.0,verified_zero_mapped_burn_within_source_scope,fesm_wildfires_2012.zip,cvmsre_NSWWildfire_20122013_ag1l0.img,30.003107440343214,30.002776761894605,"Pixel centres within ABS2023 LGA; projected EPSG3308 grid-cell area, approximate hectares",2023,Landsat,100,wildfire_only,2025-02-21T00:59:39.368432,False,False,
blacktown,2012,2012-13,0.0,0.0,0.0,23841.8056449914,0.0,verified_zero_mapped_burn_within_source_scope,fesm_wildfires_2012.zip,cvmsre_NSWWildfire_20122013_ag1l0.img,30.003107440343214,30.002776761894605,"Pixel centres within ABS2023 LGA; projected EPSG3308 grid-cell area, approximate hectares",2023,Landsat,100,wildfire_only,2025-02-21T00:59:39.368432,False,False,
bland,2012,2012-13,0.0,0.0,0.0,854260.5100493024,0.0,verified_zero_mapped_burn_within_source_scope,fesm_wildfires_2012.zip,cvmsre_NSWWildfire_20122013_ag1l0.img,30.003107440343214,30.002776761894605,"Pixel centres within ABS2023 LGA; projected EPSG3308 grid-cell area, approximate hectares",2023,Landsat,100,wildfire_only,2025-02-21T00:59:39.368432,False,False,
blayney,2012,2012-13,0.0,0.0,0.0,152181.14442606052,0.0,verified_zero_mapped_burn_within_source_scope,fesm_wildfires_2012.zip,cvmsre_NSWWildfire_20122013_ag1l0.img,30.003107440343214,30.002776761894605,"Pixel centres within ABS2023 LGA; projected EPSG3308 grid-cell area, approximate hectares",2023,Landsat,100,wildfire_only,2025-02-21T00:59:39.368432,False,False,
