council_key,year_start,financial_year,fesm_burned_ha,fesm_burned_pct_raw,fesm_extent_only_ha,fesm_min_fire_size_ha_exclusive,fesm_source_file,fesm_excel_total_row,fesm_status,boundary_change_flag,boundary_compatibility,physical_flood_status,verified_zero_all_disaster_exposure,bushfire_declared_event_count,bushfire_agrns,bushfire_declaration_status,flood_declared_event_count,flood_agrns,flood_declaration_status,all_declared_event_count,all_agrns,all_declaration_status,source_list_disagreement_count,open_ended_onset_event_count,known_prior_year_carryover_count,prior_fy_declared_event_count,declaration_vs_fesm_scope_difference,candidate_no_new_declared_event,candidate_strict_scoped_comparison,direct_infrastructure_damage_documented,direct_infrastructure_evidence_ids
albury,2017,2017-18,0.0,0,,100.0,fire-extent-severity-mapping-results-2017-18.xlsx,7.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,1.0,False,True,False,,
albury,2018,2018-19,0.0,0,,100.0,fire-extent-severity-mapping-results-2018-19.xlsx,7.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
albury,2019,2019-20,21.76,<1,,10.0,fire-extent-severity-mapping-results-2019-20.xlsx,7.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,False,,
albury,2020,2020-21,0.0,0,,10.0,fire-extent-severity-mapping-results-2020-21.xlsx,7.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
albury,2021,2021-22,0.0,0,,10.0,fire-extent-severity-mapping-results-2021-22.xlsx,7.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,1001,listed_event_onset,1,1001,listed_event_onset,0.0,1.0,0.0,0.0,False,False,False,,
albury,2022,2022-23,30.67,0.09,0.0,10.0,fire-extent-severity-mapping-results-2022-23.xlsx,8.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,2,1030|1034,listed_event_onset,2,1030|1034,listed_event_onset,0.0,2.0,0.0,1.0,False,False,False,,
albury,2023,2023-24,0.0,0,0.0,10.0,fire-extent-severity-mapping-results-2023-24.xlsx,8.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,2.0,False,True,False,,
albury,2024,2024-25,,,,,,,unknown_source_not_acquired,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,False,,
ballina,2017,2017-18,369.85,0.7399999999999999,,100.0,fire-extent-severity-mapping-results-2017-18.xlsx,17.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,1,784,listed_event_onset,0.0,1.0,0.0,1.0,False,False,False,,
ballina,2018,2018-19,0.0,0,,100.0,fire-extent-severity-mapping-results-2018-19.xlsx,17.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,834,listed_event_onset,1,834,listed_event_onset,0.0,1.0,0.0,1.0,False,False,False,,
ballina,2019,2019-20,924.35,1.87,,10.0,fire-extent-severity-mapping-results-2019-20.xlsx,17.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,1,871,listed_event_onset,1,898,listed_event_onset,2,871|898,listed_event_onset,0.0,2.0,0.0,1.0,False,False,False,,
ballina,2020,2020-21,0.0,0,,10.0,fire-extent-severity-mapping-results-2020-21.xlsx,17.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,2,943|960,listed_event_onset,2,943|960,listed_event_onset,0.0,2.0,0.0,2.0,False,False,False,,
ballina,2021,2021-22,0.0,0,,10.0,fire-extent-severity-mapping-results-2021-22.xlsx,17.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,1012,listed_event_onset,1,1012,listed_event_onset,0.0,1.0,0.0,2.0,False,False,False,,
ballina,2022,2022-23,0.0,0,0.0,10.0,fire-extent-severity-mapping-results-2022-23.xlsx,20.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,1.0,False,True,False,,
ballina,2023,2023-24,0.0,0,0.0,10.0,fire-extent-severity-mapping-results-2023-24.xlsx,20.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
