file,source_url,sha256,bytes,role,acquisition_date_utc,publication_date,publication_status
sources/fesm_wildfires_2012.zip,https://datasets.seed.nsw.gov.au/dataset/4d0de137-501e-495a-9b00-e802678f3ad7/resource/ee67d740-c286-4739-a3fa-033a357014fe/download/cvmsre_nswwildfire_20122013_ag1l0.zip,b4057535a1206c3ead7c0629565d8f8bbe5d2710913f9a758a1c27e5f35375a7,1161941,accepted historical mapped wildfire raster,2026-09-18,,See metadata and temporal availability audit; acquisition is not publication
sources/fesm_wildfires_2013.zip,https://datasets.seed.nsw.gov.au/dataset/faf74450-77e9-4023-8282-3f672d51b25f/resource/ea484b74-a314-423b-b4de-cfee28c3e12c/download/cvmsre_nswwildfire_20132014_ag1l0.zip,2b5d7d6bc847d8d8b48501dd8f852b774fbfb5f8d11ccf4e7b43cb420fdda526,1626116,accepted historical mapped wildfire raster,2026-09-18,,See metadata and temporal availability audit; acquisition is not publication
sources/fesm_wildfires_2014.zip,https://datasets.seed.nsw.gov.au/dataset/5c8ba8c8-2518-460c-be6c-0901e4b77a3f/resource/75f383f2-7664-4892-af65-d0c46f60c987/download/cvmsre_nswwildfire_20142015_ag1l0.zip,7cb3eae2b97dd308cda125c81586c2b743cee75ef88394f56dbd5e824c4e2ed2,996069,accepted historical mapped wildfire raster,2026-09-18,,See metadata and temporal availability audit; acquisition is not publication
sources/fesm_wildfires_2015.zip,https://datasets.seed.nsw.gov.au/dataset/83620eb4-1c0f-4ef4-a5d7-d34cb545d8f7/resource/d2b12d49-7e65-457c-8359-1040d685275f/download/cvmsre_nswwildfire_20152016_ag1l0.zip,ef7dd8672cea2225372787ec4e7067bd02ba51ae9a1b46b1bdaa0c55cd7f1fc7,1235200,accepted historical mapped wildfire raster,2026-09-18,,See metadata and temporal availability audit; acquisition is not publication
sources/fesm_2016_vector.zip,https://datasets.seed.nsw.gov.au/dataset/eeaf2006-db96-4218-a124-43b19cd15765/resource/90cb3547-196f-480b-a0c7-9d834f794129/download/fire_fesm_2016_17.zip,72f93742cf1633832b778fc9d8189b3226fe9254998d740e3ac487b34e8dd991,19455916,accepted historical mapped wildfire raster package (cache filename does not describe format),2026-09-18,,See metadata and temporal availability audit; acquisition is not publication
sources/fesm_2016_17.xlsx,https://www.environment.nsw.gov.au/sites/default/files/2024-09/fire-extent-severity-mapping-results-2016-17.xlsx,67aaf911a343087ef332841e65c8b4b24c6e0d6f6c5384f5a1e5f37927704b3f,263489,audit only; area-percent inconsistency; not used for candidate area,2026-09-18,,See metadata and temporal availability audit; acquisition is not publication
sources/mpes_2012.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14743,873aa7e8e6095a2c4e5fc578468b3ce0c1bf4e6fb7f8ca284c1702564e746a9f,3333367,"accepted 2012-13 complete published declaration list, PDF pp23-24",2026-09-18,,See metadata and temporal availability audit; acquisition is not publication
sources/raa_2013.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/14785,0d31767f59be9dc3b383c307752127fca648583d9cc91aa7232fa60e7dbc39a7,343492,accepted partial declaration inventory; agricultural-only rows excluded; PDF pp10-11,2026-09-18,,See metadata and temporal availability audit; acquisition is not publication
sources/raa_2014.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/15213,71d75f618360bb849fb2ba3b6a29941114a7f2ad2836fa5ecf6f2dd9bf3a8c52,4790964,accepted partial declaration inventory; PDF pp14-15,2026-09-18,,See metadata and temporal availability audit; acquisition is not publication
sources/raa_2015.pdf,https://wayback.archive-it.org/22771/20240423201346/https://www.opengov.nsw.gov.au/download/15718,ce41a4bdf8a36b65430156f6c6d522ff104d960d46fadfa8781fbd02c4e781b7,2729936,accepted partial declaration inventory; PDF pp15-16,2026-09-18,,See metadata and temporal availability audit; acquisition is not publication
