council_key,LGA_CODE23,LGA_NAME23,area_ha_3308
albury,10050,Albury,30577.650805815952
ballina,10250,Ballina,48686.88189876378
balranald,10300,Balranald,2165393.2051728745
bathurst,10470,Bathurst,381074.38792733924
begavalley,10550,Bega Valley,629136.3200869103
bellingen,10600,Bellingen,160132.8809122609
berrigan,10650,Berrigan,206584.60002623353
blacktown,10750,Blacktown,23841.258460558427
bland,10800,Bland,854258.5122531148
blayney,10850,Blayney,152181.3778735708
bluemountains,10900,Blue Mountains,142851.99894564232
bogan,10950,Bogan,1458606.582662506
bourke,11150,Bourke,4166296.512889882
brewarrina,11200,Brewarrina,1919656.1981484764
brokenhill,11250,Broken Hill,16988.16209649561
burwood,11300,Burwood,711.609701611168
byron,11350,Byron,56839.76530797483
cabonne,11400,Cabonne,601107.1862106114
camden,11450,Camden,20117.95441993475
campbelltown,11500,Campbelltown (NSW),31088.670747648735
canadabay,11520,Canada Bay,1988.7387884986122
carrathool,11600,Carrathool,1890035.4671835147
centraldarling,11700,Central Darling,5343397.9955942705
cessnock,11720,Cessnock,196151.17450083475
clarencevalley,11730,Clarence Valley,1044926.0637610407
coffsharbour,11800,Coffs Harbour,117484.74510469577
coolamon,12000,Coolamon,242770.70192074627
coonamble,12150,Coonamble,991449.0755725543
cowra,12350,Cowra,280371.7998967219
dungog,12700,Dungog,224631.80210055417
eurobodalla,12750,Eurobodalla,342928.1535388694
fairfield,12850,Fairfield,10132.498807966304
forbes,12900,Forbes,470127.81171343307
gilgandra,12950,Gilgandra,482632.8540958334
gleninnessevern,13010,Glen Innes Severn,549111.74838679
goulburnmulwaree,13310,Goulburn Mulwaree,321656.328489999
greaterhume,13340,Greater Hume,574942.2681159708
griffith,13450,Griffith,163661.14974875894
gunnedah,13550,Gunnedah,498499.5244428556
gwydir,13660,Gwydir,927997.152381941
hawkesbury,13800,Hawkesbury,276990.8866230354
hay,13850,Hay,1130870.4237622195
huntershill,14100,Hunters Hill,570.6800542980094
junee,14300,Junee,202768.29151274162
kempsey,14350,Kempsey,337471.82574894244
kiama,14400,Kiama,25733.358638624944
kuringgai,14500,Ku-ring-gai,8525.233937443965
kyogle,14550,Kyogle,360051.4260086219
lakemacquarie,14650,Lake Macquarie,64742.46557054901
lanecove,14700,Lane Cove,1046.0609683719156
leeton,14750,Leeton,116555.38302570731
lismore,14850,Lismore,129308.34602454207
lithgow,14870,Lithgow,450376.83545459795
liverpool,14900,Liverpool,30520.245788338692
liverpoolplains,14920,Liverpool Plains,507713.11551389314
lockhart,14950,Lockhart,289411.7669130059
maitland,15050,Maitland,39080.2781855403
midwestern,15270,Mid-Western,873703.3893825714
moreeplains,15300,Moree Plains,1795558.6243950692
mosman,15350,Mosman,863.5437708543668
muswellbrook,15650,Muswellbrook,339916.1880518877
nambuccavalley,15700,Nambucca Valley,149148.75666695082
narrabri,15750,Narrabri,1302361.710817283
narrandera,15800,Narrandera,411090.7863816164
narromine,15850,Narromine,525332.3319170375
newcastle,15900,Newcastle,18637.90483612425
northsydney,15950,North Sydney,1047.1844112826464
oberon,16100,Oberon,361863.4035467744
orange,16150,Orange,28367.80093791368
parkes,16200,Parkes,594667.7665985619
penrith,16350,Penrith,40396.67638162268
portmacquariehastings,16380,Port Macquarie-Hastings,367923.79671173857
portstephens,16400,Port Stephens,85688.62229768315
randwick,16550,Randwick,3627.015360578644
richmondvalley,16610,Richmond Valley,305770.90978682105
ryde,16700,Ryde,4039.9819299663322
shellharbour,16900,Shellharbour,14722.03079163388
shoalhaven,16950,Shoalhaven,456331.1205999475
singleton,17000,Singleton,488404.8687408157
strathfield,17100,Strathfield,1397.5923068586662
sutherland,17150,Sutherland,33301.42778831329
sydney,17200,Sydney,2662.8729227031395
tamworth,17310,Tamworth,988271.7312769148
temora,17350,Temora,279780.1282438704
tenterfield,17400,Tenterfield,735144.0072620574
tweed,17550,Tweed,131469.07799080128
upperhunter,17620,Upper Hunter,808490.8202079596
upperlachlan,17640,Upper Lachlan,711691.0399790871
uralla,17650,Uralla,322780.0778102809
waggawagga,17750,Wagga Wagga,482091.05031775724
walcha,17850,Walcha,625753.0892827307
walgett,17900,Walgett,2234643.449293026
warren,17950,Warren,1074615.797127832
warrumbungle,18020,Warrumbungle,1236134.3349877421
waverley,18050,Waverley,933.4045305858126
weddin,18100,Weddin,340878.88870652195
wentworth,18200,Wentworth,2620816.088760982
willoughby,18250,Willoughby,2238.6141037385123
wingecarribee,18350,Wingecarribee,268546.6451149401
wollondilly,18400,Wollondilly,255115.62311477648
wollongong,18450,Wollongong,68326.76984288814
woollahra,18500,Woollahra,1223.4794375182319
yassvalley,18710,Yass Valley,399097.46727828565
