council_key,exposure_year_start,target_year_start,target_financial_year,forecast_cutoff,variable,value,reference_period_end,availability_status,ex_ante_certified,evidence,decision
albury,2012,2013,2013-14,2013-07-01,fesm_burned_ha,0.0,2013-06-30,ineligible_retrospective_product_postdates_historical_targets,False,FESM catalogue created February 2025; exact first historical public release not independently established,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2012,2013,2013-14,2013-07-01,bushfire_declared,1.0,2013-06-30,unknown_announcement_and_revision_dates_not_verified,False,Annual reports recovered retrospectively; no event-level announcement date verified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2012,2013,2013-14,2013-07-01,flood_declared,0.0,2013-06-30,unknown_announcement_and_revision_dates_not_verified,False,Annual reports recovered retrospectively; no event-level announcement date verified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2013,2014,2014-15,2014-07-01,fesm_burned_ha,0.0,2014-06-30,ineligible_retrospective_product_postdates_historical_targets,False,FESM catalogue created February 2025; exact first historical public release not independently established,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2013,2014,2014-15,2014-07-01,bushfire_declared,,2014-06-30,unknown_announcement_and_revision_dates_not_verified,False,Annual reports recovered retrospectively; no event-level announcement date verified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2013,2014,2014-15,2014-07-01,flood_declared,,2014-06-30,unknown_announcement_and_revision_dates_not_verified,False,Annual reports recovered retrospectively; no event-level announcement date verified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2014,2015,2015-16,2015-07-01,fesm_burned_ha,0.0,2015-06-30,ineligible_retrospective_product_postdates_historical_targets,False,FESM catalogue created February 2025; exact first historical public release not independently established,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2014,2015,2015-16,2015-07-01,bushfire_declared,,2015-06-30,unknown_announcement_and_revision_dates_not_verified,False,Annual reports recovered retrospectively; no event-level announcement date verified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2014,2015,2015-16,2015-07-01,flood_declared,,2015-06-30,unknown_announcement_and_revision_dates_not_verified,False,Annual reports recovered retrospectively; no event-level announcement date verified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2015,2016,2016-17,2016-07-01,fesm_burned_ha,0.0,2016-06-30,ineligible_retrospective_product_postdates_historical_targets,False,FESM catalogue created February 2025; exact first historical public release not independently established,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2015,2016,2016-17,2016-07-01,bushfire_declared,,2016-06-30,unknown_announcement_and_revision_dates_not_verified,False,Annual reports recovered retrospectively; no event-level announcement date verified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2015,2016,2016-17,2016-07-01,flood_declared,,2016-06-30,unknown_announcement_and_revision_dates_not_verified,False,Annual reports recovered retrospectively; no event-level announcement date verified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2016,2017,2017-18,2017-07-01,fesm_burned_ha,0.0,2017-06-30,ineligible_retrospective_product_postdates_historical_targets,False,"FESM report May 2022, PDF p2 and 2016-17 workbook",exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2016,2017,2017-18,2017-07-01,bushfire_declared,,2017-06-30,unknown_announcement_and_revision_dates_not_verified,False,Annual reports recovered retrospectively; no event-level announcement date verified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2016,2017,2017-18,2017-07-01,flood_declared,1.0,2017-06-30,unknown_announcement_and_revision_dates_not_verified,False,Annual reports recovered retrospectively; no event-level announcement date verified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2017,2018,2018-19,2018-07-01,fesm_burned_ha,0.0,2018-06-30,not_reaudited_in_this_extension,False,V1 source timing not recertified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2017,2018,2018-19,2018-07-01,bushfire_declared,0.0,2018-06-30,not_reaudited_in_this_extension,False,V1 source timing not recertified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2017,2018,2018-19,2018-07-01,flood_declared,0.0,2018-06-30,not_reaudited_in_this_extension,False,V1 source timing not recertified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2018,2019,2019-20,2019-07-01,fesm_burned_ha,0.0,2019-06-30,not_reaudited_in_this_extension,False,V1 source timing not recertified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2018,2019,2019-20,2019-07-01,bushfire_declared,0.0,2019-06-30,not_reaudited_in_this_extension,False,V1 source timing not recertified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2018,2019,2019-20,2019-07-01,flood_declared,0.0,2019-06-30,not_reaudited_in_this_extension,False,V1 source timing not recertified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2019,2020,2020-21,2020-07-01,fesm_burned_ha,21.76,2020-06-30,not_reaudited_in_this_extension,False,V1 source timing not recertified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2019,2020,2020-21,2020-07-01,bushfire_declared,0.0,2020-06-30,not_reaudited_in_this_extension,False,V1 source timing not recertified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
albury,2019,2020,2020-21,2020-07-01,flood_declared,0.0,2020-06-30,not_reaudited_in_this_extension,False,V1 source timing not recertified,exclude_from_claim_of_real_time_forecast_until_asof_evidence_verified
