variable,definition,unit,missingness_rule,scope
council_key,Stable identifier inherited without changing membership from fiscal V2 council_selection.csv,identifier,Never missing,All years; see provenance and status columns.
council_name,Display label from fiscal V2; never used as join key,text,Never missing,All years; see provenance and status columns.
year_start,First calendar year of July-June financial year,year,Never missing,All years; see provenance and status columns.
financial_year,July-June reference year; not publication year,YYYY-YY,Never missing,All years; see provenance and status columns.
historical_extension,True for newly reconstructed 2012-13 through 2016-17,boolean,Never missing,All years; see provenance and status columns.
exposure_provenance,New historical reconstruction or frozen original panel,category,Never missing,All years; see provenance and status columns.
fesm_burned_ha,Mapped low+moderate+high+extreme wildfire area (classes 2-5); hectares calculated from actual raster pixel dimensions for historical extension,hectares,"Zero is no mapped burn in the stated inventory, not no fire",Historical: wildfire events >100 ha; fixed ABS2023 boundaries; later original values unchanged
fesm_burned_pct_raw,"Historical: 100 x mapped hectares / council polygon hectares; later: original raw workbook field, including inequality strings",percent of council area,Zero may be a rounded source percentage in original years; inspect hectares,Historical recalculated in EPSG3308; later raw reported percentage not revalidated
fesm_extent_only_ha,"Mapped class 1/extent-only area, separate from classified burn area",hectares,Historical zero only after pixel-class audit; original missing retained,All years; see provenance and status columns.
fesm_min_fire_size_ha_exclusive,"Inventory minimum event size: strict greater-than threshold, not a council-area cutoff",hectares,Blank means unknown or not supplied; never replace with zero.,All years; see provenance and status columns.
fesm_status,"Distinguishes positive mapped burn, source-scoped mapped zero, and unavailable values",category,Blank means unknown or not supplied; never replace with zero.,All years; see provenance and status columns.
fesm_sensor,"Satellite sensor regime; 2012-17 Landsat, 2017-18 onward Sentinel 2",text,Blank means unknown or not supplied; never replace with zero.,All years; see provenance and status columns.
fesm_boundary_vintage,Boundary geometry vintage used for spatial summary,year or status,Blank means unknown or not supplied; never replace with zero.,All years; see provenance and status columns.
fesm_area_method,How mapped area was measured,text,Blank means unknown or not supplied; never replace with zero.,All years; see provenance and status columns.
fesm_source_file,Cached spatial source for historical years; unchanged original source name for later years,filename,Blank means unknown or not supplied; never replace with zero.,All years; see provenance and status columns.
fesm_source_member,"Raster inside ZIP, or original table reference",archive member / sheet,Blank means unknown or not supplied; never replace with zero.,All years; see provenance and status columns.
fesm_excel_total_row,Original workbook total-row locator where table used; blank for raster-derived historical measures,1-based spreadsheet row,Blank is not applicable for raster-derived values,All years; see provenance and status columns.
fesm_asof_forecast_status,Whether retrieved product vintage supports an historical real-time forecast,category,Blank means unknown or not supplied; never replace with zero.,All years; see provenance and status columns.
declaration_inventory_status,"Completeness of the source inventory, separate from observed event presence",category,Blank means unknown or not supplied; never replace with zero.,All years; see provenance and status columns.
declaration_regime,Assistance/declaration system; agricultural-only records excluded from historical primary measures,text,Blank means unknown or not supplied; never replace with zero.,All years; see provenance and status columns.
declaration_source_files,Evidence used to reconstruct each reference year,filenames,Blank means unknown or not supplied; never replace with zero.,All years; see provenance and status columns.
declaration_asof_forecast_status,Availability of announcement/revision dates before forecast cutoff,category,Blank means unknown or not supplied; never replace with zero.,All years; see provenance and status columns.
physical_flood_status,Physical flood-area coverage; declaration records are not inundation measurements,category,Blank means unknown or not supplied; never replace with zero.,All years; see provenance and status columns.
flood_inundated_ha,Reserved for verified physical inundated area; no values populated,hectares,"All blank = unknown, never zero",All years; see provenance and status columns.
verified_zero_all_disaster_exposure,Whether absence of all disaster exposure has been verified,boolean,False throughout; false does not imply positive exposure,All years; see provenance and status columns.
bushfire_declared,1 = at least one listed council event; 0 = no listed event in scoped complete source; blank = unknown,0 / 1 / blank,"Unlisted councils in partial inventories are blank, not zero",Bushfire-labelled events
bushfire_declared_event_count,"Event count only where source inventory supports a scoped total; distinct source entries, not independent physical disasters or necessarily unique AGRNs",count,Entirely blank for 2013-14 to 2016-17 because full counts are uncertified,Bushfire-labelled events
bushfire_observed_event_count,Count of distinct recovered event entries naming council; lower bound when inventory incomplete,count,Blank if no positive evidence in an incomplete inventory; zero only in scoped complete source,Bushfire-labelled events
