council_key,council_name,year_start,financial_year,period_start,period_end,reporting_months,reporting_period_evidence,source_file,source_sheet,source_excel_row,historical_extension,operating_ratio_pct,cash_cover_reported_months,current_ratio,own_source_pct,grants_pct,debt_service_cover,debt_service_ratio_pct,actual_maintenance_aud,required_maintenance_aud,maintenance_reported_pct,total_revenue_including_capital_aud,total_expenses_aud,result_before_capital_aud,residential_rates_aud,farmland_rates_aud,business_rates_aud,mining_rates_aud,population,area_km2,road_reported_km,cash_cover_months,cash_definition_status,operating_definition_regime,debt_service_cover_requires_review,road_scope,road_km,maintenance_gap_aud,maintenance_calculated_pct,maintenance_difference_pp,maintenance_conflict,maintenance_ratio_pct,maintenance_basis,fesm_burned_ha,fesm_burned_pct_raw,fesm_extent_only_ha,fesm_min_fire_size_ha_exclusive,fesm_source_file,fesm_excel_total_row,fesm_status,boundary_change_flag,boundary_compatibility,physical_flood_status,verified_zero_all_disaster_exposure,bushfire_declared_event_count,bushfire_agrns,bushfire_declaration_status,flood_declared_event_count,flood_agrns,flood_declaration_status,all_declared_event_count,all_declaration_status,source_list_disagreement_count,open_ended_onset_event_count,known_prior_year_carryover_count,prior_fy_declared_event_count,direct_infrastructure_damage_documented,direct_infrastructure_evidence_ids,exposure_coverage_status,rates_annual_charges_aud,user_charges_fees_aud,other_revenue_aud,operating_grants_aud,capital_grants_aud,interest_investment_aud,employee_cost_aud,materials_services_aud,borrowing_cost_aud,depreciation_impairment_aud,other_expense_aud,statement_total_revenue_aud,statement_total_expenses_aud,operating_revenue_ex_capital_aud,candidate_only,strict_asof_predictor_panel
albury,Albury,2012,2012-13,2012-07-01,2013-06-30,12,"OLG annual reporting-year header; continuing-entity screen, individual opinion not certified for all rows",time-series-data-1994-2015.xls,2012-13 DATA,2,True,-1.1199999999999999,6.8903,3.1815,78.97,17.529964768974622,4.0145,,8694000.0,7816000.0,111.23,108711000.0,99331000.0,,22593000.0,522000.0,8711000.0,,49655,,551.73,,Earlier measure excludes term deposits and uses different expense denominator; not converted,Early OLG/TCorp definitions; revaluation exclusions described,False,local_regional_state,,878000.0,111.23336745138178,0.0033674513817771867,False,111.23336745138178,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",,,,,,,,,,,,,,,,,,,,,,,,,,not_extended_unknown,48963000.0,36388000.0,2132000.0,9207000.0,9850000.0,2412000.0,32173000.0,22664000.0,3968000.0,25670000.0,14921000.0,108967000.0,99587000.0,99117000.0,True,False
albury,Albury,2013,2013-14,2013-07-01,2014-06-30,12,"OLG annual reporting-year header; continuing-entity screen, individual opinion not certified for all rows",time-series-data-1994-2015.xls,2013-14 DATA,3,True,2.46,8.515,2.5578,79.0,20.932439793341366,4.8992,6.159573734647848,10185000.0,7817000.0,130.0,121166000.0,100676000.0,,,557000.0,9783000.0,0.0,50243,,555.84,8.515,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Early OLG/TCorp definitions; revaluation exclusions described,False,local_regional_state,,2368000.0,130.2929512600742,0.29295126007420436,False,130.2929512600742,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",,,,,,,,,,,,,,,,,,,,,,,,,,not_extended_unknown,53508000.0,37188000.0,2620000.0,6115000.0,19248000.0,2457000.0,33231000.0,22846000.0,3535000.0,25370000.0,14052000.0,121166000.0,100676000.0,101918000.0,True,False
albury,Albury,2014,2014-15,2014-07-01,2015-06-30,12,"OLG annual reporting-year header; continuing-entity screen, individual opinion not certified for all rows",time-series-data-2014-15_1.xls,2014-15 Time Series Data,4,True,14.48,9.5415,2.7318000000000002,82.46,17.540000000000006,7.2002999999999995,5.454213473376692,9074000.0,8951000.0,101.37,127668000.0,101221000.0,,25396000.0,532000.0,9445000.0,,51082,305.9,565.11,9.5415,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Pre-AASB15/1058,False,local_regional_state,,123000.0,101.37414813987264,0.0041481398726403995,False,101.37414813987264,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",,,,,,,,,,,,,,,,,,,,,,,,,,not_extended_unknown,,,,,,,,,,,,,,,True,False
albury,Albury,2015,2015-16,2015-07-01,2016-06-30,12,"OLG annual reporting-year header; continuing-entity screen, individual opinion not certified for all rows",time-series-data-2015-16.xls,2015-16 DATA,4,True,12.98,13.43,3.29,81.31,18.689999999999998,6.79,5.641348609289806,29201000.0,35802000.0,81.56,132186000.0,101906000.0,,26493000.0,504000.0,9747000.0,,51722,305.9,572.48,13.43,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Pre-AASB15/1058,False,local_regional_state,,-6601000.0,81.5624825428747,0.002482542874702176,False,81.5624825428747,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",,,,,,,,,,,,,,,,,,,,,,,,,,not_extended_unknown,,,,,,,,,,,,,,,True,False
albury,Albury,2016,2016-17,2016-07-01,2017-06-30,12,"OLG annual reporting-year header; continuing-entity screen, individual opinion not certified for all rows",time-series-data-2016-17.xls,2016-17 DATA,4,True,16.78,16.1769,3.3,79.5,20.49756897494174,7.1,5.858516818825367,28344000.0,35129000.0,80.69,139036000.0,103623000.0,,27490000.0,554000.0,10006000.0,0.0,52165,305.9,573.18,16.1769,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Pre-AASB15/1058,False,local_regional,573.18,-6785000.0,80.68547354037975,-0.004526459620251444,False,80.68547354037975,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",,,,,,,,,,,,,,,,,,,,,,,,,,not_extended_unknown,,,,,,,,,,,,,,,True,False
albury,Albury,2017,2017-18,2017-07-01,2018-06-30,12,"OLG annual reporting-year header; continuing-entity screen, individual opinion not certified for all rows",time-series-data-2017-2018.xls,2017-18 DATA (Final),4,False,15.17,18.61,2.62,79.47,20.52579392087867,7.2,5.524535295198383,29194000.0,35160000.0,83.03,125187000.0,106194000.0,,27677000.0,621000.0,10831000.0,,52949,305.9,581.05,18.61,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Pre-AASB15/1058,False,local_regional,581.05,-5966000.0,83.03185437997725,0.0018543799772459124,False,83.03185437997725,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,0,,100.0,fire-extent-severity-mapping-results-2017-18.xlsx,7.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0.0,,no_listed_event_onset_not_physical_zero,0.0,,no_listed_event_onset_not_physical_zero,0.0,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,1.0,,,inherited_V1_scope_and_flags,,,,,,,,,,,,,,,True,False
albury,Albury,2018,2018-19,2018-07-01,2019-06-30,12,"OLG annual reporting-year header; continuing-entity screen, individual opinion not certified for all rows",time-series-data-2018-2019.xlsx,2018_19_Councils,4,False,13.69,1.22,2.41,70.83,29.17,7.58,5.005608630515467,29652000.0,30059000.0,98.65,169379000.0,114646000.0,,29436000.0,660000.0,11213000.0,,53767,305.9,590.04,1.22,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Pre-AASB15/1058,False,local_regional,590.04,-407000.0,98.64599620745867,-0.00400379254134009,False,98.64599620745867,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,0,,100.0,fire-extent-severity-mapping-results-2018-19.xlsx,7.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0.0,,no_listed_event_onset_not_physical_zero,0.0,,no_listed_event_onset_not_physical_zero,0.0,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,,,inherited_V1_scope_and_flags,,,,,,,,,,,,,,,True,False
albury,Albury,2019,2019-20,2019-07-01,2020-06-30,12,"OLG annual reporting-year header; continuing-entity screen, individual opinion not certified for all rows",time-series-data-2019-2020.xlsx,Councils,4,False,3.05,18.67,1.93,80.98,19.019999999999996,5.17,6.19460049937578,32016000.0,30440000.0,105.18,145092000.0,124257000.0,3903000.0,30600000.0,666000.0,11551000.0,,54353,305.9,591.38,18.67,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",AASB15/1058 and lease regime,False,local_regional,591.38,1576000.0,105.17739816031538,-0.002601839684629681,False,105.17739816031538,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",21.76,<1,,10.0,fire-extent-severity-mapping-results-2019-20.xlsx,7.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0.0,,no_listed_event_onset_not_physical_zero,0.0,,no_listed_event_onset_not_physical_zero,0.0,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,,,inherited_V1_scope_and_flags,,,,,,,,,,,,,,,True,False
albury,Albury,2020,2020-21,2020-07-01,2021-06-30,12,"OLG annual reporting-year header; continuing-entity screen, individual opinion not certified for all rows",time-series-data-2020-2021.xlsx,Councils,4,False,-2.57,20.95,2.05,72.7,27.301948154463073,2.97,9.486752182488113,29061000.0,28533000.0,101.85,158355000.0,135537000.0,-4723000.0,32387000.0,762000.0,11193000.0,0.0,55055,305.9,595.09,20.95,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",AASB15/1058 and lease regime,False,local_regional,595.09,528000.0,101.8504889075807,0.0004889075807028576,False,101.8504889075807,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,0,,10.0,fire-extent-severity-mapping-results-2020-21.xlsx,7.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0.0,,no_listed_event_onset_not_physical_zero,0.0,,no_listed_event_onset_not_physical_zero,0.0,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,,,inherited_V1_scope_and_flags,,,,,,,,,,,,,,,True,False
albury,Albury,2021,2021-22,2021-07-01,2022-06-30,12,"OLG annual reporting-year header; continuing-entity screen, individual opinion not certified for all rows",time-series-data-2021-22.xlsx,Councils,4,False,-2.11,21.5467,3.156,73.29,26.71280603748627,5.4791,4.854469567140251,30875000.0,29738000.0,103.82,169342000.0,149850000.0,-5138000.0,33653000.0,788000.0,11566000.0,0.0,56036,305.6,601.52,21.5467,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",AASB15/1058 and lease regime,False,local_regional,601.52,1137000.0,103.82339094760911,0.003390947609119621,False,103.82339094760911,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,0,,10.0,fire-extent-severity-mapping-results-2021-22.xlsx,7.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0.0,,no_listed_event_onset_not_physical_zero,1.0,1001,listed_event_onset,1.0,listed_event_onset,0.0,1.0,0.0,0.0,,,inherited_V1_scope_and_flags,,,,,,,,,,,,,,,True,False
