council_key,year_start,variable,raw_value,normalized_value,normalization_factor,source_status,source_file,source_sheet,source_cell,source_header,source_url,source_sha256,release_date,current_vintage_availability,retrieved_date
albury,2012,operating_ratio_pct,-1.1199999999999999,-1.1199999999999999,1.0,observed_numeric,time-series-data-1994-2015.xls,2012-13 DATA,CI2,Operating Performance Ratio,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,402f2500192b0c6a614663072afe8404bb5b62cdf92d15fb1e73f8bd6199e608,,Historical first-release values not certified from current archive,2026-09-18
albury,2012,cash_cover_reported_months,6.8903,6.8903,1.0,observed_numeric,time-series-data-1994-2015.xls,2012-13 DATA,CM2,Cash Expense Cover Ratio,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,402f2500192b0c6a614663072afe8404bb5b62cdf92d15fb1e73f8bd6199e608,,Historical first-release values not certified from current archive,2026-09-18
albury,2012,current_ratio,3.1815,3.1815,1.0,observed_numeric,time-series-data-1994-2015.xls,2012-13 DATA,CJ2,Unrestricted Current Ratio,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,402f2500192b0c6a614663072afe8404bb5b62cdf92d15fb1e73f8bd6199e608,,Historical first-release values not certified from current archive,2026-09-18
albury,2012,own_source_pct,78.97,78.97,1.0,observed_numeric,time-series-data-1994-2015.xls,2012-13 DATA,CG2,% Own Source Revenue,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,402f2500192b0c6a614663072afe8404bb5b62cdf92d15fb1e73f8bd6199e608,,Historical first-release values not certified from current archive,2026-09-18
albury,2012,grants_pct,17.529964768974622,17.529964768974622,1.0,observed_numeric,time-series-data-1994-2015.xls,2012-13 DATA,CH2,% Grants Revenue,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,402f2500192b0c6a614663072afe8404bb5b62cdf92d15fb1e73f8bd6199e608,,Historical first-release values not certified from current archive,2026-09-18
albury,2012,debt_service_cover,4.0145,4.0145,1.0,observed_numeric,time-series-data-1994-2015.xls,2012-13 DATA,CL2,Debt Service Cover ratio,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,402f2500192b0c6a614663072afe8404bb5b62cdf92d15fb1e73f8bd6199e608,,Historical first-release values not certified from current archive,2026-09-18
albury,2012,debt_service_ratio_pct,,,,column_unavailable,time-series-data-1994-2015.xls,2012-13 DATA,,,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,402f2500192b0c6a614663072afe8404bb5b62cdf92d15fb1e73f8bd6199e608,,Historical first-release values not certified from current archive,2026-09-18
albury,2012,actual_maintenance_aud,8694000,8694000.0,1.0,observed_numeric,time-series-data-1994-2015.xls,2012-13 DATA,BO2,Actual Asset Maintenance Expenditure 2012/13 ($),https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,402f2500192b0c6a614663072afe8404bb5b62cdf92d15fb1e73f8bd6199e608,,Historical first-release values not certified from current archive,2026-09-18
albury,2012,required_maintenance_aud,7816000,7816000.0,1.0,observed_numeric,time-series-data-1994-2015.xls,2012-13 DATA,BP2,Required Asset Maintenance Expenditure 2012/13 ($),https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,402f2500192b0c6a614663072afe8404bb5b62cdf92d15fb1e73f8bd6199e608,,Historical first-release values not certified from current archive,2026-09-18
albury,2012,maintenance_reported_pct,1.1123,111.23,100.0,observed_numeric,time-series-data-1994-2015.xls,2012-13 DATA,DL2,Asset Maintenance Ratio,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,402f2500192b0c6a614663072afe8404bb5b62cdf92d15fb1e73f8bd6199e608,,Historical first-release values not certified from current archive,2026-09-18
albury,2012,total_revenue_including_capital_aud,108711,108711000.0,1000.0,observed_numeric,time-series-data-1994-2015.xls,2012-13 DATA,V2,"2012/13 Total Revenue from Continuing Operations ($,000)",https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,402f2500192b0c6a614663072afe8404bb5b62cdf92d15fb1e73f8bd6199e608,,Historical first-release values not certified from current archive,2026-09-18
albury,2012,total_expenses_aud,99331,99331000.0,1000.0,observed_numeric,time-series-data-1994-2015.xls,2012-13 DATA,W2,2012/13 Total Expenses from Continuing Operations ($'000),https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,402f2500192b0c6a614663072afe8404bb5b62cdf92d15fb1e73f8bd6199e608,,Historical first-release values not certified from current archive,2026-09-18
albury,2012,result_before_capital_aud,,,,column_unavailable,time-series-data-1994-2015.xls,2012-13 DATA,,,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-1994-2015.xls,402f2500192b0c6a614663072afe8404bb5b62cdf92d15fb1e73f8bd6199e608,,Historical first-release values not certified from current archive,2026-09-18
