council_key,total_years,operating_years,cash_comparable_years,maintenance_eligible_years,new_years
albury,13,12,11,13,5
ballina,13,12,11,13,5
balranald,13,12,11,13,5
bathurst,13,12,11,13,5
begavalley,13,12,11,13,5
bellingen,13,12,11,13,5
berrigan,13,12,11,13,5
blacktown,13,12,11,13,5
bland,13,12,11,12,5
blayney,13,12,11,13,5
bluemountains,13,12,11,13,5
bogan,13,12,11,13,5
bourke,13,12,11,13,5
brewarrina,13,12,11,13,5
brokenhill,13,12,11,13,5
burwood,13,12,11,13,5
byron,13,12,11,13,5
cabonne,13,12,11,13,5
camden,13,12,11,13,5
campbelltown,13,12,11,13,5
canadabay,13,12,11,13,5
carrathool,13,12,11,13,5
centraldarling,13,12,11,13,5
cessnock,13,12,11,13,5
clarencevalley,13,12,11,13,5
coffsharbour,13,12,11,13,5
coolamon,13,12,11,13,5
coonamble,13,12,11,13,5
cowra,13,12,11,13,5
dungog,13,12,11,13,5
eurobodalla,13,12,11,12,5
fairfield,13,12,11,13,5
forbes,13,12,11,13,5
gilgandra,13,12,11,13,5
gleninnessevern,13,11,10,12,5
goulburnmulwaree,13,12,11,13,5
greaterhume,13,12,11,12,5
griffith,13,12,11,13,5
gunnedah,13,12,11,13,5
gwydir,13,11,10,12,5
hawkesbury,13,12,11,13,5
hay,13,12,11,13,5
huntershill,13,12,11,13,5
junee,13,12,11,13,5
kempsey,13,12,11,13,5
kiama,13,11,10,11,5
kuringgai,13,12,11,13,5
kyogle,13,12,11,13,5
lakemacquarie,13,12,11,13,5
lanecove,13,12,11,13,5
leeton,13,12,11,13,5
lismore,13,12,11,13,5
lithgow,13,12,11,13,5
liverpool,13,12,11,13,5
liverpoolplains,13,12,11,13,5
lockhart,13,12,11,13,5
maitland,13,11,10,12,5
midwestern,13,12,11,13,5
moreeplains,13,12,11,13,5
mosman,13,12,11,13,5
muswellbrook,13,12,11,13,5
nambuccavalley,13,12,11,13,5
narrabri,13,12,11,12,5
narrandera,13,12,11,13,5
narromine,13,12,11,13,5
newcastle,13,12,11,13,5
northsydney,13,12,11,13,5
oberon,13,12,11,13,5
orange,13,12,11,13,5
parkes,13,12,11,13,5
penrith,13,12,11,13,5
portmacquariehastings,13,12,11,13,5
portstephens,13,12,11,12,5
randwick,13,12,11,13,5
richmondvalley,13,12,11,13,5
ryde,13,12,11,13,5
shellharbour,13,12,11,13,5
shoalhaven,13,12,11,12,5
singleton,13,12,11,13,5
strathfield,13,12,11,13,5
sutherland,13,12,11,13,5
sydney,13,12,11,13,5
tamworth,13,12,11,13,5
temora,13,12,11,13,5
tenterfield,13,12,11,13,5
tweed,13,12,11,13,5
upperhunter,13,12,11,13,5
upperlachlan,13,12,11,13,5
uralla,13,12,11,13,5
waggawagga,13,12,11,13,5
walcha,13,12,11,13,5
walgett,13,12,11,13,5
warren,13,12,11,13,5
warrumbungle,13,12,11,13,5
waverley,13,12,11,13,5
weddin,13,12,11,13,5
wentworth,13,12,11,13,5
willoughby,13,12,11,13,5
wingecarribee,13,12,11,13,5
wollondilly,13,12,11,12,5
wollongong,13,12,11,13,5
woollahra,13,12,11,13,5
yassvalley,13,12,11,13,5
