year_start,financial_year,variable,councils_in_subset,observed,missing,extension
2012,2012-13,operating_ratio_pct,103,103,0,True
2012,2012-13,cash_cover_reported_months,103,103,0,True
2012,2012-13,current_ratio,103,103,0,True
2012,2012-13,own_source_pct,103,103,0,True
2012,2012-13,grants_pct,103,103,0,True
2012,2012-13,debt_service_cover,103,103,0,True
2012,2012-13,debt_service_ratio_pct,103,0,103,True
2012,2012-13,actual_maintenance_aud,103,103,0,True
2012,2012-13,required_maintenance_aud,103,103,0,True
2012,2012-13,maintenance_reported_pct,103,103,0,True
2012,2012-13,total_revenue_including_capital_aud,103,103,0,True
2012,2012-13,total_expenses_aud,103,103,0,True
2012,2012-13,result_before_capital_aud,103,0,103,True
2012,2012-13,residential_rates_aud,103,103,0,True
2012,2012-13,farmland_rates_aud,103,88,15,True
2012,2012-13,business_rates_aud,103,103,0,True
2012,2012-13,mining_rates_aud,103,32,71,True
2012,2012-13,population,103,103,0,True
2012,2012-13,area_km2,103,0,103,True
2012,2012-13,road_reported_km,103,103,0,True
2012,2012-13,cash_cover_months,103,0,103,True
2012,2012-13,maintenance_ratio_pct,103,101,2,True
2012,2012-13,road_km,103,0,103,True
2012,2012-13,rates_annual_charges_aud,103,1,102,True
2012,2012-13,user_charges_fees_aud,103,1,102,True
2012,2012-13,other_revenue_aud,103,1,102,True
2012,2012-13,operating_grants_aud,103,1,102,True
2012,2012-13,capital_grants_aud,103,1,102,True
2012,2012-13,interest_investment_aud,103,1,102,True
2012,2012-13,employee_cost_aud,103,1,102,True
2012,2012-13,materials_services_aud,103,1,102,True
2012,2012-13,borrowing_cost_aud,103,1,102,True
2012,2012-13,depreciation_impairment_aud,103,1,102,True
2012,2012-13,other_expense_aud,103,1,102,True
2012,2012-13,statement_total_revenue_aud,103,1,102,True
2012,2012-13,statement_total_expenses_aud,103,1,102,True
2012,2012-13,operating_revenue_ex_capital_aud,103,1,102,True
2013,2013-14,operating_ratio_pct,103,103,0,True
2013,2013-14,cash_cover_reported_months,103,103,0,True
2013,2013-14,current_ratio,103,103,0,True
2013,2013-14,own_source_pct,103,103,0,True
2013,2013-14,grants_pct,103,103,0,True
2013,2013-14,debt_service_cover,103,103,0,True
2013,2013-14,debt_service_ratio_pct,103,103,0,True
2013,2013-14,actual_maintenance_aud,103,103,0,True
2013,2013-14,required_maintenance_aud,103,103,0,True
2013,2013-14,maintenance_reported_pct,103,103,0,True
2013,2013-14,total_revenue_including_capital_aud,103,103,0,True
2013,2013-14,total_expenses_aud,103,103,0,True
2013,2013-14,result_before_capital_aud,103,0,103,True
2013,2013-14,residential_rates_aud,103,0,103,True
2013,2013-14,farmland_rates_aud,103,103,0,True
2013,2013-14,business_rates_aud,103,103,0,True
2013,2013-14,mining_rates_aud,103,103,0,True
2013,2013-14,population,103,103,0,True
2013,2013-14,area_km2,103,0,103,True
2013,2013-14,road_reported_km,103,103,0,True
2013,2013-14,cash_cover_months,103,103,0,True
2013,2013-14,maintenance_ratio_pct,103,103,0,True
2013,2013-14,road_km,103,0,103,True
2013,2013-14,rates_annual_charges_aud,103,1,102,True
2013,2013-14,user_charges_fees_aud,103,1,102,True
2013,2013-14,other_revenue_aud,103,1,102,True
2013,2013-14,operating_grants_aud,103,1,102,True
2013,2013-14,capital_grants_aud,103,1,102,True
2013,2013-14,interest_investment_aud,103,1,102,True
2013,2013-14,employee_cost_aud,103,1,102,True
2013,2013-14,materials_services_aud,103,1,102,True
2013,2013-14,borrowing_cost_aud,103,1,102,True
2013,2013-14,depreciation_impairment_aud,103,1,102,True
2013,2013-14,other_expense_aud,103,1,102,True
2013,2013-14,statement_total_revenue_aud,103,1,102,True
2013,2013-14,statement_total_expenses_aud,103,1,102,True
2013,2013-14,operating_revenue_ex_capital_aud,103,1,102,True
2014,2014-15,operating_ratio_pct,103,102,1,True
2014,2014-15,cash_cover_reported_months,103,102,1,True
2014,2014-15,current_ratio,103,102,1,True
2014,2014-15,own_source_pct,103,102,1,True
2014,2014-15,grants_pct,103,102,1,True
2014,2014-15,debt_service_cover,103,102,1,True
2014,2014-15,debt_service_ratio_pct,103,102,1,True
2014,2014-15,actual_maintenance_aud,103,102,1,True
2014,2014-15,required_maintenance_aud,103,102,1,True
2014,2014-15,maintenance_reported_pct,103,102,1,True
2014,2014-15,total_revenue_including_capital_aud,103,102,1,True
2014,2014-15,total_expenses_aud,103,102,1,True
2014,2014-15,result_before_capital_aud,103,0,103,True
2014,2014-15,residential_rates_aud,103,102,1,True
2014,2014-15,farmland_rates_aud,103,88,15,True
2014,2014-15,business_rates_aud,103,102,1,True
2014,2014-15,mining_rates_aud,103,32,71,True
2014,2014-15,population,103,103,0,True
2014,2014-15,area_km2,103,103,0,True
2014,2014-15,road_reported_km,103,103,0,True
2014,2014-15,cash_cover_months,103,102,1,True
2014,2014-15,maintenance_ratio_pct,103,102,1,True
2014,2014-15,road_km,103,0,103,True
2014,2014-15,rates_annual_charges_aud,103,0,103,True
2014,2014-15,user_charges_fees_aud,103,0,103,True
2014,2014-15,other_revenue_aud,103,0,103,True
2014,2014-15,operating_grants_aud,103,0,103,True
2014,2014-15,capital_grants_aud,103,0,103,True
2014,2014-15,interest_investment_aud,103,0,103,True
2014,2014-15,employee_cost_aud,103,0,103,True
2014,2014-15,materials_services_aud,103,0,103,True
2014,2014-15,borrowing_cost_aud,103,0,103,True
2014,2014-15,depreciation_impairment_aud,103,0,103,True
2014,2014-15,other_expense_aud,103,0,103,True
2014,2014-15,statement_total_revenue_aud,103,0,103,True
2014,2014-15,statement_total_expenses_aud,103,0,103,True
2014,2014-15,operating_revenue_ex_capital_aud,103,0,103,True
2015,2015-16,operating_ratio_pct,103,103,0,True
2015,2015-16,cash_cover_reported_months,103,103,0,True
2015,2015-16,current_ratio,103,103,0,True
2015,2015-16,own_source_pct,103,103,0,True
2015,2015-16,grants_pct,103,103,0,True
2015,2015-16,debt_service_cover,103,103,0,True
2015,2015-16,debt_service_ratio_pct,103,103,0,True
2015,2015-16,actual_maintenance_aud,103,103,0,True
2015,2015-16,required_maintenance_aud,103,103,0,True
2015,2015-16,maintenance_reported_pct,103,103,0,True
2015,2015-16,total_revenue_including_capital_aud,103,103,0,True
2015,2015-16,total_expenses_aud,103,103,0,True
2015,2015-16,result_before_capital_aud,103,0,103,True
2015,2015-16,residential_rates_aud,103,103,0,True
2015,2015-16,farmland_rates_aud,103,88,15,True
2015,2015-16,business_rates_aud,103,103,0,True
2015,2015-16,mining_rates_aud,103,30,73,True
2015,2015-16,population,103,103,0,True
2015,2015-16,area_km2,103,103,0,True
2015,2015-16,road_reported_km,103,103,0,True
2015,2015-16,cash_cover_months,103,103,0,True
2015,2015-16,maintenance_ratio_pct,103,102,1,True
2015,2015-16,road_km,103,0,103,True
2015,2015-16,rates_annual_charges_aud,103,0,103,True
2015,2015-16,user_charges_fees_aud,103,0,103,True
2015,2015-16,other_revenue_aud,103,0,103,True
2015,2015-16,operating_grants_aud,103,0,103,True
2015,2015-16,capital_grants_aud,103,0,103,True
2015,2015-16,interest_investment_aud,103,0,103,True
2015,2015-16,employee_cost_aud,103,0,103,True
2015,2015-16,materials_services_aud,103,0,103,True
2015,2015-16,borrowing_cost_aud,103,0,103,True
2015,2015-16,depreciation_impairment_aud,103,0,103,True
2015,2015-16,other_expense_aud,103,0,103,True
2015,2015-16,statement_total_revenue_aud,103,0,103,True
2015,2015-16,statement_total_expenses_aud,103,0,103,True
2015,2015-16,operating_revenue_ex_capital_aud,103,0,103,True
2016,2016-17,operating_ratio_pct,103,103,0,True
2016,2016-17,cash_cover_reported_months,103,103,0,True
2016,2016-17,current_ratio,103,103,0,True
2016,2016-17,own_source_pct,103,103,0,True
2016,2016-17,grants_pct,103,103,0,True
2016,2016-17,debt_service_cover,103,103,0,True
2016,2016-17,debt_service_ratio_pct,103,103,0,True
2016,2016-17,actual_maintenance_aud,103,103,0,True
2016,2016-17,required_maintenance_aud,103,103,0,True
2016,2016-17,maintenance_reported_pct,103,103,0,True
2016,2016-17,total_revenue_including_capital_aud,103,103,0,True
2016,2016-17,total_expenses_aud,103,103,0,True
2016,2016-17,result_before_capital_aud,103,0,103,True
2016,2016-17,residential_rates_aud,103,103,0,True
2016,2016-17,farmland_rates_aud,103,103,0,True
2016,2016-17,business_rates_aud,103,103,0,True
2016,2016-17,mining_rates_aud,103,103,0,True
2016,2016-17,population,103,103,0,True
2016,2016-17,area_km2,103,103,0,True
2016,2016-17,road_reported_km,103,103,0,True
2016,2016-17,cash_cover_months,103,103,0,True
2016,2016-17,maintenance_ratio_pct,103,103,0,True
2016,2016-17,road_km,103,103,0,True
2016,2016-17,rates_annual_charges_aud,103,0,103,True
2016,2016-17,user_charges_fees_aud,103,0,103,True
2016,2016-17,other_revenue_aud,103,0,103,True
2016,2016-17,operating_grants_aud,103,0,103,True
2016,2016-17,capital_grants_aud,103,0,103,True
2016,2016-17,interest_investment_aud,103,0,103,True
2016,2016-17,employee_cost_aud,103,0,103,True
2016,2016-17,materials_services_aud,103,0,103,True
2016,2016-17,borrowing_cost_aud,103,0,103,True
2016,2016-17,depreciation_impairment_aud,103,0,103,True
2016,2016-17,other_expense_aud,103,0,103,True
2016,2016-17,statement_total_revenue_aud,103,0,103,True
2016,2016-17,statement_total_expenses_aud,103,0,103,True
2016,2016-17,operating_revenue_ex_capital_aud,103,0,103,True
2017,2017-18,operating_ratio_pct,103,102,1,False
2017,2017-18,cash_cover_reported_months,103,102,1,False
2017,2017-18,current_ratio,103,102,1,False
2017,2017-18,own_source_pct,103,102,1,False
2017,2017-18,grants_pct,103,102,1,False
2017,2017-18,debt_service_cover,103,102,1,False
2017,2017-18,debt_service_ratio_pct,103,102,1,False
