scenario,test_target_year,training_rows,training_distinct_target_years,test_rows,passes_existing_100_train_rows,strict_asof_ready,caveat
V1_period_same_subset,2014,0,0,0,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V1_period_same_subset,2015,0,0,0,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V1_period_same_subset,2016,0,0,0,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V1_period_same_subset,2017,0,0,0,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V1_period_same_subset,2018,0,0,0,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V1_period_same_subset,2019,0,0,102,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V1_period_same_subset,2020,0,0,102,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V1_period_same_subset,2021,102,1,103,True,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V1_period_same_subset,2022,204,2,101,True,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V1_period_same_subset,2023,307,3,103,True,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V1_period_same_subset,2024,408,4,0,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_only_upper_bound,2014,0,0,102,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_only_upper_bound,2015,0,0,103,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_only_upper_bound,2016,102,1,102,True,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_only_upper_bound,2017,205,2,102,True,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_only_upper_bound,2018,307,3,103,True,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_only_upper_bound,2019,409,4,102,True,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_only_upper_bound,2020,512,5,102,True,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_only_upper_bound,2021,614,6,103,True,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_only_upper_bound,2022,716,7,101,True,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_only_upper_bound,2023,819,8,103,True,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_only_upper_bound,2024,920,9,0,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_plus_inherited_exposure,2014,0,0,0,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_plus_inherited_exposure,2015,0,0,0,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_plus_inherited_exposure,2016,0,0,0,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_plus_inherited_exposure,2017,0,0,0,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_plus_inherited_exposure,2018,0,0,103,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_plus_inherited_exposure,2019,0,0,102,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_plus_inherited_exposure,2020,103,1,102,True,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_plus_inherited_exposure,2021,205,2,103,True,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_plus_inherited_exposure,2022,307,3,101,True,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_plus_inherited_exposure,2023,410,4,103,True,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
V2_fiscal_plus_inherited_exposure,2024,511,5,0,False,False,"Structural count only; no model fitted, no publication-vintage or old-exposure certification"
