measurement_year,period_end,report_release_upper_bound,exact_publication_date,evidence,status,current_archive_retrieval_date,current_upload_path_not_release_date
2012,2013-06-30,2014-06-30,,comparative_2013.pdf cover: June2014,Report release month verified; spreadsheet revision vintage not certified,2026-09-18,True
2013,2014-06-30,2015-06-30,,profile_2015.pdf cover and OLG annual2014–15 PDF p17: released June2015,Report release month verified; spreadsheet revision vintage not certified,2026-09-18,True
2014,2015-06-30,,,,First release date not verified; current download is not historical vintage,2026-09-18,True
2015,2016-06-30,,,,First release date not verified; current download is not historical vintage,2026-09-18,True
2016,2017-06-30,,,,First release date not verified; current download is not historical vintage,2026-09-18,True
2017,2018-06-30,,,,First release date not verified; current download is not historical vintage,2026-09-18,True
2018,2019-06-30,,,,First release date not verified; current download is not historical vintage,2026-09-18,True
2019,2020-06-30,,,,First release date not verified; current download is not historical vintage,2026-09-18,True
2020,2021-06-30,,,,First release date not verified; current download is not historical vintage,2026-09-18,True
2021,2022-06-30,,,,First release date not verified; current download is not historical vintage,2026-09-18,True
2022,2023-06-30,,,,First release date not verified; current download is not historical vintage,2026-09-18,True
2023,2024-06-30,,,,First release date not verified; current download is not historical vintage,2026-09-18,True
2024,2025-06-30,,,,First release date not verified; current download is not historical vintage,2026-09-18,True
