council_key,target_year,forecast_cutoff,measurement_year,variable,value,availability_status,verified_ex_ante,report_release_upper_bound,source_file,source_location,reason
albury,2014,2014-07-01,2012,operating_ratio_pct,-1.1199999999999999,historical_value_exists_but_publication_vintage_unverified,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,cash_cover_months,,incompatible_pre2013_cash_definition,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,current_ratio,3.1815,historical_value_exists_but_publication_vintage_unverified,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,own_source_pct,78.97,historical_value_exists_but_publication_vintage_unverified,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,debt_service_cover,4.0145,historical_value_exists_but_publication_vintage_unverified,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,debt_service_ratio_pct,,missing_value,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,maintenance_ratio_pct,111.23336745138178,historical_value_exists_but_publication_vintage_unverified,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,population,49655.0,historical_value_exists_but_publication_vintage_unverified,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,road_km,,incompatible_state_road_scope,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,total_revenue_including_capital_aud,108711000.0,historical_value_exists_but_publication_vintage_unverified,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,total_expenses_aud,99331000.0,historical_value_exists_but_publication_vintage_unverified,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,residential_rates_aud,22593000.0,historical_value_exists_but_publication_vintage_unverified,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,operating_grants_aud,9207000.0,retrieved_report_authorised_after_forecast_cutoff,False,,https://eservice.alburycity.nsw.gov.au/ACCPublicDocs/DocumentViewer.aspx?DocID=1072745,"PDF p4, printed p3; authorisation p2",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,capital_grants_aud,9850000.0,retrieved_report_authorised_after_forecast_cutoff,False,,https://eservice.alburycity.nsw.gov.au/ACCPublicDocs/DocumentViewer.aspx?DocID=1072745,"PDF p4, printed p3; authorisation p2",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,employee_cost_aud,32173000.0,retrieved_report_authorised_after_forecast_cutoff,False,,https://eservice.alburycity.nsw.gov.au/ACCPublicDocs/DocumentViewer.aspx?DocID=1072745,"PDF p4, printed p3; authorisation p2",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,materials_services_aud,22664000.0,retrieved_report_authorised_after_forecast_cutoff,False,,https://eservice.alburycity.nsw.gov.au/ACCPublicDocs/DocumentViewer.aspx?DocID=1072745,"PDF p4, printed p3; authorisation p2",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,depreciation_impairment_aud,25670000.0,retrieved_report_authorised_after_forecast_cutoff,False,,https://eservice.alburycity.nsw.gov.au/ACCPublicDocs/DocumentViewer.aspx?DocID=1072745,"PDF p4, printed p3; authorisation p2",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,rates_annual_charges_aud,48963000.0,retrieved_report_authorised_after_forecast_cutoff,False,,https://eservice.alburycity.nsw.gov.au/ACCPublicDocs/DocumentViewer.aspx?DocID=1072745,"PDF p4, printed p3; authorisation p2",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,user_charges_fees_aud,36388000.0,retrieved_report_authorised_after_forecast_cutoff,False,,https://eservice.alburycity.nsw.gov.au/ACCPublicDocs/DocumentViewer.aspx?DocID=1072745,"PDF p4, printed p3; authorisation p2",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,other_revenue_aud,2132000.0,retrieved_report_authorised_after_forecast_cutoff,False,,https://eservice.alburycity.nsw.gov.au/ACCPublicDocs/DocumentViewer.aspx?DocID=1072745,"PDF p4, printed p3; authorisation p2",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,interest_investment_aud,2412000.0,retrieved_report_authorised_after_forecast_cutoff,False,,https://eservice.alburycity.nsw.gov.au/ACCPublicDocs/DocumentViewer.aspx?DocID=1072745,"PDF p4, printed p3; authorisation p2",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,borrowing_cost_aud,3968000.0,retrieved_report_authorised_after_forecast_cutoff,False,,https://eservice.alburycity.nsw.gov.au/ACCPublicDocs/DocumentViewer.aspx?DocID=1072745,"PDF p4, printed p3; authorisation p2",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,other_expense_aud,14921000.0,retrieved_report_authorised_after_forecast_cutoff,False,,https://eservice.alburycity.nsw.gov.au/ACCPublicDocs/DocumentViewer.aspx?DocID=1072745,"PDF p4, printed p3; authorisation p2",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,statement_total_revenue_aud,108967000.0,retrieved_report_authorised_after_forecast_cutoff,False,,https://eservice.alburycity.nsw.gov.au/ACCPublicDocs/DocumentViewer.aspx?DocID=1072745,"PDF p4, printed p3; authorisation p2",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,statement_total_expenses_aud,99587000.0,retrieved_report_authorised_after_forecast_cutoff,False,,https://eservice.alburycity.nsw.gov.au/ACCPublicDocs/DocumentViewer.aspx?DocID=1072745,"PDF p4, printed p3; authorisation p2",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,operating_revenue_ex_capital_aud,99117000.0,retrieved_report_authorised_after_forecast_cutoff,False,,https://eservice.alburycity.nsw.gov.au/ACCPublicDocs/DocumentViewer.aspx?DocID=1072745,"PDF p4, printed p3; authorisation p2",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,result_before_capital_aud,,missing_value,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,required_maintenance_aud,7816000.0,historical_value_exists_but_publication_vintage_unverified,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,actual_maintenance_aud,8694000.0,historical_value_exists_but_publication_vintage_unverified,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,farmland_rates_aud,522000.0,historical_value_exists_but_publication_vintage_unverified,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,business_rates_aud,8711000.0,historical_value_exists_but_publication_vintage_unverified,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,mining_rates_aud,,missing_value,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2012,grants_pct,17.529964768974622,historical_value_exists_but_publication_vintage_unverified,False,2014-06-30,time-series-data-1994-2015.xls,"2012-13 DATA, row 2; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2014,2014-07-01,2013,fesm_burned_ha,,exposure_history_not_extended,False,,Frozen NSW Data Panel.csv,Original source/coverage flags retained in candidate panel,Occurrence year does not certify when declarations or mapped exposure were available; no historical zeros inferred.
albury,2014,2014-07-01,2013,bushfire_declared_event_count,,exposure_history_not_extended,False,,Frozen NSW Data Panel.csv,Original source/coverage flags retained in candidate panel,Occurrence year does not certify when declarations or mapped exposure were available; no historical zeros inferred.
albury,2014,2014-07-01,2013,flood_declared_event_count,,exposure_history_not_extended,False,,Frozen NSW Data Panel.csv,Original source/coverage flags retained in candidate panel,Occurrence year does not certify when declarations or mapped exposure were available; no historical zeros inferred.
albury,2014,2014-07-01,2013,announced_target_fag_advance_pct,,announcement_not_verified,False,,,,"Applies to target entitlement paid in advance before target starts. Does NOT predict next target-end advance announcement, realised grant income or council damage."
albury,2015,2015-07-01,2013,operating_ratio_pct,2.46,historical_value_exists_but_publication_vintage_unverified,False,2015-06-30,time-series-data-1994-2015.xls,"2013-14 DATA, row 3; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2015,2015-07-01,2013,cash_cover_months,8.515,historical_value_exists_but_publication_vintage_unverified,False,2015-06-30,time-series-data-1994-2015.xls,"2013-14 DATA, row 3; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2015,2015-07-01,2013,current_ratio,2.5578,historical_value_exists_but_publication_vintage_unverified,False,2015-06-30,time-series-data-1994-2015.xls,"2013-14 DATA, row 3; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2015,2015-07-01,2013,own_source_pct,79.0,historical_value_exists_but_publication_vintage_unverified,False,2015-06-30,time-series-data-1994-2015.xls,"2013-14 DATA, row 3; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2015,2015-07-01,2013,debt_service_cover,4.8992,historical_value_exists_but_publication_vintage_unverified,False,2015-06-30,time-series-data-1994-2015.xls,"2013-14 DATA, row 3; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2015,2015-07-01,2013,debt_service_ratio_pct,6.159573734647848,historical_value_exists_but_publication_vintage_unverified,False,2015-06-30,time-series-data-1994-2015.xls,"2013-14 DATA, row 3; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2015,2015-07-01,2013,maintenance_ratio_pct,130.2929512600742,historical_value_exists_but_publication_vintage_unverified,False,2015-06-30,time-series-data-1994-2015.xls,"2013-14 DATA, row 3; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2015,2015-07-01,2013,population,50243.0,historical_value_exists_but_publication_vintage_unverified,False,2015-06-30,time-series-data-1994-2015.xls,"2013-14 DATA, row 3; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2015,2015-07-01,2013,road_km,,incompatible_state_road_scope,False,2015-06-30,time-series-data-1994-2015.xls,"2013-14 DATA, row 3; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2015,2015-07-01,2013,total_revenue_including_capital_aud,121166000.0,historical_value_exists_but_publication_vintage_unverified,False,2015-06-30,time-series-data-1994-2015.xls,"2013-14 DATA, row 3; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2015,2015-07-01,2013,total_expenses_aud,100676000.0,historical_value_exists_but_publication_vintage_unverified,False,2015-06-30,time-series-data-1994-2015.xls,"2013-14 DATA, row 3; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2015,2015-07-01,2013,residential_rates_aud,,missing_value,False,2015-06-30,time-series-data-1994-2015.xls,"2013-14 DATA, row 3; cell_lineage.csv",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
albury,2015,2015-07-01,2013,operating_grants_aud,6115000.0,historical_value_exists_but_publication_vintage_unverified,False,,https://eservice.alburycity.nsw.gov.au/ACCPublicDocs/DocumentViewer.aspx?DocID=1072745,"PDF p4, printed p3; authorisation p2",Do not use unknown availability as observed-before-cutoff. A later archive or restated comparative is not a certified first-release feature.
