year_start,variable,header,excel_column,factor,source_unit,source_file
2012,operating_ratio_pct,Operating Performance Ratio,CI,1.0,header/raw units,time-series-data-1994-2015.xls
2012,cash_cover_reported_months,Cash Expense Cover Ratio,CM,1.0,header/raw units,time-series-data-1994-2015.xls
2012,current_ratio,Unrestricted Current Ratio,CJ,1.0,header/raw units,time-series-data-1994-2015.xls
2012,own_source_pct,% Own Source Revenue,CG,1.0,header/raw units,time-series-data-1994-2015.xls
2012,grants_pct,% Grants Revenue,CH,1.0,header/raw units,time-series-data-1994-2015.xls
2012,debt_service_cover,Debt Service Cover ratio,CL,1.0,header/raw units,time-series-data-1994-2015.xls
2012,debt_service_ratio_pct,,,,not present,time-series-data-1994-2015.xls
2012,actual_maintenance_aud,Actual Asset Maintenance Expenditure 2012/13 ($),BO,1.0,header/raw units,time-series-data-1994-2015.xls
2012,required_maintenance_aud,Required Asset Maintenance Expenditure 2012/13 ($),BP,1.0,header/raw units,time-series-data-1994-2015.xls
2012,maintenance_reported_pct,Asset Maintenance Ratio,DL,100.0,fraction,time-series-data-1994-2015.xls
2012,total_revenue_including_capital_aud,"2012/13 Total Revenue from Continuing Operations ($,000)",V,1000.0,AUD thousands,time-series-data-1994-2015.xls
2012,total_expenses_aud,2012/13 Total Expenses from Continuing Operations ($'000),W,1000.0,AUD thousands,time-series-data-1994-2015.xls
2012,result_before_capital_aud,,,,not present,time-series-data-1994-2015.xls
2012,residential_rates_aud,Total Residential Rates Revenue ($),BS,1.0,header/raw units,time-series-data-1994-2015.xls
2012,farmland_rates_aud,Total Farmland Rates Revenue ($),BV,1.0,header/raw units,time-series-data-1994-2015.xls
2012,business_rates_aud,Total Business Rates Revenue ($),BY,1.0,header/raw units,time-series-data-1994-2015.xls
2012,mining_rates_aud,Total Mining Rates Revenue ($),CB,1.0,header/raw units,time-series-data-1994-2015.xls
2012,population,Population,E,1.0,header/raw units,time-series-data-1994-2015.xls
2012,area_km2,,,,not present,time-series-data-1994-2015.xls
2012,road_reported_km,"Total Road Length (inlcuding local, regional & state) (km)",AD,1.0,header/raw units,time-series-data-1994-2015.xls
2013,operating_ratio_pct,Operating Performance Ratio,BF,1.0,header/raw units,time-series-data-1994-2015.xls
2013,cash_cover_reported_months,Cash Expense Cover Ratio,BK,1.0,header/raw units,time-series-data-1994-2015.xls
2013,current_ratio,Unrestricted Current Ratio,BG,1.0,header/raw units,time-series-data-1994-2015.xls
2013,own_source_pct,% Own Source Revenue,BD,1.0,header/raw units,time-series-data-1994-2015.xls
2013,grants_pct,% Grants Revenue,BE,1.0,header/raw units,time-series-data-1994-2015.xls
2013,debt_service_cover,Debt Service Cover ratio,BI,1.0,header/raw units,time-series-data-1994-2015.xls
2013,debt_service_ratio_pct,Debt Service Ratio,BJ,1.0,header/raw units,time-series-data-1994-2015.xls
2013,actual_maintenance_aud,Actual Asset Maintenance Expenditure 2013/14 ($),CE,1.0,header/raw units,time-series-data-1994-2015.xls
2013,required_maintenance_aud,Required Asset Maintenance Expenditure 2013/14 ($),CF,1.0,header/raw units,time-series-data-1994-2015.xls
2013,maintenance_reported_pct,Asset Maintenance Ratio,CL,1.0,header/raw units,time-series-data-1994-2015.xls
