variable,unit,definition,caveat,measurement_role,predictor_approval,source
council_key,stable text identifier,council key,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
council_name,display text,council name,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
year_start,calendar year of financial-year start,year start,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
financial_year,financial-year label,financial year,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
period_start,source/metadata,period start,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
period_end,source/metadata,period end,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
reporting_months,months,reporting months,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
reporting_period_evidence,source/metadata,reporting period evidence,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
source_file,source/metadata,source file,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
source_sheet,source/metadata,source sheet,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
source_excel_row,1-based Excel row,source excel row,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
historical_extension,boolean; missing is unknown,historical extension,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
operating_ratio_pct,percent,Published operating-performance ratio after explicit source scaling; exact adjusted numerator exclusions not fully reconstructed across vintages,Candidate; AASB and definition-regime flags required,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
cash_cover_reported_months,months,"Reported cash expense cover, including incompatible2012 definition",Do not pool2012 with later cash cover,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
current_ratio,times,Unrestricted current assets/current liabilities after specified restrictions,Core definition broadly consistent; original exclusions retained,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
own_source_pct,percent,Own-source share of continuing revenue including capital grants in denominator,Later adjusted exclusions can differ; not simply one minus grants_pct,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
grants_pct,percent,grants pct,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors",Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
debt_service_cover,times,Operating resources before interest/depreciation divided by principal and interest,Not debt_service_ratio_pct; zero/debt-free denominator requires review,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
debt_service_ratio_pct,percent,Debt interest and principal relative to continuing operating revenue excluding capital,Unavailable2012; kept separate from debt cover,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
actual_maintenance_aud,nominal AUD,actual maintenance aud,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors",Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
required_maintenance_aud,nominal AUD,required maintenance aud,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors",Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
maintenance_reported_pct,percent,Published actual/required maintenance ratio;2012fraction x100,Council-estimated denominator; historical unaudited schedule,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
total_revenue_including_capital_aud,nominal AUD,Total continuing revenue INCLUDING capital grants; not operating-only income,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors",Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
total_expenses_aud,nominal AUD,"Total continuing expenses, including depreciation; not cash payments","See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors",Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
result_before_capital_aud,nominal AUD,Reported net operating result before capital grants,Not necessarily adjusted OP numerator,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
residential_rates_aud,nominal AUD,Residential rating category revenue,Not total rates and annual charges,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
farmland_rates_aud,nominal AUD,farmland rates aud,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors",Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
business_rates_aud,nominal AUD,business rates aud,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors",Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
mining_rates_aud,nominal AUD,mining rates aud,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors",Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
population,persons,population,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors",Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
area_km2,square kilometres,area km2,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors",Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
road_reported_km,km,Road length as reported; early years include state roads,Scope changes; retain road_scope,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
cash_cover_months,months,Reported cash cover from2013 onward;2012 withheld because term deposits/denominator differ,Candidate common definition from2013–14; publication vintage unresolved,Fiscal-year observation; shift to t−1 only after availability validation,not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
cash_definition_status,source/metadata,cash definition status,"See cell_lineage.csv, unit_conversion_rules.csv and definition_changes.md; metadata/flags are not automatically predictors","Identity, provenance, eligibility or inherited exposure",not approved by default,Cell lineage for workbook variables; detailed component lineage for statement variables; frozen V1 for inherited exposure
