council_key,target_year,forecast_cutoff,announced_target_fag_advance_pct
albury,2017,2017-07-01,50.0
albury,2018,2018-07-01,50.0
albury,2019,2019-07-01,52.0
albury,2020,2020-07-01,50.0
albury,2021,2021-07-01,50.0
albury,2022,2022-07-01,75.0
albury,2023,2023-07-01,100.0
albury,2024,2024-07-01,85.0
ballina,2017,2017-07-01,50.0
ballina,2018,2018-07-01,50.0
ballina,2019,2019-07-01,52.0
ballina,2020,2020-07-01,50.0
ballina,2021,2021-07-01,50.0
ballina,2022,2022-07-01,75.0
ballina,2023,2023-07-01,100.0
ballina,2024,2024-07-01,85.0
balranald,2017,2017-07-01,50.0
balranald,2018,2018-07-01,50.0
balranald,2019,2019-07-01,52.0
balranald,2020,2020-07-01,50.0
balranald,2021,2021-07-01,50.0
balranald,2022,2022-07-01,75.0
balranald,2023,2023-07-01,100.0
balranald,2024,2024-07-01,85.0
bathurst,2017,2017-07-01,50.0
bathurst,2018,2018-07-01,50.0
bathurst,2019,2019-07-01,52.0
bathurst,2020,2020-07-01,50.0
bathurst,2021,2021-07-01,50.0
bathurst,2022,2022-07-01,75.0
bathurst,2023,2023-07-01,100.0
bathurst,2024,2024-07-01,85.0
begavalley,2017,2017-07-01,50.0
begavalley,2018,2018-07-01,50.0
begavalley,2019,2019-07-01,52.0
begavalley,2020,2020-07-01,50.0
begavalley,2021,2021-07-01,50.0
begavalley,2022,2022-07-01,75.0
begavalley,2023,2023-07-01,100.0
begavalley,2024,2024-07-01,85.0
bellingen,2017,2017-07-01,50.0
bellingen,2018,2018-07-01,50.0
bellingen,2019,2019-07-01,52.0
bellingen,2020,2020-07-01,50.0
bellingen,2021,2021-07-01,50.0
bellingen,2022,2022-07-01,75.0
bellingen,2023,2023-07-01,100.0
bellingen,2024,2024-07-01,85.0
berrigan,2017,2017-07-01,50.0
berrigan,2018,2018-07-01,50.0
berrigan,2019,2019-07-01,52.0
berrigan,2020,2020-07-01,50.0
berrigan,2021,2021-07-01,50.0
berrigan,2022,2022-07-01,75.0
berrigan,2023,2023-07-01,100.0
berrigan,2024,2024-07-01,85.0
blacktown,2017,2017-07-01,50.0
blacktown,2018,2018-07-01,50.0
blacktown,2019,2019-07-01,52.0
blacktown,2020,2020-07-01,50.0
blacktown,2021,2021-07-01,50.0
blacktown,2022,2022-07-01,75.0
blacktown,2023,2023-07-01,100.0
blacktown,2024,2024-07-01,85.0
bland,2017,2017-07-01,50.0
bland,2018,2018-07-01,50.0
bland,2019,2019-07-01,52.0
bland,2020,2020-07-01,50.0
bland,2021,2021-07-01,50.0
bland,2022,2022-07-01,75.0
bland,2023,2023-07-01,100.0
bland,2024,2024-07-01,85.0
blayney,2017,2017-07-01,50.0
blayney,2018,2018-07-01,50.0
blayney,2019,2019-07-01,52.0
blayney,2020,2020-07-01,50.0
blayney,2021,2021-07-01,50.0
blayney,2022,2022-07-01,75.0
blayney,2023,2023-07-01,100.0
blayney,2024,2024-07-01,85.0
bluemountains,2017,2017-07-01,50.0
bluemountains,2018,2018-07-01,50.0
bluemountains,2019,2019-07-01,52.0
bluemountains,2020,2020-07-01,50.0
bluemountains,2021,2021-07-01,50.0
bluemountains,2022,2022-07-01,75.0
bluemountains,2023,2023-07-01,100.0
bluemountains,2024,2024-07-01,85.0
bogan,2017,2017-07-01,50.0
bogan,2018,2018-07-01,50.0
bogan,2019,2019-07-01,52.0
bogan,2020,2020-07-01,50.0
bogan,2021,2021-07-01,50.0
bogan,2022,2022-07-01,75.0
bogan,2023,2023-07-01,100.0
bogan,2024,2024-07-01,85.0
bourke,2017,2017-07-01,50.0
