target,history,model,augmented,reference,folds,MAE_years_improved,mean_annual_MAE_improvement,RMSE_years_improved,mean_annual_RMSE_improvement
cash_cover_months,long,ridge,fiscal_plus_disaster,fiscal_only,7,4,-0.12949305328111724,5,-0.11719834907354233
cash_cover_months,long,ridge,fiscal_plus_disaster,fiscal_plus_fire,7,4,-0.132770495582368,5,-0.12162647051261118
cash_cover_months,long,ridge,fiscal_plus_fire,fiscal_only,7,3,0.003277442301250742,4,0.004428121439068836
cash_cover_months,long,tree,fiscal_plus_disaster,fiscal_only,7,0,-3.806478941571965e-16,0,-1.2688263138573217e-16
cash_cover_months,long,tree,fiscal_plus_disaster,fiscal_plus_fire,7,0,-3.806478941571965e-16,0,-1.2688263138573217e-16
cash_cover_months,long,tree,fiscal_plus_fire,fiscal_only,7,0,0.0,0,0.0
cash_cover_months,short_2017_onward,ridge,fiscal_plus_disaster,fiscal_only,3,3,0.032075826161597355,3,0.05981458110329493
cash_cover_months,short_2017_onward,ridge,fiscal_plus_disaster,fiscal_plus_fire,3,3,0.01714173926212788,2,0.013779038407546906
cash_cover_months,short_2017_onward,ridge,fiscal_plus_fire,fiscal_only,3,2,0.014934086899469476,2,0.04603554269574802
cash_cover_months,short_2017_onward,tree,fiscal_plus_disaster,fiscal_only,3,0,2.9605947323337506e-16,0,5.921189464667501e-16
cash_cover_months,short_2017_onward,tree,fiscal_plus_disaster,fiscal_plus_fire,3,0,0.0,0,2.9605947323337506e-16
cash_cover_months,short_2017_onward,tree,fiscal_plus_fire,fiscal_only,3,0,2.9605947323337506e-16,0,2.9605947323337506e-16
maintenance_ratio_pct,long,ridge,fiscal_plus_disaster,fiscal_only,9,3,-0.6970823318105867,4,-0.7857254697355687
maintenance_ratio_pct,long,ridge,fiscal_plus_disaster,fiscal_plus_fire,9,5,0.18784234017510848,4,0.6930737358910698
maintenance_ratio_pct,long,ridge,fiscal_plus_fire,fiscal_only,9,6,-0.8849246719856951,7,-1.4787992056266386
maintenance_ratio_pct,long,tree,fiscal_plus_disaster,fiscal_only,9,0,9.86864910777917e-16,0,-1.973729821555834e-15
maintenance_ratio_pct,long,tree,fiscal_plus_disaster,fiscal_plus_fire,9,0,5.131697536045168e-15,0,-1.973729821555834e-15
maintenance_ratio_pct,long,tree,fiscal_plus_fire,fiscal_only,9,0,-4.144832625267251e-15,0,0.0
maintenance_ratio_pct,short_2017_onward,ridge,fiscal_plus_disaster,fiscal_only,4,3,0.03784693432857544,2,0.24092889547408625
maintenance_ratio_pct,short_2017_onward,ridge,fiscal_plus_disaster,fiscal_plus_fire,4,3,0.04189735425561647,2,0.2528392778329289
maintenance_ratio_pct,short_2017_onward,ridge,fiscal_plus_fire,fiscal_only,4,0,-0.004050419927041027,1,-0.011910382358842675
maintenance_ratio_pct,short_2017_onward,tree,fiscal_plus_disaster,fiscal_only,4,0,-8.881784197001252e-16,0,0.0
maintenance_ratio_pct,short_2017_onward,tree,fiscal_plus_disaster,fiscal_plus_fire,4,0,8.881784197001252e-16,0,-1.7763568394002505e-15
maintenance_ratio_pct,short_2017_onward,tree,fiscal_plus_fire,fiscal_only,4,0,-1.7763568394002505e-15,0,1.7763568394002505e-15
operating_ratio_pct,long,ridge,fiscal_plus_disaster,fiscal_only,8,4,0.2953951259460036,5,0.2921185965343761
operating_ratio_pct,long,ridge,fiscal_plus_disaster,fiscal_plus_fire,8,5,0.6154863352711466,6,0.7952159799367949
operating_ratio_pct,long,ridge,fiscal_plus_fire,fiscal_only,8,5,-0.320091209325143,5,-0.5030973834024188
operating_ratio_pct,long,tree,fiscal_plus_disaster,fiscal_only,8,4,0.15773814106561124,3,0.09222353705650199
operating_ratio_pct,long,tree,fiscal_plus_disaster,fiscal_plus_fire,8,4,0.15773814106561146,3,0.09222353705650221
operating_ratio_pct,long,tree,fiscal_plus_fire,fiscal_only,8,0,-2.220446049250313e-16,0,-2.220446049250313e-16
operating_ratio_pct,short_2017_onward,ridge,fiscal_plus_disaster,fiscal_only,3,1,-0.22074127668088442,0,-0.25621069167291805
operating_ratio_pct,short_2017_onward,ridge,fiscal_plus_disaster,fiscal_plus_fire,3,1,-0.1985703538714659,1,-0.21378961241437308
operating_ratio_pct,short_2017_onward,ridge,fiscal_plus_fire,fiscal_only,3,2,-0.02217092280941853,0,-0.04242107925854496
operating_ratio_pct,short_2017_onward,tree,fiscal_plus_disaster,fiscal_only,3,0,0.0,0,5.921189464667501e-16
operating_ratio_pct,short_2017_onward,tree,fiscal_plus_disaster,fiscal_plus_fire,3,0,0.0,0,0.0
operating_ratio_pct,short_2017_onward,tree,fiscal_plus_fire,fiscal_only,3,0,0.0,0,5.921189464667501e-16
