council_key,council_name,event_year,fesm_burned_ha__event,bushfire_declared__event,flood_declared__event,fesm_status__event,fesm_min_fire_size_ha_exclusive__event,fesm_sensor__event,bushfire_declaration_status__event,flood_declaration_status__event,year_start__prior,operating_ratio_pct__prior,cash_cover_months__prior,current_ratio__prior,own_source_pct__prior,debt_service_cover__prior,maintenance_ratio_pct__prior,population__prior,road_km__prior,reporting_months__prior,cash_definition_status__prior,maintenance_conflict__prior,operating_definition_regime__prior,year_start__future,operating_ratio_pct__future,cash_cover_months__future,maintenance_ratio_pct__future,reporting_months__future,maintenance_conflict__future,operating_definition_regime__future,prior_year,target_year
albury,Albury,2012,0.0,1.0,0.0,verified_zero_mapped_burn_within_source_scope,100.0,Landsat,observed_positive_in_complete_published_list,no_listed_event_in_complete_published_list_not_physical_zero,,,,,,,,,,,,,,2013.0,2.46,8.515,130.2929512600742,12.0,False,Early OLG/TCorp definitions; revaluation exclusions described,2011,2013
albury,Albury,2013,0.0,,,verified_zero_mapped_burn_within_source_scope,100.0,Landsat,unknown_incomplete_inventory_no_positive_record,unknown_incomplete_inventory_no_positive_record,2012.0,-1.12,,3.1815,78.97,4.0145,111.23336745138178,49655.0,,12.0,Earlier measure excludes term deposits and uses different expense denominator; not converted,False,Early OLG/TCorp definitions; revaluation exclusions described,2014.0,14.48,9.5415,101.37414813987264,12.0,False,Pre-AASB15/1058,2012,2014
albury,Albury,2014,0.0,,,verified_zero_mapped_burn_within_source_scope,100.0,Landsat,unknown_incomplete_inventory_no_positive_record,unknown_incomplete_inventory_no_positive_record,2013.0,2.46,8.515,2.5578,79.0,4.8992,130.2929512600742,50243.0,,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Early OLG/TCorp definitions; revaluation exclusions described,2015.0,12.98,13.43,81.5624825428747,12.0,False,Pre-AASB15/1058,2013,2015
albury,Albury,2015,0.0,,,verified_zero_mapped_burn_within_source_scope,100.0,Landsat,unknown_incomplete_inventory_no_positive_record,unknown_incomplete_inventory_no_positive_record,2014.0,14.48,9.5415,2.7318,82.46,7.2002999999999995,101.37414813987264,51082.0,,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2016.0,16.78,16.1769,80.68547354037975,12.0,False,Pre-AASB15/1058,2014,2016
albury,Albury,2016,0.0,,1.0,verified_zero_mapped_burn_within_source_scope,100.0,Landsat 8,unknown_incomplete_inventory_no_positive_record,observed_positive_partial_inventory_count_lower_bound,2015.0,12.98,13.43,3.29,81.31,6.79,81.5624825428747,51722.0,,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2017.0,15.17,18.61,83.03185437997725,12.0,False,Pre-AASB15/1058,2015,2017
albury,Albury,2017,0.0,0.0,0.0,verified_zero_mapped_burn_within_source_scope,100.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,2016.0,16.78,16.1769,3.3,79.5,7.1,80.68547354037975,52165.0,573.18,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2018.0,13.69,1.22,98.64599620745868,12.0,False,Pre-AASB15/1058,2016,2018
albury,Albury,2018,0.0,0.0,0.0,verified_zero_mapped_burn_within_source_scope,100.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,2017.0,15.17,18.61,2.62,79.47,7.2,83.03185437997725,52949.0,581.05,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2019.0,3.05,18.67,105.17739816031538,12.0,False,AASB15/1058 and lease regime,2017,2019
albury,Albury,2019,21.76,0.0,0.0,mapped_burn_positive,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,2018.0,13.69,1.22,2.41,70.83,7.58,98.64599620745868,53767.0,590.04,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2020.0,-2.57,20.95,101.8504889075807,12.0,False,AASB15/1058 and lease regime,2018,2020
albury,Albury,2020,0.0,0.0,0.0,verified_zero_mapped_burn_within_source_scope,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,2019.0,3.05,18.67,1.93,80.98,5.17,105.17739816031538,54353.0,591.38,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,2021.0,-2.11,21.5467,103.82339094760913,12.0,False,AASB15/1058 and lease regime,2019,2021
albury,Albury,2021,0.0,0.0,1.0,verified_zero_mapped_burn_within_source_scope,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,listed_event_onset,2020.0,-2.57,20.95,2.05,72.7,2.97,101.8504889075807,55055.0,595.09,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,2022.0,-6.05,22.0165,106.41021527800058,12.0,False,AASB15/1058 and lease regime,2020,2022
albury,Albury,2022,30.67,0.0,1.0,mapped_burn_positive,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,listed_event_onset,2021.0,-2.11,21.5467,3.156,73.29,5.4791,103.82339094760913,56036.0,601.52,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,2023.0,-6.61,18.5637,109.35177651206943,12.0,False,AASB15/1058 and lease regime,2021,2023
albury,Albury,2023,0.0,0.0,0.0,verified_zero_mapped_burn_within_source_scope,10.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,2022.0,-6.05,22.0165,2.4328,74.58,4.3061,106.41021527800058,56666.0,604.08,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,2024.0,,,101.16881684860512,12.0,False,Six fiscal ratios not collected by OLG,2022,2024
albury,Albury,2024,,0.0,0.0,unknown_source_not_acquired,,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,2023.0,-6.61,18.5637,1.5758,81.48,4.0321,109.35177651206943,58317.0,606.9290000000001,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,AASB15/1058 and lease regime,,,,,,,,2023,2025
ballina,Ballina,2012,0.0,0.0,1.0,verified_zero_mapped_burn_within_source_scope,100.0,Landsat,no_listed_event_in_complete_published_list_not_physical_zero,observed_positive_in_complete_published_list,,,,,,,,,,,,,,2013.0,-16.38,9.7489,95.06126995915336,12.0,False,Early OLG/TCorp definitions; revaluation exclusions described,2011,2013
ballina,Ballina,2013,0.0,,,verified_zero_mapped_burn_within_source_scope,100.0,Landsat,unknown_incomplete_inventory_no_positive_record,unknown_incomplete_inventory_no_positive_record,2012.0,-13.36,,2.6129,44.48,1.798,109.7931338028169,41006.0,,12.0,Earlier measure excludes term deposits and uses different expense denominator; not converted,False,Early OLG/TCorp definitions; revaluation exclusions described,2014.0,-4.85,9.7256,100.0,12.0,False,Pre-AASB15/1058,2012,2014
ballina,Ballina,2014,0.0,,1.0,verified_zero_mapped_burn_within_source_scope,100.0,Landsat,unknown_incomplete_inventory_no_positive_record,observed_positive_partial_inventory_count_lower_bound,2013.0,-16.38,9.7489,1.97,76.66,1.2728,95.06126995915336,41335.0,,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Early OLG/TCorp definitions; revaluation exclusions described,2015.0,-1.51,10.27,99.65781549411444,12.0,False,Pre-AASB15/1058,2013,2015
ballina,Ballina,2015,0.0,,1.0,verified_zero_mapped_burn_within_source_scope,100.0,Landsat,unknown_incomplete_inventory_no_positive_record,observed_positive_partial_inventory_count_lower_bound,2014.0,-4.85,9.7256,3.2637,73.11,1.7922,100.0,41644.0,,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2016.0,8.88,12.0067,82.91683194499537,12.0,False,Pre-AASB15/1058,2014,2016
ballina,Ballina,2016,450.66851211021026,,1.0,observed_positive_mapped_burn_within_source_scope,100.0,Landsat 8,unknown_incomplete_inventory_no_positive_record,observed_positive_partial_inventory_count_lower_bound,2015.0,-1.51,10.27,4.2,74.98,2.03,99.65781549411444,41828.0,,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2017.0,3.12,10.01,96.89677385889196,12.0,False,Pre-AASB15/1058,2015,2017
ballina,Ballina,2017,369.85,0.0,0.0,mapped_burn_positive,100.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,2016.0,8.88,12.0067,4.8827,64.59,2.7264,82.91683194499537,42626.0,685.6500000000001,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2018.0,6.96,12.69,104.05531385954008,12.0,False,Pre-AASB15/1058,2016,2018
ballina,Ballina,2018,0.0,0.0,1.0,verified_zero_mapped_burn_within_source_scope,100.0,Sentinel 2 (original mapping scope varies by year),no_listed_event_onset_not_physical_zero,listed_event_onset,2017.0,3.12,10.01,4.84,59.66,2.38,96.89677385889196,43457.0,693.0909999999999,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2019.0,3.39,9.99,94.6932228311723,12.0,False,AASB15/1058 and lease regime,2017,2019
ballina,Ballina,2019,924.35,1.0,1.0,mapped_burn_positive,10.0,Sentinel 2 (original mapping scope varies by year),listed_event_onset,listed_event_onset,2018.0,6.96,12.69,3.21,63.72,2.69,104.05531385954008,44208.0,699.2380999999999,12.0,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",False,Pre-AASB15/1058,2020.0,5.37,13.12,98.76135425268372,12.0,False,AASB15/1058 and lease regime,2018,2020
