target,target_year,exclusion_reason,rows
cash_cover_months,2013,no_exact_prior_year,103
cash_cover_months,2014,cash_definition_not_comparable,103
cash_cover_months,2015,eligible,103
cash_cover_months,2016,eligible,102
cash_cover_months,2016,missing_eligible_persistence,1
cash_cover_months,2017,eligible,102
cash_cover_months,2017,missing_target,1
cash_cover_months,2018,eligible,103
cash_cover_months,2019,eligible,102
cash_cover_months,2019,missing_eligible_persistence,1
cash_cover_months,2020,eligible,102
cash_cover_months,2020,missing_target,1
cash_cover_months,2021,eligible,103
cash_cover_months,2022,eligible,101
cash_cover_months,2022,missing_eligible_persistence,1
cash_cover_months,2022,missing_target,1
cash_cover_months,2023,eligible,103
cash_cover_months,2024,missing_target,103
cash_cover_months,2025,no_exact_target_year,103
maintenance_ratio_pct,2013,no_exact_prior_year,103
maintenance_ratio_pct,2014,eligible,100
maintenance_ratio_pct,2014,maintenance_prior_conflict,2
maintenance_ratio_pct,2014,missing_target,1
maintenance_ratio_pct,2015,eligible,102
maintenance_ratio_pct,2015,maintenance_target_conflict,1
maintenance_ratio_pct,2016,eligible,102
maintenance_ratio_pct,2016,missing_eligible_persistence,1
maintenance_ratio_pct,2017,eligible,100
maintenance_ratio_pct,2017,maintenance_prior_conflict,1
maintenance_ratio_pct,2017,maintenance_target_conflict,1
maintenance_ratio_pct,2017,missing_target,1
maintenance_ratio_pct,2018,eligible,102
maintenance_ratio_pct,2018,maintenance_target_conflict,1
maintenance_ratio_pct,2019,eligible,101
maintenance_ratio_pct,2019,maintenance_prior_conflict,1
maintenance_ratio_pct,2019,missing_eligible_persistence,1
maintenance_ratio_pct,2020,eligible,100
maintenance_ratio_pct,2020,maintenance_prior_conflict,1
maintenance_ratio_pct,2020,maintenance_target_conflict,1
maintenance_ratio_pct,2020,missing_target,1
maintenance_ratio_pct,2021,eligible,102
maintenance_ratio_pct,2021,maintenance_target_conflict,1
maintenance_ratio_pct,2022,eligible,100
maintenance_ratio_pct,2022,maintenance_prior_conflict,1
maintenance_ratio_pct,2022,missing_eligible_persistence,1
maintenance_ratio_pct,2022,missing_target,1
maintenance_ratio_pct,2023,eligible,102
maintenance_ratio_pct,2023,maintenance_prior_conflict,1
maintenance_ratio_pct,2024,eligible,101
maintenance_ratio_pct,2024,missing_eligible_persistence,1
maintenance_ratio_pct,2024,missing_target,1
maintenance_ratio_pct,2025,no_exact_target_year,103
operating_ratio_pct,2013,no_exact_prior_year,103
operating_ratio_pct,2014,eligible,102
operating_ratio_pct,2014,missing_target,1
operating_ratio_pct,2015,eligible,103
operating_ratio_pct,2016,eligible,102
operating_ratio_pct,2016,missing_eligible_persistence,1
operating_ratio_pct,2017,eligible,102
operating_ratio_pct,2017,missing_target,1
operating_ratio_pct,2018,eligible,103
operating_ratio_pct,2019,eligible,102
operating_ratio_pct,2019,missing_eligible_persistence,1
operating_ratio_pct,2020,eligible,102
operating_ratio_pct,2020,missing_target,1
operating_ratio_pct,2021,eligible,103
operating_ratio_pct,2022,eligible,101
operating_ratio_pct,2022,missing_eligible_persistence,1
operating_ratio_pct,2022,missing_target,1
operating_ratio_pct,2023,eligible,103
operating_ratio_pct,2024,missing_target,103
operating_ratio_pct,2025,no_exact_target_year,103
