target,history,test_year,spec,feature,training_missing,test_missing,training_median,value_withheld_all_training_missing,missing_indicator_retained
operating_ratio_pct,long,2016,fiscal_only,operating_ratio_pct__prior,0,0,-4.04,False,True
operating_ratio_pct,long,2016,fiscal_only,cash_cover_months__prior,102,0,,True,True
operating_ratio_pct,long,2016,fiscal_only,current_ratio__prior,0,0,3.0779,False,True
operating_ratio_pct,long,2016,fiscal_only,own_source_pct__prior,0,0,59.585,False,True
operating_ratio_pct,long,2016,fiscal_only,debt_service_cover__prior,7,6,5.2817,False,True
operating_ratio_pct,long,2016,fiscal_only,maintenance_ratio_pct__prior,2,0,86.20593233642572,False,True
operating_ratio_pct,long,2016,fiscal_only,population__prior,0,0,23097.5,False,True
operating_ratio_pct,long,2016,fiscal_only,road_km__prior,102,102,,True,True
operating_ratio_pct,long,2016,fiscal_plus_fire,operating_ratio_pct__prior,0,0,-4.04,False,True
operating_ratio_pct,long,2016,fiscal_plus_fire,cash_cover_months__prior,102,0,,True,True
operating_ratio_pct,long,2016,fiscal_plus_fire,current_ratio__prior,0,0,3.0779,False,True
operating_ratio_pct,long,2016,fiscal_plus_fire,own_source_pct__prior,0,0,59.585,False,True
operating_ratio_pct,long,2016,fiscal_plus_fire,debt_service_cover__prior,7,6,5.2817,False,True
operating_ratio_pct,long,2016,fiscal_plus_fire,maintenance_ratio_pct__prior,2,0,86.20593233642572,False,True
operating_ratio_pct,long,2016,fiscal_plus_fire,population__prior,0,0,23097.5,False,True
operating_ratio_pct,long,2016,fiscal_plus_fire,road_km__prior,102,102,,True,True
operating_ratio_pct,long,2016,fiscal_plus_fire,fesm_burned_ha__event,0,0,0.0,False,True
operating_ratio_pct,long,2016,fiscal_plus_disaster,operating_ratio_pct__prior,0,0,-4.04,False,True
operating_ratio_pct,long,2016,fiscal_plus_disaster,cash_cover_months__prior,102,0,,True,True
operating_ratio_pct,long,2016,fiscal_plus_disaster,current_ratio__prior,0,0,3.0779,False,True
operating_ratio_pct,long,2016,fiscal_plus_disaster,own_source_pct__prior,0,0,59.585,False,True
operating_ratio_pct,long,2016,fiscal_plus_disaster,debt_service_cover__prior,7,6,5.2817,False,True
operating_ratio_pct,long,2016,fiscal_plus_disaster,maintenance_ratio_pct__prior,2,0,86.20593233642572,False,True
operating_ratio_pct,long,2016,fiscal_plus_disaster,population__prior,0,0,23097.5,False,True
operating_ratio_pct,long,2016,fiscal_plus_disaster,road_km__prior,102,102,,True,True
operating_ratio_pct,long,2016,fiscal_plus_disaster,fesm_burned_ha__event,0,0,0.0,False,True
operating_ratio_pct,long,2017,fiscal_only,operating_ratio_pct__prior,0,0,-5.489999999999999,False,True
operating_ratio_pct,long,2017,fiscal_only,cash_cover_months__prior,102,0,9.3401,False,True
operating_ratio_pct,long,2017,fiscal_only,current_ratio__prior,0,0,3.031,False,True
operating_ratio_pct,long,2017,fiscal_only,own_source_pct__prior,0,0,65.16,False,True
operating_ratio_pct,long,2017,fiscal_only,debt_service_cover__prior,14,5,4.7541,False,True
operating_ratio_pct,long,2017,fiscal_only,maintenance_ratio_pct__prior,2,1,92.81618349792927,False,True
operating_ratio_pct,long,2017,fiscal_only,population__prior,0,0,22749.0,False,True
operating_ratio_pct,long,2017,fiscal_only,road_km__prior,205,102,,True,True
operating_ratio_pct,long,2017,fiscal_plus_fire,operating_ratio_pct__prior,0,0,-5.489999999999999,False,True
operating_ratio_pct,long,2017,fiscal_plus_fire,cash_cover_months__prior,102,0,9.3401,False,True
operating_ratio_pct,long,2017,fiscal_plus_fire,current_ratio__prior,0,0,3.031,False,True
operating_ratio_pct,long,2017,fiscal_plus_fire,own_source_pct__prior,0,0,65.16,False,True
operating_ratio_pct,long,2017,fiscal_plus_fire,debt_service_cover__prior,14,5,4.7541,False,True
operating_ratio_pct,long,2017,fiscal_plus_fire,maintenance_ratio_pct__prior,2,1,92.81618349792927,False,True
operating_ratio_pct,long,2017,fiscal_plus_fire,population__prior,0,0,22749.0,False,True
operating_ratio_pct,long,2017,fiscal_plus_fire,road_km__prior,205,102,,True,True
operating_ratio_pct,long,2017,fiscal_plus_fire,fesm_burned_ha__event,0,0,0.0,False,True
operating_ratio_pct,long,2017,fiscal_plus_disaster,operating_ratio_pct__prior,0,0,-5.489999999999999,False,True
operating_ratio_pct,long,2017,fiscal_plus_disaster,cash_cover_months__prior,102,0,9.3401,False,True
operating_ratio_pct,long,2017,fiscal_plus_disaster,current_ratio__prior,0,0,3.031,False,True
operating_ratio_pct,long,2017,fiscal_plus_disaster,own_source_pct__prior,0,0,65.16,False,True
operating_ratio_pct,long,2017,fiscal_plus_disaster,debt_service_cover__prior,14,5,4.7541,False,True
operating_ratio_pct,long,2017,fiscal_plus_disaster,maintenance_ratio_pct__prior,2,1,92.81618349792927,False,True
operating_ratio_pct,long,2017,fiscal_plus_disaster,population__prior,0,0,22749.0,False,True
operating_ratio_pct,long,2017,fiscal_plus_disaster,road_km__prior,205,102,,True,True
operating_ratio_pct,long,2017,fiscal_plus_disaster,fesm_burned_ha__event,0,0,0.0,False,True
operating_ratio_pct,long,2018,fiscal_only,operating_ratio_pct__prior,0,0,-3.35,False,True
operating_ratio_pct,long,2018,fiscal_only,cash_cover_months__prior,102,0,10.0228,False,True
operating_ratio_pct,long,2018,fiscal_only,current_ratio__prior,0,0,3.0939,False,True
operating_ratio_pct,long,2018,fiscal_only,own_source_pct__prior,0,0,66.07,False,True
operating_ratio_pct,long,2018,fiscal_only,debt_service_cover__prior,20,5,4.9861,False,True
operating_ratio_pct,long,2018,fiscal_only,maintenance_ratio_pct__prior,2,0,95.26553672316383,False,True
operating_ratio_pct,long,2018,fiscal_only,population__prior,0,0,22983.0,False,True
operating_ratio_pct,long,2018,fiscal_only,road_km__prior,307,0,,True,True
operating_ratio_pct,long,2018,fiscal_plus_fire,operating_ratio_pct__prior,0,0,-3.35,False,True
operating_ratio_pct,long,2018,fiscal_plus_fire,cash_cover_months__prior,102,0,10.0228,False,True
operating_ratio_pct,long,2018,fiscal_plus_fire,current_ratio__prior,0,0,3.0939,False,True
operating_ratio_pct,long,2018,fiscal_plus_fire,own_source_pct__prior,0,0,66.07,False,True
operating_ratio_pct,long,2018,fiscal_plus_fire,debt_service_cover__prior,20,5,4.9861,False,True
operating_ratio_pct,long,2018,fiscal_plus_fire,maintenance_ratio_pct__prior,2,0,95.26553672316383,False,True
operating_ratio_pct,long,2018,fiscal_plus_fire,population__prior,0,0,22983.0,False,True
operating_ratio_pct,long,2018,fiscal_plus_fire,road_km__prior,307,0,,True,True
operating_ratio_pct,long,2018,fiscal_plus_fire,fesm_burned_ha__event,0,0,0.0,False,True
operating_ratio_pct,long,2018,fiscal_plus_disaster,operating_ratio_pct__prior,0,0,-3.35,False,True
operating_ratio_pct,long,2018,fiscal_plus_disaster,cash_cover_months__prior,102,0,10.0228,False,True
operating_ratio_pct,long,2018,fiscal_plus_disaster,current_ratio__prior,0,0,3.0939,False,True
operating_ratio_pct,long,2018,fiscal_plus_disaster,own_source_pct__prior,0,0,66.07,False,True
operating_ratio_pct,long,2018,fiscal_plus_disaster,debt_service_cover__prior,20,5,4.9861,False,True
operating_ratio_pct,long,2018,fiscal_plus_disaster,maintenance_ratio_pct__prior,2,0,95.26553672316383,False,True
operating_ratio_pct,long,2018,fiscal_plus_disaster,population__prior,0,0,22983.0,False,True
operating_ratio_pct,long,2018,fiscal_plus_disaster,road_km__prior,307,0,,True,True
operating_ratio_pct,long,2018,fiscal_plus_disaster,fesm_burned_ha__event,0,0,0.0,False,True
operating_ratio_pct,long,2019,fiscal_only,operating_ratio_pct__prior,0,0,-1.27,False,True
operating_ratio_pct,long,2019,fiscal_only,cash_cover_months__prior,102,0,10.08,False,True
operating_ratio_pct,long,2019,fiscal_only,current_ratio__prior,0,0,3.2154000000000003,False,True
operating_ratio_pct,long,2019,fiscal_only,own_source_pct__prior,0,0,65.98,False,True
operating_ratio_pct,long,2019,fiscal_only,debt_service_cover__prior,25,6,5.2653,False,True
operating_ratio_pct,long,2019,fiscal_only,maintenance_ratio_pct__prior,3,1,97.00449844257614,False,True
operating_ratio_pct,long,2019,fiscal_only,population__prior,0,0,22983.0,False,True
operating_ratio_pct,long,2019,fiscal_only,road_km__prior,409,0,,True,True
operating_ratio_pct,long,2019,fiscal_plus_fire,operating_ratio_pct__prior,0,0,-1.27,False,True
operating_ratio_pct,long,2019,fiscal_plus_fire,cash_cover_months__prior,102,0,10.08,False,True
operating_ratio_pct,long,2019,fiscal_plus_fire,current_ratio__prior,0,0,3.2154000000000003,False,True
operating_ratio_pct,long,2019,fiscal_plus_fire,own_source_pct__prior,0,0,65.98,False,True
operating_ratio_pct,long,2019,fiscal_plus_fire,debt_service_cover__prior,25,6,5.2653,False,True
operating_ratio_pct,long,2019,fiscal_plus_fire,maintenance_ratio_pct__prior,3,1,97.00449844257614,False,True
operating_ratio_pct,long,2019,fiscal_plus_fire,population__prior,0,0,22983.0,False,True
operating_ratio_pct,long,2019,fiscal_plus_fire,road_km__prior,409,0,,True,True
operating_ratio_pct,long,2019,fiscal_plus_fire,fesm_burned_ha__event,0,0,0.0,False,True
operating_ratio_pct,long,2019,fiscal_plus_disaster,operating_ratio_pct__prior,0,0,-1.27,False,True
operating_ratio_pct,long,2019,fiscal_plus_disaster,cash_cover_months__prior,102,0,10.08,False,True
operating_ratio_pct,long,2019,fiscal_plus_disaster,current_ratio__prior,0,0,3.2154000000000003,False,True
operating_ratio_pct,long,2019,fiscal_plus_disaster,own_source_pct__prior,0,0,65.98,False,True
operating_ratio_pct,long,2019,fiscal_plus_disaster,debt_service_cover__prior,25,6,5.2653,False,True
operating_ratio_pct,long,2019,fiscal_plus_disaster,maintenance_ratio_pct__prior,3,1,97.00449844257614,False,True
operating_ratio_pct,long,2019,fiscal_plus_disaster,population__prior,0,0,22983.0,False,True
operating_ratio_pct,long,2019,fiscal_plus_disaster,road_km__prior,409,0,,True,True
operating_ratio_pct,long,2019,fiscal_plus_disaster,fesm_burned_ha__event,0,0,0.0,False,True
operating_ratio_pct,long,2020,fiscal_only,operating_ratio_pct__prior,0,0,0.305,False,True
operating_ratio_pct,long,2020,fiscal_only,cash_cover_months__prior,102,0,10.395699999999998,False,True
operating_ratio_pct,long,2020,fiscal_only,current_ratio__prior,0,0,3.2662500000000003,False,True
operating_ratio_pct,long,2020,fiscal_only,own_source_pct__prior,0,0,65.725,False,True
operating_ratio_pct,long,2020,fiscal_only,debt_service_cover__prior,30,7,5.972200000000001,False,True
operating_ratio_pct,long,2020,fiscal_only,maintenance_ratio_pct__prior,3,1,98.05,False,True
operating_ratio_pct,long,2020,fiscal_only,population__prior,0,0,23073.5,False,True
operating_ratio_pct,long,2020,fiscal_only,road_km__prior,409,0,1090.53,False,True
operating_ratio_pct,long,2020,fiscal_plus_fire,operating_ratio_pct__prior,0,0,0.305,False,True
operating_ratio_pct,long,2020,fiscal_plus_fire,cash_cover_months__prior,102,0,10.395699999999998,False,True
operating_ratio_pct,long,2020,fiscal_plus_fire,current_ratio__prior,0,0,3.2662500000000003,False,True
operating_ratio_pct,long,2020,fiscal_plus_fire,own_source_pct__prior,0,0,65.725,False,True
operating_ratio_pct,long,2020,fiscal_plus_fire,debt_service_cover__prior,30,7,5.972200000000001,False,True
operating_ratio_pct,long,2020,fiscal_plus_fire,maintenance_ratio_pct__prior,3,1,98.05,False,True
operating_ratio_pct,long,2020,fiscal_plus_fire,population__prior,0,0,23073.5,False,True
operating_ratio_pct,long,2020,fiscal_plus_fire,road_km__prior,409,0,1090.53,False,True
operating_ratio_pct,long,2020,fiscal_plus_fire,fesm_burned_ha__event,0,0,0.0,False,True
operating_ratio_pct,long,2020,fiscal_plus_disaster,operating_ratio_pct__prior,0,0,0.305,False,True
operating_ratio_pct,long,2020,fiscal_plus_disaster,cash_cover_months__prior,102,0,10.395699999999998,False,True
operating_ratio_pct,long,2020,fiscal_plus_disaster,current_ratio__prior,0,0,3.2662500000000003,False,True
operating_ratio_pct,long,2020,fiscal_plus_disaster,own_source_pct__prior,0,0,65.725,False,True
operating_ratio_pct,long,2020,fiscal_plus_disaster,debt_service_cover__prior,30,7,5.972200000000001,False,True
operating_ratio_pct,long,2020,fiscal_plus_disaster,maintenance_ratio_pct__prior,3,1,98.05,False,True
operating_ratio_pct,long,2020,fiscal_plus_disaster,population__prior,0,0,23073.5,False,True
operating_ratio_pct,long,2020,fiscal_plus_disaster,road_km__prior,409,0,1090.53,False,True
operating_ratio_pct,long,2020,fiscal_plus_disaster,fesm_burned_ha__event,0,0,0.0,False,True
operating_ratio_pct,long,2021,fiscal_only,operating_ratio_pct__prior,0,0,1.44,False,True
operating_ratio_pct,long,2021,fiscal_only,cash_cover_months__prior,102,0,10.59,False,True
operating_ratio_pct,long,2021,fiscal_only,current_ratio__prior,0,0,3.27205,False,True
operating_ratio_pct,long,2021,fiscal_only,own_source_pct__prior,0,0,65.55,False,True
operating_ratio_pct,long,2021,fiscal_only,debt_service_cover__prior,36,4,6.3453,False,True
operating_ratio_pct,long,2021,fiscal_only,maintenance_ratio_pct__prior,4,0,98.5206774713027,False,True
operating_ratio_pct,long,2021,fiscal_only,population__prior,0,0,23073.5,False,True
operating_ratio_pct,long,2021,fiscal_only,road_km__prior,409,0,1161.2856399999998,False,True
operating_ratio_pct,long,2021,fiscal_plus_fire,operating_ratio_pct__prior,0,0,1.44,False,True
operating_ratio_pct,long,2021,fiscal_plus_fire,cash_cover_months__prior,102,0,10.59,False,True
operating_ratio_pct,long,2021,fiscal_plus_fire,current_ratio__prior,0,0,3.27205,False,True
operating_ratio_pct,long,2021,fiscal_plus_fire,own_source_pct__prior,0,0,65.55,False,True
operating_ratio_pct,long,2021,fiscal_plus_fire,debt_service_cover__prior,36,4,6.3453,False,True
operating_ratio_pct,long,2021,fiscal_plus_fire,maintenance_ratio_pct__prior,4,0,98.5206774713027,False,True
operating_ratio_pct,long,2021,fiscal_plus_fire,population__prior,0,0,23073.5,False,True
operating_ratio_pct,long,2021,fiscal_plus_fire,road_km__prior,409,0,1161.2856399999998,False,True
operating_ratio_pct,long,2021,fiscal_plus_fire,fesm_burned_ha__event,0,0,0.0,False,True
operating_ratio_pct,long,2021,fiscal_plus_disaster,operating_ratio_pct__prior,0,0,1.44,False,True
operating_ratio_pct,long,2021,fiscal_plus_disaster,cash_cover_months__prior,102,0,10.59,False,True
operating_ratio_pct,long,2021,fiscal_plus_disaster,current_ratio__prior,0,0,3.27205,False,True
operating_ratio_pct,long,2021,fiscal_plus_disaster,own_source_pct__prior,0,0,65.55,False,True
operating_ratio_pct,long,2021,fiscal_plus_disaster,debt_service_cover__prior,36,4,6.3453,False,True
operating_ratio_pct,long,2021,fiscal_plus_disaster,maintenance_ratio_pct__prior,4,0,98.5206774713027,False,True
operating_ratio_pct,long,2021,fiscal_plus_disaster,population__prior,0,0,23073.5,False,True
operating_ratio_pct,long,2021,fiscal_plus_disaster,road_km__prior,409,0,1161.2856399999998,False,True
operating_ratio_pct,long,2021,fiscal_plus_disaster,fesm_burned_ha__event,0,0,0.0,False,True
operating_ratio_pct,long,2022,fiscal_only,operating_ratio_pct__prior,0,0,1.52,False,True
operating_ratio_pct,long,2022,fiscal_only,cash_cover_months__prior,102,0,10.782,False,True
operating_ratio_pct,long,2022,fiscal_only,current_ratio__prior,0,0,3.2986,False,True
operating_ratio_pct,long,2022,fiscal_only,own_source_pct__prior,0,0,65.82,False,True
operating_ratio_pct,long,2022,fiscal_only,debt_service_cover__prior,43,3,6.44,False,True
operating_ratio_pct,long,2022,fiscal_only,maintenance_ratio_pct__prior,5,1,99.26257437827392,False,True
operating_ratio_pct,long,2022,fiscal_only,population__prior,0,0,23172.5,False,True
operating_ratio_pct,long,2022,fiscal_only,road_km__prior,409,0,1165.86,False,True
operating_ratio_pct,long,2022,fiscal_plus_fire,operating_ratio_pct__prior,0,0,1.52,False,True
operating_ratio_pct,long,2022,fiscal_plus_fire,cash_cover_months__prior,102,0,10.782,False,True
operating_ratio_pct,long,2022,fiscal_plus_fire,current_ratio__prior,0,0,3.2986,False,True
operating_ratio_pct,long,2022,fiscal_plus_fire,own_source_pct__prior,0,0,65.82,False,True
operating_ratio_pct,long,2022,fiscal_plus_fire,debt_service_cover__prior,43,3,6.44,False,True
operating_ratio_pct,long,2022,fiscal_plus_fire,maintenance_ratio_pct__prior,5,1,99.26257437827392,False,True
operating_ratio_pct,long,2022,fiscal_plus_fire,population__prior,0,0,23172.5,False,True
operating_ratio_pct,long,2022,fiscal_plus_fire,road_km__prior,409,0,1165.86,False,True
operating_ratio_pct,long,2022,fiscal_plus_fire,fesm_burned_ha__event,0,0,0.0,False,True
operating_ratio_pct,long,2022,fiscal_plus_disaster,operating_ratio_pct__prior,0,0,1.52,False,True
operating_ratio_pct,long,2022,fiscal_plus_disaster,cash_cover_months__prior,102,0,10.782,False,True
operating_ratio_pct,long,2022,fiscal_plus_disaster,current_ratio__prior,0,0,3.2986,False,True
operating_ratio_pct,long,2022,fiscal_plus_disaster,own_source_pct__prior,0,0,65.82,False,True
operating_ratio_pct,long,2022,fiscal_plus_disaster,debt_service_cover__prior,43,3,6.44,False,True
operating_ratio_pct,long,2022,fiscal_plus_disaster,maintenance_ratio_pct__prior,5,1,99.26257437827392,False,True
operating_ratio_pct,long,2022,fiscal_plus_disaster,population__prior,0,0,23172.5,False,True
operating_ratio_pct,long,2022,fiscal_plus_disaster,road_km__prior,409,0,1165.86,False,True
operating_ratio_pct,long,2022,fiscal_plus_disaster,fesm_burned_ha__event,0,0,0.0,False,True
operating_ratio_pct,long,2023,fiscal_only,operating_ratio_pct__prior,0,0,1.47,False,True
operating_ratio_pct,long,2023,fiscal_only,cash_cover_months__prior,102,0,10.8,False,True
operating_ratio_pct,long,2023,fiscal_only,current_ratio__prior,0,0,3.28,False,True
operating_ratio_pct,long,2023,fiscal_only,own_source_pct__prior,0,0,65.45,False,True
operating_ratio_pct,long,2023,fiscal_only,debt_service_cover__prior,47,3,6.5,False,True
operating_ratio_pct,long,2023,fiscal_only,maintenance_ratio_pct__prior,5,1,99.49652303039446,False,True
operating_ratio_pct,long,2023,fiscal_only,population__prior,0,0,23317.0,False,True
operating_ratio_pct,long,2023,fiscal_only,road_km__prior,409,0,1167.185,False,True
operating_ratio_pct,long,2023,fiscal_plus_fire,operating_ratio_pct__prior,0,0,1.47,False,True
operating_ratio_pct,long,2023,fiscal_plus_fire,cash_cover_months__prior,102,0,10.8,False,True
operating_ratio_pct,long,2023,fiscal_plus_fire,current_ratio__prior,0,0,3.28,False,True
operating_ratio_pct,long,2023,fiscal_plus_fire,own_source_pct__prior,0,0,65.45,False,True
operating_ratio_pct,long,2023,fiscal_plus_fire,debt_service_cover__prior,47,3,6.5,False,True
operating_ratio_pct,long,2023,fiscal_plus_fire,maintenance_ratio_pct__prior,5,1,99.49652303039446,False,True
operating_ratio_pct,long,2023,fiscal_plus_fire,population__prior,0,0,23317.0,False,True
operating_ratio_pct,long,2023,fiscal_plus_fire,road_km__prior,409,0,1167.185,False,True
operating_ratio_pct,long,2023,fiscal_plus_fire,fesm_burned_ha__event,0,0,0.0,False,True
operating_ratio_pct,long,2023,fiscal_plus_disaster,operating_ratio_pct__prior,0,0,1.47,False,True
operating_ratio_pct,long,2023,fiscal_plus_disaster,cash_cover_months__prior,102,0,10.8,False,True
operating_ratio_pct,long,2023,fiscal_plus_disaster,current_ratio__prior,0,0,3.28,False,True
operating_ratio_pct,long,2023,fiscal_plus_disaster,own_source_pct__prior,0,0,65.45,False,True
operating_ratio_pct,long,2023,fiscal_plus_disaster,debt_service_cover__prior,47,3,6.5,False,True
operating_ratio_pct,long,2023,fiscal_plus_disaster,maintenance_ratio_pct__prior,5,1,99.49652303039446,False,True
operating_ratio_pct,long,2023,fiscal_plus_disaster,population__prior,0,0,23317.0,False,True
operating_ratio_pct,long,2023,fiscal_plus_disaster,road_km__prior,409,0,1167.185,False,True
operating_ratio_pct,long,2023,fiscal_plus_disaster,fesm_burned_ha__event,0,0,0.0,False,True
operating_ratio_pct,short_2017_onward,2021,fiscal_only,operating_ratio_pct__prior,0,0,4.800000000000001,False,True
operating_ratio_pct,short_2017_onward,2021,fiscal_only,cash_cover_months__prior,0,0,11.64,False,True
operating_ratio_pct,short_2017_onward,2021,fiscal_only,current_ratio__prior,0,0,3.5300000000000002,False,True
operating_ratio_pct,short_2017_onward,2021,fiscal_only,own_source_pct__prior,0,0,64.535,False,True
operating_ratio_pct,short_2017_onward,2021,fiscal_only,debt_service_cover__prior,6,4,7.83,False,True
operating_ratio_pct,short_2017_onward,2021,fiscal_only,maintenance_ratio_pct__prior,1,0,99.28682774746687,False,True
operating_ratio_pct,short_2017_onward,2021,fiscal_only,population__prior,0,0,22883.5,False,True
operating_ratio_pct,short_2017_onward,2021,fiscal_only,road_km__prior,0,0,1166.42,False,True
operating_ratio_pct,short_2017_onward,2021,fiscal_plus_fire,operating_ratio_pct__prior,0,0,4.800000000000001,False,True
operating_ratio_pct,short_2017_onward,2021,fiscal_plus_fire,cash_cover_months__prior,0,0,11.64,False,True
operating_ratio_pct,short_2017_onward,2021,fiscal_plus_fire,current_ratio__prior,0,0,3.5300000000000002,False,True
operating_ratio_pct,short_2017_onward,2021,fiscal_plus_fire,own_source_pct__prior,0,0,64.535,False,True
operating_ratio_pct,short_2017_onward,2021,fiscal_plus_fire,debt_service_cover__prior,6,4,7.83,False,True
operating_ratio_pct,short_2017_onward,2021,fiscal_plus_fire,maintenance_ratio_pct__prior,1,0,99.28682774746687,False,True
operating_ratio_pct,short_2017_onward,2021,fiscal_plus_fire,population__prior,0,0,22883.5,False,True
operating_ratio_pct,short_2017_onward,2021,fiscal_plus_fire,road_km__prior,0,0,1166.42,False,True
