target,history,test_year,test_fy,status,train_candidate_n,train_n,train_excluded_n,test_candidate_n,test_n,test_excluded_n,training_target_years,train_target_max,embargoed_eligible_rows,test_excluded__no_exact_prior_year,test_excluded__missing_target,train_excluded__missing_target,test_excluded__missing_eligible_persistence,train_excluded__missing_eligible_persistence,test_excluded__no_exact_target_year,test_excluded__outside_history_window,train_excluded__outside_history_window,test_excluded__cash_definition_not_comparable,train_excluded__cash_definition_not_comparable,test_excluded__maintenance_prior_conflict,test_excluded__maintenance_target_conflict,train_excluded__maintenance_prior_conflict,train_excluded__maintenance_target_conflict
operating_ratio_pct,long,2013,2013-14,skipped_insufficient_train_or_test,0,0,0,103,0,103,,,0,103.0,,,,,,,,,,,,,
operating_ratio_pct,long,2014,2014-15,skipped_insufficient_train_or_test,0,0,0,103,102,1,,,0,,1.0,,,,,,,,,,,,
operating_ratio_pct,long,2015,2015-16,skipped_insufficient_train_or_test,0,0,0,103,103,0,,,102,,,,,,,,,,,,,,
operating_ratio_pct,long,2016,2016-17,evaluated,103,102,1,103,102,1,2014,2014.0,103,,,1.0,1.0,,,,,,,,,,
operating_ratio_pct,long,2017,2017-18,evaluated,206,205,1,103,102,1,2014|2015,2015.0,102,,1.0,1.0,,,,,,,,,,,
operating_ratio_pct,long,2018,2018-19,evaluated,309,307,2,103,103,0,2014|2015|2016,2016.0,102,,,1.0,,1.0,,,,,,,,,
operating_ratio_pct,long,2019,2019-20,evaluated,412,409,3,103,102,1,2014|2015|2016|2017,2017.0,103,,,2.0,1.0,1.0,,,,,,,,,
operating_ratio_pct,long,2020,2020-21,evaluated,515,512,3,103,102,1,2014|2015|2016|2017|2018,2018.0,102,,1.0,2.0,,1.0,,,,,,,,,
operating_ratio_pct,long,2021,2021-22,evaluated,618,614,4,103,103,0,2014|2015|2016|2017|2018|2019,2019.0,102,,,2.0,,2.0,,,,,,,,,
operating_ratio_pct,long,2022,2022-23,evaluated,721,716,5,103,101,2,2014|2015|2016|2017|2018|2019|2020,2020.0,103,,1.0,3.0,1.0,2.0,,,,,,,,,
operating_ratio_pct,long,2023,2023-24,evaluated,824,819,5,103,103,0,2014|2015|2016|2017|2018|2019|2020|2021,2021.0,101,,,3.0,,2.0,,,,,,,,,
operating_ratio_pct,long,2024,2024-25,skipped_insufficient_train_or_test,927,920,7,103,0,103,2014|2015|2016|2017|2018|2019|2020|2021|2022,2022.0,103,,103.0,4.0,,3.0,,,,,,,,,
operating_ratio_pct,long,2025,2025-26,skipped_insufficient_train_or_test,1030,1023,7,103,0,103,2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2023.0,0,,,4.0,,3.0,103.0,,,,,,,,
operating_ratio_pct,short_2017_onward,2013,2013-14,skipped_insufficient_train_or_test,0,0,0,103,0,103,,,0,,,,,,,103.0,,,,,,,
operating_ratio_pct,short_2017_onward,2014,2014-15,skipped_insufficient_train_or_test,0,0,0,103,0,103,,,0,,,,,,,103.0,,,,,,,
operating_ratio_pct,short_2017_onward,2015,2015-16,skipped_insufficient_train_or_test,0,0,0,103,0,103,,,0,,,,,,,103.0,,,,,,,
operating_ratio_pct,short_2017_onward,2016,2016-17,skipped_insufficient_train_or_test,103,0,103,103,0,103,,,0,,,,,,,103.0,103.0,,,,,,
operating_ratio_pct,short_2017_onward,2017,2017-18,skipped_insufficient_train_or_test,206,0,206,103,0,103,,,0,,,,,,,103.0,206.0,,,,,,
operating_ratio_pct,short_2017_onward,2018,2018-19,skipped_insufficient_train_or_test,309,0,309,103,0,103,,,0,,,,,,,103.0,309.0,,,,,,
operating_ratio_pct,short_2017_onward,2019,2019-20,skipped_insufficient_train_or_test,412,0,412,103,102,1,,,0,,,,1.0,,,,412.0,,,,,,
operating_ratio_pct,short_2017_onward,2020,2020-21,skipped_insufficient_train_or_test,515,0,515,103,102,1,,,102,,1.0,,,,,,515.0,,,,,,
operating_ratio_pct,short_2017_onward,2021,2021-22,evaluated,618,102,516,103,103,0,2019,2019.0,102,,,,,1.0,,,515.0,,,,,,
operating_ratio_pct,short_2017_onward,2022,2022-23,evaluated,721,204,517,103,101,2,2019|2020,2020.0,103,,1.0,1.0,1.0,1.0,,,515.0,,,,,,
operating_ratio_pct,short_2017_onward,2023,2023-24,evaluated,824,307,517,103,103,0,2019|2020|2021,2021.0,101,,,1.0,,1.0,,,515.0,,,,,,
operating_ratio_pct,short_2017_onward,2024,2024-25,skipped_insufficient_train_or_test,927,408,519,103,0,103,2019|2020|2021|2022,2022.0,103,,103.0,2.0,,2.0,,,515.0,,,,,,
operating_ratio_pct,short_2017_onward,2025,2025-26,skipped_insufficient_train_or_test,1030,511,519,103,0,103,2019|2020|2021|2022|2023,2023.0,0,,,2.0,,2.0,103.0,,515.0,,,,,,
cash_cover_months,long,2013,2013-14,skipped_insufficient_train_or_test,0,0,0,103,0,103,,,0,103.0,,,,,,,,,,,,,
cash_cover_months,long,2014,2014-15,skipped_insufficient_train_or_test,0,0,0,103,0,103,,,0,,,,,,,,,103.0,,,,,
cash_cover_months,long,2015,2015-16,skipped_insufficient_train_or_test,0,0,0,103,103,0,,,0,,,,,,,,,,,,,,
cash_cover_months,long,2016,2016-17,skipped_insufficient_train_or_test,103,0,103,103,102,1,,,103,,,,1.0,,,,,,103.0,,,,
cash_cover_months,long,2017,2017-18,evaluated,206,103,103,103,102,1,2015,2015.0,102,,1.0,,,,,,,,103.0,,,,
cash_cover_months,long,2018,2018-19,evaluated,309,205,104,103,103,0,2015|2016,2016.0,102,,,,,1.0,,,,,103.0,,,,
cash_cover_months,long,2019,2019-20,evaluated,412,307,105,103,102,1,2015|2016|2017,2017.0,103,,,1.0,1.0,1.0,,,,,103.0,,,,
cash_cover_months,long,2020,2020-21,evaluated,515,410,105,103,102,1,2015|2016|2017|2018,2018.0,102,,1.0,1.0,,1.0,,,,,103.0,,,,
cash_cover_months,long,2021,2021-22,evaluated,618,512,106,103,103,0,2015|2016|2017|2018|2019,2019.0,102,,,1.0,,2.0,,,,,103.0,,,,
cash_cover_months,long,2022,2022-23,evaluated,721,614,107,103,101,2,2015|2016|2017|2018|2019|2020,2020.0,103,,1.0,2.0,1.0,2.0,,,,,103.0,,,,
cash_cover_months,long,2023,2023-24,evaluated,824,717,107,103,103,0,2015|2016|2017|2018|2019|2020|2021,2021.0,101,,,2.0,,2.0,,,,,103.0,,,,
cash_cover_months,long,2024,2024-25,skipped_insufficient_train_or_test,927,818,109,103,0,103,2015|2016|2017|2018|2019|2020|2021|2022,2022.0,103,,103.0,3.0,,3.0,,,,,103.0,,,,
cash_cover_months,long,2025,2025-26,skipped_insufficient_train_or_test,1030,921,109,103,0,103,2015|2016|2017|2018|2019|2020|2021|2022|2023,2023.0,0,,,3.0,,3.0,103.0,,,,103.0,,,,
cash_cover_months,short_2017_onward,2013,2013-14,skipped_insufficient_train_or_test,0,0,0,103,0,103,,,0,,,,,,,103.0,,,,,,,
cash_cover_months,short_2017_onward,2014,2014-15,skipped_insufficient_train_or_test,0,0,0,103,0,103,,,0,,,,,,,103.0,,,,,,,
cash_cover_months,short_2017_onward,2015,2015-16,skipped_insufficient_train_or_test,0,0,0,103,0,103,,,0,,,,,,,103.0,,,,,,,
cash_cover_months,short_2017_onward,2016,2016-17,skipped_insufficient_train_or_test,103,0,103,103,0,103,,,0,,,,,,,103.0,103.0,,,,,,
cash_cover_months,short_2017_onward,2017,2017-18,skipped_insufficient_train_or_test,206,0,206,103,0,103,,,0,,,,,,,103.0,206.0,,,,,,
cash_cover_months,short_2017_onward,2018,2018-19,skipped_insufficient_train_or_test,309,0,309,103,0,103,,,0,,,,,,,103.0,309.0,,,,,,
cash_cover_months,short_2017_onward,2019,2019-20,skipped_insufficient_train_or_test,412,0,412,103,102,1,,,0,,,,1.0,,,,412.0,,,,,,
cash_cover_months,short_2017_onward,2020,2020-21,skipped_insufficient_train_or_test,515,0,515,103,102,1,,,102,,1.0,,,,,,515.0,,,,,,
cash_cover_months,short_2017_onward,2021,2021-22,evaluated,618,102,516,103,103,0,2019,2019.0,102,,,,,1.0,,,515.0,,,,,,
cash_cover_months,short_2017_onward,2022,2022-23,evaluated,721,204,517,103,101,2,2019|2020,2020.0,103,,1.0,1.0,1.0,1.0,,,515.0,,,,,,
cash_cover_months,short_2017_onward,2023,2023-24,evaluated,824,307,517,103,103,0,2019|2020|2021,2021.0,101,,,1.0,,1.0,,,515.0,,,,,,
cash_cover_months,short_2017_onward,2024,2024-25,skipped_insufficient_train_or_test,927,408,519,103,0,103,2019|2020|2021|2022,2022.0,103,,103.0,2.0,,2.0,,,515.0,,,,,,
cash_cover_months,short_2017_onward,2025,2025-26,skipped_insufficient_train_or_test,1030,511,519,103,0,103,2019|2020|2021|2022|2023,2023.0,0,,,2.0,,2.0,103.0,,515.0,,,,,,
maintenance_ratio_pct,long,2013,2013-14,skipped_insufficient_train_or_test,0,0,0,103,0,103,,,0,103.0,,,,,,,,,,,,,
maintenance_ratio_pct,long,2014,2014-15,skipped_insufficient_train_or_test,0,0,0,103,100,3,,,0,,1.0,,,,,,,,,2.0,,,
maintenance_ratio_pct,long,2015,2015-16,skipped_insufficient_train_or_test,0,0,0,103,102,1,,,100,,,,,,,,,,,,1.0,,
maintenance_ratio_pct,long,2016,2016-17,evaluated,103,100,3,103,102,1,2014,2014.0,102,,,1.0,1.0,,,,,,,,,2.0,
maintenance_ratio_pct,long,2017,2017-18,evaluated,206,202,4,103,100,3,2014|2015,2015.0,102,,1.0,1.0,,,,,,,,1.0,1.0,2.0,1.0
maintenance_ratio_pct,long,2018,2018-19,evaluated,309,304,5,103,102,1,2014|2015|2016,2016.0,100,,,1.0,,1.0,,,,,,,1.0,2.0,1.0
maintenance_ratio_pct,long,2019,2019-20,evaluated,412,404,8,103,101,2,2014|2015|2016|2017,2017.0,102,,,2.0,1.0,1.0,,,,,,1.0,,3.0,2.0
maintenance_ratio_pct,long,2020,2020-21,evaluated,515,506,9,103,100,3,2014|2015|2016|2017|2018,2018.0,101,,1.0,2.0,,1.0,,,,,,1.0,1.0,3.0,3.0
