target,spec,history,outer_year,inner_year,train_n,validation_n,train_target_max,validation_event_year
operating_ratio_pct,fiscal_only,long,2018,2016,102,102,2014,2015
operating_ratio_pct,fiscal_plus_fire,long,2018,2016,102,102,2014,2015
operating_ratio_pct,fiscal_plus_disaster,long,2018,2016,102,102,2014,2015
operating_ratio_pct,fiscal_only,long,2019,2016,102,102,2014,2015
operating_ratio_pct,fiscal_only,long,2019,2017,205,102,2015,2016
operating_ratio_pct,fiscal_plus_fire,long,2019,2016,102,102,2014,2015
operating_ratio_pct,fiscal_plus_fire,long,2019,2017,205,102,2015,2016
operating_ratio_pct,fiscal_plus_disaster,long,2019,2016,102,102,2014,2015
operating_ratio_pct,fiscal_plus_disaster,long,2019,2017,205,102,2015,2016
operating_ratio_pct,fiscal_only,long,2020,2016,102,102,2014,2015
operating_ratio_pct,fiscal_only,long,2020,2017,205,102,2015,2016
operating_ratio_pct,fiscal_only,long,2020,2018,307,103,2016,2017
operating_ratio_pct,fiscal_plus_fire,long,2020,2016,102,102,2014,2015
operating_ratio_pct,fiscal_plus_fire,long,2020,2017,205,102,2015,2016
operating_ratio_pct,fiscal_plus_fire,long,2020,2018,307,103,2016,2017
operating_ratio_pct,fiscal_plus_disaster,long,2020,2016,102,102,2014,2015
operating_ratio_pct,fiscal_plus_disaster,long,2020,2017,205,102,2015,2016
operating_ratio_pct,fiscal_plus_disaster,long,2020,2018,307,103,2016,2017
operating_ratio_pct,fiscal_only,long,2021,2016,102,102,2014,2015
operating_ratio_pct,fiscal_only,long,2021,2017,205,102,2015,2016
operating_ratio_pct,fiscal_only,long,2021,2018,307,103,2016,2017
operating_ratio_pct,fiscal_only,long,2021,2019,409,102,2017,2018
operating_ratio_pct,fiscal_plus_fire,long,2021,2016,102,102,2014,2015
operating_ratio_pct,fiscal_plus_fire,long,2021,2017,205,102,2015,2016
operating_ratio_pct,fiscal_plus_fire,long,2021,2018,307,103,2016,2017
operating_ratio_pct,fiscal_plus_fire,long,2021,2019,409,102,2017,2018
operating_ratio_pct,fiscal_plus_disaster,long,2021,2016,102,102,2014,2015
operating_ratio_pct,fiscal_plus_disaster,long,2021,2017,205,102,2015,2016
operating_ratio_pct,fiscal_plus_disaster,long,2021,2018,307,103,2016,2017
operating_ratio_pct,fiscal_plus_disaster,long,2021,2019,409,102,2017,2018
operating_ratio_pct,fiscal_only,long,2022,2016,102,102,2014,2015
operating_ratio_pct,fiscal_only,long,2022,2017,205,102,2015,2016
operating_ratio_pct,fiscal_only,long,2022,2018,307,103,2016,2017
operating_ratio_pct,fiscal_only,long,2022,2019,409,102,2017,2018
operating_ratio_pct,fiscal_only,long,2022,2020,512,102,2018,2019
operating_ratio_pct,fiscal_plus_fire,long,2022,2016,102,102,2014,2015
operating_ratio_pct,fiscal_plus_fire,long,2022,2017,205,102,2015,2016
operating_ratio_pct,fiscal_plus_fire,long,2022,2018,307,103,2016,2017
operating_ratio_pct,fiscal_plus_fire,long,2022,2019,409,102,2017,2018
operating_ratio_pct,fiscal_plus_fire,long,2022,2020,512,102,2018,2019
operating_ratio_pct,fiscal_plus_disaster,long,2022,2016,102,102,2014,2015
operating_ratio_pct,fiscal_plus_disaster,long,2022,2017,205,102,2015,2016
operating_ratio_pct,fiscal_plus_disaster,long,2022,2018,307,103,2016,2017
operating_ratio_pct,fiscal_plus_disaster,long,2022,2019,409,102,2017,2018
operating_ratio_pct,fiscal_plus_disaster,long,2022,2020,512,102,2018,2019
operating_ratio_pct,fiscal_only,long,2023,2016,102,102,2014,2015
operating_ratio_pct,fiscal_only,long,2023,2017,205,102,2015,2016
operating_ratio_pct,fiscal_only,long,2023,2018,307,103,2016,2017
operating_ratio_pct,fiscal_only,long,2023,2019,409,102,2017,2018
operating_ratio_pct,fiscal_only,long,2023,2020,512,102,2018,2019
operating_ratio_pct,fiscal_only,long,2023,2021,614,103,2019,2020
operating_ratio_pct,fiscal_plus_fire,long,2023,2016,102,102,2014,2015
operating_ratio_pct,fiscal_plus_fire,long,2023,2017,205,102,2015,2016
operating_ratio_pct,fiscal_plus_fire,long,2023,2018,307,103,2016,2017
operating_ratio_pct,fiscal_plus_fire,long,2023,2019,409,102,2017,2018
operating_ratio_pct,fiscal_plus_fire,long,2023,2020,512,102,2018,2019
