variable,year,rows,known,zero,missing
operating_ratio_pct,2012,103,103,0,0
cash_cover_months,2012,103,0,0,103
current_ratio,2012,103,103,0,0
own_source_pct,2012,103,103,0,0
debt_service_cover,2012,103,96,0,7
maintenance_ratio_pct,2012,103,101,0,2
population,2012,103,103,0,0
road_km,2012,103,0,0,103
fesm_burned_ha,2012,103,103,83,0
bushfire_declared,2012,103,103,44,0
flood_declared,2012,103,103,72,0
operating_ratio_pct,2013,103,103,0,0
cash_cover_months,2013,103,103,0,0
current_ratio,2013,103,103,0,0
own_source_pct,2013,103,103,0,0
debt_service_cover,2013,103,96,0,7
maintenance_ratio_pct,2013,103,103,0,0
population,2013,103,103,0,0
road_km,2013,103,0,0,103
fesm_burned_ha,2013,103,103,62,0
bushfire_declared,2013,103,33,0,70
flood_declared,2013,103,0,0,103
operating_ratio_pct,2014,103,102,0,1
cash_cover_months,2014,103,102,0,1
current_ratio,2014,103,102,0,1
own_source_pct,2014,103,102,0,1
debt_service_cover,2014,103,96,0,7
maintenance_ratio_pct,2014,103,102,0,1
population,2014,103,103,0,0
road_km,2014,103,0,0,103
fesm_burned_ha,2014,103,103,82,0
bushfire_declared,2014,103,3,0,100
flood_declared,2014,103,28,0,75
operating_ratio_pct,2015,103,103,1,0
cash_cover_months,2015,103,103,0,0
current_ratio,2015,103,103,0,0
own_source_pct,2015,103,103,0,0
debt_service_cover,2015,103,98,0,5
maintenance_ratio_pct,2015,103,102,1,1
population,2015,103,103,0,0
road_km,2015,103,0,0,103
fesm_burned_ha,2015,103,103,82,0
bushfire_declared,2015,103,3,0,100
flood_declared,2015,103,41,0,62
operating_ratio_pct,2016,103,103,0,0
cash_cover_months,2016,103,103,0,0
current_ratio,2016,103,103,0,0
own_source_pct,2016,103,103,0,0
debt_service_cover,2016,103,98,0,5
maintenance_ratio_pct,2016,103,103,1,0
population,2016,103,103,0,0
road_km,2016,103,103,0,0
fesm_burned_ha,2016,103,103,54,0
bushfire_declared,2016,103,17,0,86
flood_declared,2016,103,51,0,52
operating_ratio_pct,2017,103,102,0,1
cash_cover_months,2017,103,102,0,1
current_ratio,2017,103,102,0,1
own_source_pct,2017,103,102,0,1
debt_service_cover,2017,103,96,0,7
maintenance_ratio_pct,2017,103,101,0,2
population,2017,103,103,0,0
road_km,2017,103,103,0,0
fesm_burned_ha,2017,103,103,59,0
bushfire_declared,2017,103,103,80,0
flood_declared,2017,103,103,100,0
operating_ratio_pct,2018,103,103,0,0
cash_cover_months,2018,103,103,0,0
current_ratio,2018,103,103,0,0
own_source_pct,2018,103,103,0,0
debt_service_cover,2018,103,96,0,7
maintenance_ratio_pct,2018,103,102,0,1
population,2018,103,103,0,0
road_km,2018,103,103,0,0
fesm_burned_ha,2018,103,103,64,0
bushfire_declared,2018,103,103,85,0
flood_declared,2018,103,103,70,0
operating_ratio_pct,2019,103,103,0,0
cash_cover_months,2019,103,103,0,0
current_ratio,2019,103,103,0,0
own_source_pct,2019,103,103,0,0
debt_service_cover,2019,103,99,0,4
maintenance_ratio_pct,2019,103,103,1,0
population,2019,103,103,0,0
road_km,2019,103,103,0,0
fesm_burned_ha,2019,103,103,53,0
bushfire_declared,2019,103,103,61,0
flood_declared,2019,103,103,30,0
operating_ratio_pct,2020,103,102,0,1
cash_cover_months,2020,103,102,0,1
current_ratio,2020,103,102,0,1
own_source_pct,2020,103,102,0,1
debt_service_cover,2020,103,99,0,4
maintenance_ratio_pct,2020,103,101,0,2
population,2020,103,103,0,0
road_km,2020,103,103,0,0
fesm_burned_ha,2020,103,103,79,0
bushfire_declared,2020,103,103,103,0
flood_declared,2020,103,103,35,0
operating_ratio_pct,2021,103,103,1,0
cash_cover_months,2021,103,103,0,0
current_ratio,2021,103,103,0,0
own_source_pct,2021,103,103,0,0
debt_service_cover,2021,103,100,0,3
maintenance_ratio_pct,2021,103,102,0,1
population,2021,103,103,0,0
road_km,2021,103,103,0,0
fesm_burned_ha,2021,103,103,74,0
bushfire_declared,2021,103,103,103,0
flood_declared,2021,103,103,12,0
operating_ratio_pct,2022,103,102,0,1
cash_cover_months,2022,103,102,0,1
current_ratio,2022,103,102,0,1
own_source_pct,2022,103,102,0,1
debt_service_cover,2022,103,100,0,3
maintenance_ratio_pct,2022,103,102,1,1
population,2022,103,103,0,0
road_km,2022,103,103,0,0
fesm_burned_ha,2022,103,103,47,0
bushfire_declared,2022,103,103,86,0
flood_declared,2022,103,103,40,0
operating_ratio_pct,2023,103,103,0,0
cash_cover_months,2023,103,103,0,0
current_ratio,2023,103,103,0,0
own_source_pct,2023,103,103,0,0
debt_service_cover,2023,103,101,0,2
maintenance_ratio_pct,2023,103,103,0,0
population,2023,103,103,0,0
road_km,2023,103,103,0,0
fesm_burned_ha,2023,103,103,41,0
bushfire_declared,2023,103,103,80,0
flood_declared,2023,103,103,70,0
operating_ratio_pct,2024,103,0,0,103
cash_cover_months,2024,103,0,0,103
current_ratio,2024,103,0,0,103
own_source_pct,2024,103,0,0,103
debt_service_cover,2024,103,0,0,103
maintenance_ratio_pct,2024,103,102,0,1
population,2024,103,103,0,0
road_km,2024,103,103,0,0
fesm_burned_ha,2024,103,0,0,103
bushfire_declared,2024,103,103,88,0
flood_declared,2024,103,103,69,0
