council_key,year_start,_merge
albury,2012,both
albury,2013,both
albury,2014,both
albury,2015,both
albury,2016,both
albury,2017,both
albury,2018,both
albury,2019,both
albury,2020,both
albury,2021,both
albury,2022,both
albury,2023,both
albury,2024,both
ballina,2012,both
ballina,2013,both
ballina,2014,both
ballina,2015,both
ballina,2016,both
ballina,2017,both
ballina,2018,both
ballina,2019,both
ballina,2020,both
ballina,2021,both
ballina,2022,both
ballina,2023,both
ballina,2024,both
balranald,2012,both
balranald,2013,both
balranald,2014,both
balranald,2015,both
balranald,2016,both
balranald,2017,both
balranald,2018,both
balranald,2019,both
balranald,2020,both
balranald,2021,both
balranald,2022,both
balranald,2023,both
balranald,2024,both
bathurst,2012,both
bathurst,2013,both
bathurst,2014,both
bathurst,2015,both
bathurst,2016,both
bathurst,2017,both
bathurst,2018,both
bathurst,2019,both
bathurst,2020,both
bathurst,2021,both
bathurst,2022,both
bathurst,2023,both
bathurst,2024,both
begavalley,2012,both
begavalley,2013,both
begavalley,2014,both
begavalley,2015,both
begavalley,2016,both
begavalley,2017,both
begavalley,2018,both
begavalley,2019,both
begavalley,2020,both
begavalley,2021,both
begavalley,2022,both
begavalley,2023,both
begavalley,2024,both
bellingen,2012,both
bellingen,2013,both
bellingen,2014,both
bellingen,2015,both
bellingen,2016,both
bellingen,2017,both
bellingen,2018,both
bellingen,2019,both
bellingen,2020,both
bellingen,2021,both
bellingen,2022,both
bellingen,2023,both
bellingen,2024,both
berrigan,2012,both
berrigan,2013,both
berrigan,2014,both
berrigan,2015,both
berrigan,2016,both
berrigan,2017,both
berrigan,2018,both
berrigan,2019,both
berrigan,2020,both
berrigan,2021,both
berrigan,2022,both
berrigan,2023,both
berrigan,2024,both
blacktown,2012,both
blacktown,2013,both
blacktown,2014,both
blacktown,2015,both
blacktown,2016,both
blacktown,2017,both
blacktown,2018,both
blacktown,2019,both
blacktown,2020,both
blacktown,2021,both
blacktown,2022,both
blacktown,2023,both
blacktown,2024,both
bland,2012,both
bland,2013,both
bland,2014,both
bland,2015,both
bland,2016,both
bland,2017,both
bland,2018,both
bland,2019,both
bland,2020,both
bland,2021,both
bland,2022,both
bland,2023,both
bland,2024,both
blayney,2012,both
blayney,2013,both
blayney,2014,both
blayney,2015,both
blayney,2016,both
blayney,2017,both
blayney,2018,both
blayney,2019,both
blayney,2020,both
blayney,2021,both
blayney,2022,both
blayney,2023,both
blayney,2024,both
bluemountains,2012,both
bluemountains,2013,both
bluemountains,2014,both
bluemountains,2015,both
bluemountains,2016,both
bluemountains,2017,both
bluemountains,2018,both
bluemountains,2019,both
bluemountains,2020,both
bluemountains,2021,both
bluemountains,2022,both
bluemountains,2023,both
bluemountains,2024,both
bogan,2012,both
bogan,2013,both
bogan,2014,both
bogan,2015,both
bogan,2016,both
bogan,2017,both
bogan,2018,both
bogan,2019,both
bogan,2020,both
bogan,2021,both
bogan,2022,both
bogan,2023,both
bogan,2024,both
bourke,2012,both
bourke,2013,both
bourke,2014,both
bourke,2015,both
bourke,2016,both
bourke,2017,both
bourke,2018,both
bourke,2019,both
bourke,2020,both
bourke,2021,both
bourke,2022,both
bourke,2023,both
bourke,2024,both
brewarrina,2012,both
