target,history,spec,model,n,MAE,RMSE,R2,folds,macro_MAE,macro_RMSE,macro_R2,MAE_years_won,RMSE_years_won,both_years_won,persistence_MAE,persistence_RMSE,consistent_vs_persistence
cash_cover_months,long,baseline,persistence,716,3.3462541899441343,4.681422375033435,0.5488390859746086,7,3.3461771141216268,4.6380602993584725,0.5455369350626478,0,0,0,3.3462541899441343,4.681422375033435,False
cash_cover_months,long,baseline,training_mean,716,5.24432899380703,7.066528170083574,-0.027987902674170506,7,5.244382680213411,7.024748350649039,-0.042768428291408575,0,0,0,3.3462541899441343,4.681422375033435,False
cash_cover_months,long,fiscal_only,ridge,716,3.364218625822401,4.590300187329651,0.5662315206349541,7,3.3636781036825227,4.556251329980207,0.561677886987944,3,5,3,3.3462541899441343,4.681422375033435,False
cash_cover_months,long,fiscal_only,tree,716,3.5265034509452535,4.984926788443541,0.4884437635659554,7,3.5263320851742272,4.933380765938133,0.48748268858176147,1,2,1,3.3462541899441343,4.681422375033435,False
cash_cover_months,long,fiscal_plus_disaster,ridge,716,3.492984190606616,4.729132647849529,0.5395962987997092,7,3.4931711569636397,4.673449679053749,0.5328860006278301,4,4,4,3.3462541899441343,4.681422375033435,False
cash_cover_months,long,fiscal_plus_disaster,tree,716,3.5265034509452544,4.984926788443542,0.4884437635659552,7,3.5263320851742277,4.933380765938133,0.48748268858176136,1,2,1,3.3462541899441343,4.681422375033435,False
cash_cover_months,long,fiscal_plus_fire,ridge,716,3.3608905662545685,4.585301422303073,0.5671757403982889,7,3.3604006613812714,4.551823208541138,0.5625446444408312,4,5,4,3.3462541899441343,4.681422375033435,False
cash_cover_months,long,fiscal_plus_fire,tree,716,3.5265034509452535,4.984926788443541,0.4884437635659553,7,3.5263320851742272,4.933380765938133,0.4874826885817614,1,2,1,3.3462541899441343,4.681422375033435,False
cash_cover_months,short_2017_onward,baseline,persistence,307,3.901848534201954,5.2761708914266086,0.5101646853108243,3,3.901268047678555,5.270865952882483,0.5098856238979744,0,0,0,3.901848534201954,5.2761708914266086,False
cash_cover_months,short_2017_onward,baseline,training_mean,307,5.514737242086513,7.696195139272058,-0.04223229648728699,3,5.513928831825285,7.691268557302603,-0.04256264213138583,0,0,0,3.901848534201954,5.2761708914266086,False
cash_cover_months,short_2017_onward,fiscal_only,ridge,307,3.9678696619266858,5.713731623858899,0.42555022945303833,3,3.9667280402038347,5.674428029637123,0.4304185712851969,2,1,1,3.901848534201954,5.2761708914266086,False
cash_cover_months,short_2017_onward,fiscal_only,tree,307,4.298373287725395,5.909738110184824,0.38546183917946286,3,4.29685734541432,5.894995342320795,0.38800074050718686,0,0,0,3.901848534201954,5.2761708914266086,False
cash_cover_months,short_2017_onward,fiscal_plus_disaster,ridge,307,3.935818705121063,5.6514034876998425,0.4380146222983401,3,3.9346522140422375,5.614613448533828,0.4425551648124723,2,1,1,3.901848534201954,5.2761708914266086,False
cash_cover_months,short_2017_onward,fiscal_plus_disaster,tree,307,4.298373287725394,5.909738110184824,0.38546183917946286,3,4.29685734541432,5.894995342320795,0.388000740507187,0,0,0,3.901848534201954,5.2761708914266086,False
