target,history,test_year,spec,feature,ridge_alpha,tuning_mode,coefficient_per_training_sd,training_mean,training_sd
operating_ratio_pct,long,2016,fiscal_only,operating_ratio_pct__prior,10.0,fixed_no_inner_forward_fold,3.6478682108336447,-5.474803921568627,10.834744016483716
operating_ratio_pct,long,2016,fiscal_only,current_ratio__prior,10.0,fixed_no_inner_forward_fold,-0.691897024446151,3.7267098039215685,2.07375605342566
operating_ratio_pct,long,2016,fiscal_only,own_source_pct__prior,10.0,fixed_no_inner_forward_fold,1.0005137043193322,58.00235294117646,12.411160393243053
operating_ratio_pct,long,2016,fiscal_only,debt_service_cover__prior,10.0,fixed_no_inner_forward_fold,0.3301156938868357,16.485524509803923,43.989897935326894
operating_ratio_pct,long,2016,fiscal_only,maintenance_ratio_pct__prior,10.0,fixed_no_inner_forward_fold,0.491992078438664,88.74445164279713,28.90287488050315
operating_ratio_pct,long,2016,fiscal_only,population__prior,10.0,fixed_no_inner_forward_fold,-0.13718036998460226,47422.98039215686,59811.35855451597
operating_ratio_pct,long,2016,fiscal_only,operating_ratio_pct__prior__missing,10.0,fixed_no_inner_forward_fold,0.0,0.0,1.0
operating_ratio_pct,long,2016,fiscal_only,cash_cover_months__prior__missing,10.0,fixed_no_inner_forward_fold,0.0,1.0,1.0
operating_ratio_pct,long,2016,fiscal_only,current_ratio__prior__missing,10.0,fixed_no_inner_forward_fold,0.0,0.0,1.0
operating_ratio_pct,long,2016,fiscal_only,own_source_pct__prior__missing,10.0,fixed_no_inner_forward_fold,0.0,0.0,1.0
operating_ratio_pct,long,2016,fiscal_only,debt_service_cover__prior__missing,10.0,fixed_no_inner_forward_fold,-0.3698495287652542,0.06862745098039216,0.25281954820054175
operating_ratio_pct,long,2016,fiscal_only,maintenance_ratio_pct__prior__missing,10.0,fixed_no_inner_forward_fold,0.43597358979762346,0.0196078431372549,0.13864838846795047
operating_ratio_pct,long,2016,fiscal_only,population__prior__missing,10.0,fixed_no_inner_forward_fold,0.0,0.0,1.0
operating_ratio_pct,long,2016,fiscal_only,road_km__prior__missing,10.0,fixed_no_inner_forward_fold,0.0,1.0,1.0
operating_ratio_pct,long,2016,fiscal_plus_fire,operating_ratio_pct__prior,10.0,fixed_no_inner_forward_fold,3.623598003589751,-5.474803921568627,10.834744016483716
operating_ratio_pct,long,2016,fiscal_plus_fire,current_ratio__prior,10.0,fixed_no_inner_forward_fold,-0.6995108350604171,3.7267098039215685,2.07375605342566
operating_ratio_pct,long,2016,fiscal_plus_fire,own_source_pct__prior,10.0,fixed_no_inner_forward_fold,1.0135917913207375,58.00235294117646,12.411160393243053
operating_ratio_pct,long,2016,fiscal_plus_fire,debt_service_cover__prior,10.0,fixed_no_inner_forward_fold,0.29244978965421203,16.485524509803923,43.989897935326894
operating_ratio_pct,long,2016,fiscal_plus_fire,maintenance_ratio_pct__prior,10.0,fixed_no_inner_forward_fold,0.39525845849143143,88.74445164279713,28.90287488050315
operating_ratio_pct,long,2016,fiscal_plus_fire,population__prior,10.0,fixed_no_inner_forward_fold,-0.1615930825734772,47422.98039215686,59811.35855451597
operating_ratio_pct,long,2016,fiscal_plus_fire,fesm_burned_ha__event,10.0,fixed_no_inner_forward_fold,-0.8563717074825057,3303.583790611898,11278.573180576597
operating_ratio_pct,long,2016,fiscal_plus_fire,operating_ratio_pct__prior__missing,10.0,fixed_no_inner_forward_fold,0.0,0.0,1.0
operating_ratio_pct,long,2016,fiscal_plus_fire,cash_cover_months__prior__missing,10.0,fixed_no_inner_forward_fold,0.0,1.0,1.0
operating_ratio_pct,long,2016,fiscal_plus_fire,current_ratio__prior__missing,10.0,fixed_no_inner_forward_fold,0.0,0.0,1.0
operating_ratio_pct,long,2016,fiscal_plus_fire,own_source_pct__prior__missing,10.0,fixed_no_inner_forward_fold,0.0,0.0,1.0
operating_ratio_pct,long,2016,fiscal_plus_fire,debt_service_cover__prior__missing,10.0,fixed_no_inner_forward_fold,-0.40909316286752756,0.06862745098039216,0.25281954820054175
operating_ratio_pct,long,2016,fiscal_plus_fire,maintenance_ratio_pct__prior__missing,10.0,fixed_no_inner_forward_fold,0.4266555255278453,0.0196078431372549,0.13864838846795047
