council_key,prior_year,event_year,target_year,exclusion_reason,target
albury,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
albury,2012,2013,2014,eligible,operating_ratio_pct
albury,2013,2014,2015,eligible,operating_ratio_pct
albury,2014,2015,2016,eligible,operating_ratio_pct
albury,2015,2016,2017,eligible,operating_ratio_pct
albury,2016,2017,2018,eligible,operating_ratio_pct
albury,2017,2018,2019,eligible,operating_ratio_pct
albury,2018,2019,2020,eligible,operating_ratio_pct
albury,2019,2020,2021,eligible,operating_ratio_pct
albury,2020,2021,2022,eligible,operating_ratio_pct
albury,2021,2022,2023,eligible,operating_ratio_pct
albury,2022,2023,2024,missing_target,operating_ratio_pct
albury,2023,2024,2025,no_exact_target_year,operating_ratio_pct
ballina,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
ballina,2012,2013,2014,eligible,operating_ratio_pct
ballina,2013,2014,2015,eligible,operating_ratio_pct
ballina,2014,2015,2016,eligible,operating_ratio_pct
ballina,2015,2016,2017,eligible,operating_ratio_pct
ballina,2016,2017,2018,eligible,operating_ratio_pct
ballina,2017,2018,2019,eligible,operating_ratio_pct
ballina,2018,2019,2020,eligible,operating_ratio_pct
ballina,2019,2020,2021,eligible,operating_ratio_pct
ballina,2020,2021,2022,eligible,operating_ratio_pct
ballina,2021,2022,2023,eligible,operating_ratio_pct
ballina,2022,2023,2024,missing_target,operating_ratio_pct
ballina,2023,2024,2025,no_exact_target_year,operating_ratio_pct
balranald,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
balranald,2012,2013,2014,eligible,operating_ratio_pct
balranald,2013,2014,2015,eligible,operating_ratio_pct
balranald,2014,2015,2016,eligible,operating_ratio_pct
balranald,2015,2016,2017,eligible,operating_ratio_pct
balranald,2016,2017,2018,eligible,operating_ratio_pct
balranald,2017,2018,2019,eligible,operating_ratio_pct
balranald,2018,2019,2020,eligible,operating_ratio_pct
balranald,2019,2020,2021,eligible,operating_ratio_pct
balranald,2020,2021,2022,eligible,operating_ratio_pct
balranald,2021,2022,2023,eligible,operating_ratio_pct
balranald,2022,2023,2024,missing_target,operating_ratio_pct
balranald,2023,2024,2025,no_exact_target_year,operating_ratio_pct
bathurst,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
bathurst,2012,2013,2014,eligible,operating_ratio_pct
bathurst,2013,2014,2015,eligible,operating_ratio_pct
bathurst,2014,2015,2016,eligible,operating_ratio_pct
bathurst,2015,2016,2017,eligible,operating_ratio_pct
bathurst,2016,2017,2018,eligible,operating_ratio_pct
bathurst,2017,2018,2019,eligible,operating_ratio_pct
bathurst,2018,2019,2020,eligible,operating_ratio_pct
bathurst,2019,2020,2021,eligible,operating_ratio_pct
bathurst,2020,2021,2022,eligible,operating_ratio_pct
bathurst,2021,2022,2023,eligible,operating_ratio_pct
bathurst,2022,2023,2024,missing_target,operating_ratio_pct
bathurst,2023,2024,2025,no_exact_target_year,operating_ratio_pct
begavalley,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
begavalley,2012,2013,2014,eligible,operating_ratio_pct
begavalley,2013,2014,2015,eligible,operating_ratio_pct
begavalley,2014,2015,2016,eligible,operating_ratio_pct
begavalley,2015,2016,2017,eligible,operating_ratio_pct
begavalley,2016,2017,2018,eligible,operating_ratio_pct
begavalley,2017,2018,2019,eligible,operating_ratio_pct
begavalley,2018,2019,2020,eligible,operating_ratio_pct
begavalley,2019,2020,2021,eligible,operating_ratio_pct
begavalley,2020,2021,2022,eligible,operating_ratio_pct
begavalley,2021,2022,2023,eligible,operating_ratio_pct
begavalley,2022,2023,2024,missing_target,operating_ratio_pct
begavalley,2023,2024,2025,no_exact_target_year,operating_ratio_pct
bellingen,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
bellingen,2012,2013,2014,eligible,operating_ratio_pct
bellingen,2013,2014,2015,eligible,operating_ratio_pct
bellingen,2014,2015,2016,eligible,operating_ratio_pct
bellingen,2015,2016,2017,eligible,operating_ratio_pct
bellingen,2016,2017,2018,eligible,operating_ratio_pct
bellingen,2017,2018,2019,eligible,operating_ratio_pct
bellingen,2018,2019,2020,eligible,operating_ratio_pct
bellingen,2019,2020,2021,eligible,operating_ratio_pct
bellingen,2020,2021,2022,eligible,operating_ratio_pct
bellingen,2021,2022,2023,eligible,operating_ratio_pct
bellingen,2022,2023,2024,missing_target,operating_ratio_pct
bellingen,2023,2024,2025,no_exact_target_year,operating_ratio_pct
berrigan,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
berrigan,2012,2013,2014,eligible,operating_ratio_pct
berrigan,2013,2014,2015,eligible,operating_ratio_pct
berrigan,2014,2015,2016,eligible,operating_ratio_pct
berrigan,2015,2016,2017,eligible,operating_ratio_pct
berrigan,2016,2017,2018,eligible,operating_ratio_pct
berrigan,2017,2018,2019,eligible,operating_ratio_pct
berrigan,2018,2019,2020,eligible,operating_ratio_pct
berrigan,2019,2020,2021,eligible,operating_ratio_pct
berrigan,2020,2021,2022,eligible,operating_ratio_pct
berrigan,2021,2022,2023,eligible,operating_ratio_pct
berrigan,2022,2023,2024,missing_target,operating_ratio_pct
berrigan,2023,2024,2025,no_exact_target_year,operating_ratio_pct
blacktown,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
blacktown,2012,2013,2014,eligible,operating_ratio_pct
blacktown,2013,2014,2015,eligible,operating_ratio_pct
blacktown,2014,2015,2016,eligible,operating_ratio_pct
blacktown,2015,2016,2017,eligible,operating_ratio_pct
blacktown,2016,2017,2018,eligible,operating_ratio_pct
blacktown,2017,2018,2019,eligible,operating_ratio_pct
blacktown,2018,2019,2020,eligible,operating_ratio_pct
blacktown,2019,2020,2021,eligible,operating_ratio_pct
blacktown,2020,2021,2022,eligible,operating_ratio_pct
blacktown,2021,2022,2023,eligible,operating_ratio_pct
blacktown,2022,2023,2024,missing_target,operating_ratio_pct
blacktown,2023,2024,2025,no_exact_target_year,operating_ratio_pct
bland,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
bland,2012,2013,2014,eligible,operating_ratio_pct
bland,2013,2014,2015,eligible,operating_ratio_pct
bland,2014,2015,2016,eligible,operating_ratio_pct
bland,2015,2016,2017,eligible,operating_ratio_pct
bland,2016,2017,2018,eligible,operating_ratio_pct
bland,2017,2018,2019,eligible,operating_ratio_pct
bland,2018,2019,2020,eligible,operating_ratio_pct
bland,2019,2020,2021,eligible,operating_ratio_pct
bland,2020,2021,2022,eligible,operating_ratio_pct
bland,2021,2022,2023,eligible,operating_ratio_pct
bland,2022,2023,2024,missing_target,operating_ratio_pct
bland,2023,2024,2025,no_exact_target_year,operating_ratio_pct
blayney,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
blayney,2012,2013,2014,eligible,operating_ratio_pct
blayney,2013,2014,2015,eligible,operating_ratio_pct
blayney,2014,2015,2016,eligible,operating_ratio_pct
blayney,2015,2016,2017,eligible,operating_ratio_pct
blayney,2016,2017,2018,eligible,operating_ratio_pct
blayney,2017,2018,2019,eligible,operating_ratio_pct
blayney,2018,2019,2020,eligible,operating_ratio_pct
blayney,2019,2020,2021,eligible,operating_ratio_pct
blayney,2020,2021,2022,eligible,operating_ratio_pct
blayney,2021,2022,2023,eligible,operating_ratio_pct
blayney,2022,2023,2024,missing_target,operating_ratio_pct
blayney,2023,2024,2025,no_exact_target_year,operating_ratio_pct
bluemountains,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
bluemountains,2012,2013,2014,eligible,operating_ratio_pct
bluemountains,2013,2014,2015,eligible,operating_ratio_pct
bluemountains,2014,2015,2016,eligible,operating_ratio_pct
bluemountains,2015,2016,2017,eligible,operating_ratio_pct
bluemountains,2016,2017,2018,eligible,operating_ratio_pct
bluemountains,2017,2018,2019,eligible,operating_ratio_pct
bluemountains,2018,2019,2020,eligible,operating_ratio_pct
bluemountains,2019,2020,2021,eligible,operating_ratio_pct
bluemountains,2020,2021,2022,eligible,operating_ratio_pct
bluemountains,2021,2022,2023,eligible,operating_ratio_pct
bluemountains,2022,2023,2024,missing_target,operating_ratio_pct
bluemountains,2023,2024,2025,no_exact_target_year,operating_ratio_pct
bogan,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
bogan,2012,2013,2014,eligible,operating_ratio_pct
bogan,2013,2014,2015,eligible,operating_ratio_pct
bogan,2014,2015,2016,eligible,operating_ratio_pct
bogan,2015,2016,2017,eligible,operating_ratio_pct
bogan,2016,2017,2018,eligible,operating_ratio_pct
bogan,2017,2018,2019,eligible,operating_ratio_pct
bogan,2018,2019,2020,eligible,operating_ratio_pct
bogan,2019,2020,2021,eligible,operating_ratio_pct
bogan,2020,2021,2022,eligible,operating_ratio_pct
bogan,2021,2022,2023,eligible,operating_ratio_pct
bogan,2022,2023,2024,missing_target,operating_ratio_pct
bogan,2023,2024,2025,no_exact_target_year,operating_ratio_pct
bourke,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
bourke,2012,2013,2014,eligible,operating_ratio_pct
bourke,2013,2014,2015,eligible,operating_ratio_pct
bourke,2014,2015,2016,eligible,operating_ratio_pct
bourke,2015,2016,2017,eligible,operating_ratio_pct
bourke,2016,2017,2018,eligible,operating_ratio_pct
bourke,2017,2018,2019,eligible,operating_ratio_pct
bourke,2018,2019,2020,eligible,operating_ratio_pct
bourke,2019,2020,2021,eligible,operating_ratio_pct
bourke,2020,2021,2022,eligible,operating_ratio_pct
bourke,2021,2022,2023,eligible,operating_ratio_pct
bourke,2022,2023,2024,missing_target,operating_ratio_pct
bourke,2023,2024,2025,no_exact_target_year,operating_ratio_pct
brewarrina,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
brewarrina,2012,2013,2014,eligible,operating_ratio_pct
brewarrina,2013,2014,2015,eligible,operating_ratio_pct
brewarrina,2014,2015,2016,eligible,operating_ratio_pct
brewarrina,2015,2016,2017,eligible,operating_ratio_pct
brewarrina,2016,2017,2018,eligible,operating_ratio_pct
brewarrina,2017,2018,2019,eligible,operating_ratio_pct
brewarrina,2018,2019,2020,eligible,operating_ratio_pct
brewarrina,2019,2020,2021,eligible,operating_ratio_pct
brewarrina,2020,2021,2022,eligible,operating_ratio_pct
brewarrina,2021,2022,2023,eligible,operating_ratio_pct
brewarrina,2022,2023,2024,missing_target,operating_ratio_pct
brewarrina,2023,2024,2025,no_exact_target_year,operating_ratio_pct
brokenhill,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
brokenhill,2012,2013,2014,eligible,operating_ratio_pct
brokenhill,2013,2014,2015,eligible,operating_ratio_pct
brokenhill,2014,2015,2016,eligible,operating_ratio_pct
brokenhill,2015,2016,2017,eligible,operating_ratio_pct
brokenhill,2016,2017,2018,eligible,operating_ratio_pct
brokenhill,2017,2018,2019,eligible,operating_ratio_pct
brokenhill,2018,2019,2020,eligible,operating_ratio_pct
brokenhill,2019,2020,2021,eligible,operating_ratio_pct
brokenhill,2020,2021,2022,eligible,operating_ratio_pct
brokenhill,2021,2022,2023,eligible,operating_ratio_pct
brokenhill,2022,2023,2024,missing_target,operating_ratio_pct
brokenhill,2023,2024,2025,no_exact_target_year,operating_ratio_pct
burwood,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
burwood,2012,2013,2014,eligible,operating_ratio_pct
burwood,2013,2014,2015,eligible,operating_ratio_pct
burwood,2014,2015,2016,eligible,operating_ratio_pct
burwood,2015,2016,2017,eligible,operating_ratio_pct
burwood,2016,2017,2018,eligible,operating_ratio_pct
burwood,2017,2018,2019,eligible,operating_ratio_pct
burwood,2018,2019,2020,eligible,operating_ratio_pct
burwood,2019,2020,2021,eligible,operating_ratio_pct
burwood,2020,2021,2022,eligible,operating_ratio_pct
burwood,2021,2022,2023,eligible,operating_ratio_pct
burwood,2022,2023,2024,missing_target,operating_ratio_pct
burwood,2023,2024,2025,no_exact_target_year,operating_ratio_pct
byron,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
byron,2012,2013,2014,eligible,operating_ratio_pct
byron,2013,2014,2015,eligible,operating_ratio_pct
byron,2014,2015,2016,eligible,operating_ratio_pct
byron,2015,2016,2017,eligible,operating_ratio_pct
byron,2016,2017,2018,eligible,operating_ratio_pct
byron,2017,2018,2019,eligible,operating_ratio_pct
byron,2018,2019,2020,eligible,operating_ratio_pct
byron,2019,2020,2021,eligible,operating_ratio_pct
byron,2020,2021,2022,eligible,operating_ratio_pct
byron,2021,2022,2023,eligible,operating_ratio_pct
byron,2022,2023,2024,missing_target,operating_ratio_pct
byron,2023,2024,2025,no_exact_target_year,operating_ratio_pct
cabonne,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
cabonne,2012,2013,2014,eligible,operating_ratio_pct
cabonne,2013,2014,2015,eligible,operating_ratio_pct
cabonne,2014,2015,2016,eligible,operating_ratio_pct
cabonne,2015,2016,2017,eligible,operating_ratio_pct
cabonne,2016,2017,2018,eligible,operating_ratio_pct
cabonne,2017,2018,2019,eligible,operating_ratio_pct
cabonne,2018,2019,2020,eligible,operating_ratio_pct
cabonne,2019,2020,2021,eligible,operating_ratio_pct
cabonne,2020,2021,2022,eligible,operating_ratio_pct
cabonne,2021,2022,2023,eligible,operating_ratio_pct
cabonne,2022,2023,2024,missing_target,operating_ratio_pct
cabonne,2023,2024,2025,no_exact_target_year,operating_ratio_pct
camden,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
camden,2012,2013,2014,eligible,operating_ratio_pct
camden,2013,2014,2015,eligible,operating_ratio_pct
camden,2014,2015,2016,eligible,operating_ratio_pct
camden,2015,2016,2017,eligible,operating_ratio_pct
camden,2016,2017,2018,eligible,operating_ratio_pct
camden,2017,2018,2019,eligible,operating_ratio_pct
camden,2018,2019,2020,eligible,operating_ratio_pct
camden,2019,2020,2021,eligible,operating_ratio_pct
camden,2020,2021,2022,eligible,operating_ratio_pct
camden,2021,2022,2023,eligible,operating_ratio_pct
camden,2022,2023,2024,missing_target,operating_ratio_pct
camden,2023,2024,2025,no_exact_target_year,operating_ratio_pct
campbelltown,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
campbelltown,2012,2013,2014,eligible,operating_ratio_pct
campbelltown,2013,2014,2015,eligible,operating_ratio_pct
campbelltown,2014,2015,2016,eligible,operating_ratio_pct
campbelltown,2015,2016,2017,eligible,operating_ratio_pct
campbelltown,2016,2017,2018,eligible,operating_ratio_pct
campbelltown,2017,2018,2019,eligible,operating_ratio_pct
campbelltown,2018,2019,2020,eligible,operating_ratio_pct
campbelltown,2019,2020,2021,eligible,operating_ratio_pct
campbelltown,2020,2021,2022,eligible,operating_ratio_pct
campbelltown,2021,2022,2023,eligible,operating_ratio_pct
campbelltown,2022,2023,2024,missing_target,operating_ratio_pct
campbelltown,2023,2024,2025,no_exact_target_year,operating_ratio_pct
canadabay,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
canadabay,2012,2013,2014,eligible,operating_ratio_pct
canadabay,2013,2014,2015,eligible,operating_ratio_pct
canadabay,2014,2015,2016,eligible,operating_ratio_pct
canadabay,2015,2016,2017,eligible,operating_ratio_pct
canadabay,2016,2017,2018,eligible,operating_ratio_pct
canadabay,2017,2018,2019,eligible,operating_ratio_pct
canadabay,2018,2019,2020,eligible,operating_ratio_pct
canadabay,2019,2020,2021,eligible,operating_ratio_pct
canadabay,2020,2021,2022,eligible,operating_ratio_pct
canadabay,2021,2022,2023,eligible,operating_ratio_pct
canadabay,2022,2023,2024,missing_target,operating_ratio_pct
canadabay,2023,2024,2025,no_exact_target_year,operating_ratio_pct
carrathool,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
carrathool,2012,2013,2014,eligible,operating_ratio_pct
carrathool,2013,2014,2015,eligible,operating_ratio_pct
carrathool,2014,2015,2016,eligible,operating_ratio_pct
carrathool,2015,2016,2017,eligible,operating_ratio_pct
carrathool,2016,2017,2018,eligible,operating_ratio_pct
carrathool,2017,2018,2019,eligible,operating_ratio_pct
carrathool,2018,2019,2020,eligible,operating_ratio_pct
carrathool,2019,2020,2021,eligible,operating_ratio_pct
carrathool,2020,2021,2022,eligible,operating_ratio_pct
carrathool,2021,2022,2023,eligible,operating_ratio_pct
carrathool,2022,2023,2024,missing_target,operating_ratio_pct
carrathool,2023,2024,2025,no_exact_target_year,operating_ratio_pct
centraldarling,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
centraldarling,2012,2013,2014,eligible,operating_ratio_pct
centraldarling,2013,2014,2015,eligible,operating_ratio_pct
centraldarling,2014,2015,2016,eligible,operating_ratio_pct
centraldarling,2015,2016,2017,eligible,operating_ratio_pct
centraldarling,2016,2017,2018,eligible,operating_ratio_pct
centraldarling,2017,2018,2019,eligible,operating_ratio_pct
centraldarling,2018,2019,2020,eligible,operating_ratio_pct
centraldarling,2019,2020,2021,eligible,operating_ratio_pct
centraldarling,2020,2021,2022,eligible,operating_ratio_pct
centraldarling,2021,2022,2023,eligible,operating_ratio_pct
centraldarling,2022,2023,2024,missing_target,operating_ratio_pct
centraldarling,2023,2024,2025,no_exact_target_year,operating_ratio_pct
cessnock,2011,2012,2013,no_exact_prior_year,operating_ratio_pct
cessnock,2012,2013,2014,eligible,operating_ratio_pct
cessnock,2013,2014,2015,eligible,operating_ratio_pct
