target,history,test_year,model,augmented,reference,n,MAE_improvement,RMSE_improvement,R2_improvement
cash_cover_months,long,2017,ridge,fiscal_plus_fire,fiscal_only,102,-0.021913474832498725,-0.017989231923474236,-0.003969496895219082
cash_cover_months,long,2017,ridge,fiscal_plus_disaster,fiscal_only,102,-0.16473507414179256,-0.057262398366913825,-0.0127064538796835
cash_cover_months,long,2017,ridge,fiscal_plus_disaster,fiscal_plus_fire,102,-0.14282159930929383,-0.03927316644343959,-0.008736956984464417
cash_cover_months,long,2017,tree,fiscal_plus_fire,fiscal_only,102,4.440892098500626e-16,0.0,0.0
cash_cover_months,long,2017,tree,fiscal_plus_disaster,fiscal_only,102,-8.881784197001252e-16,-8.881784197001252e-16,-1.1102230246251565e-16
cash_cover_months,long,2017,tree,fiscal_plus_disaster,fiscal_plus_fire,102,-1.3322676295501878e-15,-8.881784197001252e-16,-1.1102230246251565e-16
cash_cover_months,long,2018,ridge,fiscal_plus_fire,fiscal_only,103,0.03558297200734106,0.03608033406650968,0.007975003932173763
cash_cover_months,long,2018,ridge,fiscal_plus_disaster,fiscal_only,103,0.225730241891966,0.21050587134709975,0.04556174215794817
cash_cover_months,long,2018,ridge,fiscal_plus_disaster,fiscal_plus_fire,103,0.19014726988462494,0.17442553728059007,0.03758673822577441
cash_cover_months,long,2018,tree,fiscal_plus_fire,fiscal_only,103,0.0,8.881784197001252e-16,2.220446049250313e-16
cash_cover_months,long,2018,tree,fiscal_plus_disaster,fiscal_only,103,0.0,8.881784197001252e-16,2.220446049250313e-16
cash_cover_months,long,2018,tree,fiscal_plus_disaster,fiscal_plus_fire,103,0.0,0.0,0.0
cash_cover_months,long,2019,ridge,fiscal_plus_fire,fiscal_only,102,-0.0031280920204723728,-0.0025879490565685614,-0.00047427104939878895
cash_cover_months,long,2019,ridge,fiscal_plus_disaster,fiscal_only,102,0.02151515956575345,0.02216159493351011,0.004050024620030124
cash_cover_months,long,2019,ridge,fiscal_plus_disaster,fiscal_plus_fire,102,0.024643251586225823,0.02474954399007867,0.004524295669428913
cash_cover_months,long,2019,tree,fiscal_plus_fire,fiscal_only,102,0.0,0.0,-2.220446049250313e-16
cash_cover_months,long,2019,tree,fiscal_plus_disaster,fiscal_only,102,0.0,0.0,-2.220446049250313e-16
cash_cover_months,long,2019,tree,fiscal_plus_disaster,fiscal_plus_fire,102,0.0,0.0,0.0
cash_cover_months,long,2020,ridge,fiscal_plus_fire,fiscal_only,102,-0.009589991188332814,-0.005807877645219506,-0.0011866145084556967
cash_cover_months,long,2020,ridge,fiscal_plus_disaster,fiscal_only,102,-1.1745980628097712,-1.1719211266062741,-0.2690423898211357
cash_cover_months,long,2020,ridge,fiscal_plus_disaster,fiscal_plus_fire,102,-1.1650080716214384,-1.1661132489610546,-0.26785577531268
cash_cover_months,long,2020,tree,fiscal_plus_fire,fiscal_only,102,4.440892098500626e-16,-8.881784197001252e-16,-1.1102230246251565e-16
cash_cover_months,long,2020,tree,fiscal_plus_disaster,fiscal_only,102,0.0,0.0,-1.1102230246251565e-16
cash_cover_months,long,2020,tree,fiscal_plus_disaster,fiscal_plus_fire,102,-4.440892098500626e-16,8.881784197001252e-16,0.0
cash_cover_months,long,2021,ridge,fiscal_plus_fire,fiscal_only,103,0.020269200990739478,0.013157352909514586,0.0022893875483296355
cash_cover_months,long,2021,ridge,fiscal_plus_disaster,fiscal_only,103,0.12040309493480583,0.10206359119364183,0.017611797838606003
cash_cover_months,long,2021,ridge,fiscal_plus_disaster,fiscal_plus_fire,103,0.10013389394406635,0.08890623828412725,0.015322410290276367
cash_cover_months,long,2021,tree,fiscal_plus_fire,fiscal_only,103,-8.881784197001252e-16,0.0,-1.1102230246251565e-16
cash_cover_months,long,2021,tree,fiscal_plus_disaster,fiscal_only,103,0.0,0.0,-1.1102230246251565e-16
cash_cover_months,long,2021,tree,fiscal_plus_disaster,fiscal_plus_fire,103,8.881784197001252e-16,0.0,0.0
cash_cover_months,long,2022,ridge,fiscal_plus_fire,fiscal_only,101,0.007388403337636795,0.007244859604457865,0.0012708651903761137
cash_cover_months,long,2022,ridge,fiscal_plus_disaster,fiscal_only,101,0.07473547359902044,0.0631093466711743,0.011005649488775804
cash_cover_months,long,2022,ridge,fiscal_plus_disaster,fiscal_plus_fire,101,0.06734707026138365,0.05586448706671643,0.00973478429839969
cash_cover_months,long,2022,tree,fiscal_plus_fire,fiscal_only,101,0.0,8.881784197001252e-16,1.1102230246251565e-16
cash_cover_months,long,2022,tree,fiscal_plus_disaster,fiscal_only,101,-8.881784197001252e-16,0.0,-1.1102230246251565e-16
cash_cover_months,long,2022,tree,fiscal_plus_disaster,fiscal_plus_fire,101,-8.881784197001252e-16,-8.881784197001252e-16,-2.220446049250313e-16
cash_cover_months,long,2023,ridge,fiscal_plus_fire,fiscal_only,103,-0.00566692218565823,0.0008993621182620259,0.00016242795240462016
cash_cover_months,long,2023,ridge,fiscal_plus_disaster,fiscal_only,103,-0.009502206007802716,0.010954677312965622,0.0019764250746623357
