target,history,test_year,test_fy,spec,model,n,train_n,ridge_alpha,MAE,RMSE,R2
operating_ratio_pct,long,2016,2016-17,baseline,persistence,102,102,,10.498235294117647,13.159990464267361,-1.3936961847670544
operating_ratio_pct,long,2016,2016-17,baseline,training_mean,102,102,,10.990715109573241,13.131672164687576,-1.3834055278093311
operating_ratio_pct,long,2016,2016-17,fiscal_only,ridge,102,102,10.0,8.766113940105695,11.091521153110538,-0.7003569544675916
operating_ratio_pct,long,2016,2016-17,fiscal_only,tree,102,102,,9.430817241037829,11.936753332038354,-0.9693836012821957
operating_ratio_pct,long,2016,2016-17,fiscal_plus_fire,ridge,102,102,10.0,8.59757828588652,10.908394205252026,-0.644672862059775
operating_ratio_pct,long,2016,2016-17,fiscal_plus_fire,tree,102,102,,9.430817241037829,11.936753332038354,-0.9693836012821957
operating_ratio_pct,long,2016,2016-17,fiscal_plus_disaster,ridge,102,102,10.0,8.101487618765796,10.449469010983123,-0.5091983549423147
operating_ratio_pct,long,2016,2016-17,fiscal_plus_disaster,tree,102,102,,9.430817241037829,11.936753332038354,-0.9693836012821953
operating_ratio_pct,long,2017,2017-18,baseline,persistence,102,205,,5.7164705882352935,8.209994506936138,0.11042985227030433
operating_ratio_pct,long,2017,2017-18,baseline,training_mean,102,205,,6.448098995695839,8.81818011976554,-0.026248175967293008
operating_ratio_pct,long,2017,2017-18,fiscal_only,ridge,102,205,10.0,6.666126908436551,9.63387864366637,-0.22488921248423344
operating_ratio_pct,long,2017,2017-18,fiscal_only,tree,102,205,,6.921641087159501,9.953141682345278,-0.30741914389143976
operating_ratio_pct,long,2017,2017-18,fiscal_plus_fire,ridge,102,205,10.0,6.596683716872607,9.54772604608551,-0.2030796084838089
operating_ratio_pct,long,2017,2017-18,fiscal_plus_fire,tree,102,205,,6.921641087159501,9.95314168234528,-0.30741914389144
operating_ratio_pct,long,2017,2017-18,fiscal_plus_disaster,ridge,102,205,10.0,6.437321544405122,9.17405671942008,-0.11075252466656305
operating_ratio_pct,long,2017,2017-18,fiscal_plus_disaster,tree,102,205,,6.921641087159501,9.953141682345278,-0.30741914389143976
operating_ratio_pct,long,2018,2018-19,baseline,persistence,103,307,,9.352233009708737,11.970083339126385,-0.5888280359057765
operating_ratio_pct,long,2018,2018-19,baseline,training_mean,103,307,,6.432486954871765,9.869752278586938,-0.08017731236689096
operating_ratio_pct,long,2018,2018-19,fiscal_only,ridge,103,307,0.1,12.261756290828071,14.57592936124997,-1.3558902579721135
operating_ratio_pct,long,2018,2018-19,fiscal_only,tree,103,307,,10.550937058335492,13.564594567550072,-1.040310110863159
operating_ratio_pct,long,2018,2018-19,fiscal_plus_fire,ridge,103,307,0.1,12.09297516137912,14.418212085949111,-1.3051827736134687
