council_key,year_start,field,value,value_status,unit,source_document,source_url,source_year,source_table,original_file,original_sheet,original_excel_row,raw_value_in_v2,raw_value_stage,scope_note
eurobodalla,2016,actual_maintenance_aud,15306000.0,observed,AUD,/Users/ray/Research/AUSSEF/Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2016-17.xls,2016,V2 CSV; council_key/year_start join; column actual_maintenance_aud,time-series-data-2016-17.xls,2016-17 DATA,43,15306000.0,"harmonised V2 value, not a new raw workbook transcription",council-estimated aggregate; not routine budget
eurobodalla,2016,required_maintenance_aud,15306000.0,observed,AUD,/Users/ray/Research/AUSSEF/Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2016-17.xls,2016,V2 CSV; council_key/year_start join; column required_maintenance_aud,time-series-data-2016-17.xls,2016-17 DATA,43,15306000.0,"harmonised V2 value, not a new raw workbook transcription",council-estimated aggregate; not routine budget
eurobodalla,2016,maintenance_ratio_pct,100.0,observed,percentage points,/Users/ray/Research/AUSSEF/Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2016-17.xls,2016,V2 CSV; council_key/year_start join; column maintenance_ratio_pct,time-series-data-2016-17.xls,2016-17 DATA,43,100.0,"harmonised V2 value, not a new raw workbook transcription",council-estimated aggregate; not routine budget
eurobodalla,2016,pre_cash_cover_months,14.07,observed,months,/Users/ray/Research/AUSSEF/Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2018-2019.xlsx,2018,V2 CSV; council_key/year_start join; column cash_cover_months,time-series-data-2018-2019.xlsx,2018_19_Councils,43,14.07,"harmonised V2 value, not a new raw workbook transcription",prior economic state; no post-disaster controls
eurobodalla,2016,pre_operating_ratio_pct,3.43,observed,percentage points,/Users/ray/Research/AUSSEF/Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2018-2019.xlsx,2018,V2 CSV; council_key/year_start join; column operating_ratio_pct,time-series-data-2018-2019.xlsx,2018_19_Councils,43,3.43,"harmonised V2 value, not a new raw workbook transcription",prior economic state; no post-disaster controls
eurobodalla,2016,pre_current_ratio,1.96,observed,multiple,/Users/ray/Research/AUSSEF/Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2018-2019.xlsx,2018,V2 CSV; council_key/year_start join; column current_ratio,time-series-data-2018-2019.xlsx,2018_19_Councils,43,1.96,"harmonised V2 value, not a new raw workbook transcription",prior economic state; no post-disaster controls
eurobodalla,2016,pre_own_source_pct,68.91,observed,percentage points,/Users/ray/Research/AUSSEF/Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2018-2019.xlsx,2018,V2 CSV; council_key/year_start join; column own_source_pct,time-series-data-2018-2019.xlsx,2018_19_Councils,43,68.91,"harmonised V2 value, not a new raw workbook transcription",prior economic state; no post-disaster controls
eurobodalla,2016,pre_debt_service_cover,3.37,observed,multiple,/Users/ray/Research/AUSSEF/Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2018-2019.xlsx,2018,V2 CSV; council_key/year_start join; column debt_service_cover,time-series-data-2018-2019.xlsx,2018_19_Councils,43,3.37,"harmonised V2 value, not a new raw workbook transcription",prior economic state; no post-disaster controls
eurobodalla,2016,pre_population,38288.0,observed,persons,/Users/ray/Research/AUSSEF/Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2018-2019.xlsx,2018,V2 CSV; council_key/year_start join; column population,time-series-data-2018-2019.xlsx,2018_19_Councils,43,38288.0,"harmonised V2 value, not a new raw workbook transcription",prior economic state; no post-disaster controls
eurobodalla,2016,pre_road_km,1014.498,observed,km,/Users/ray/Research/AUSSEF/Experiment 2/data/fiscal_panel_v2/NSW_Fiscal_Panel_V2_candidate.csv,https://www.olg.nsw.gov.au/sites/default/files/2026-02/time-series-data-2018-2019.xlsx,2018,V2 CSV; council_key/year_start join; column road_km,time-series-data-2018-2019.xlsx,2018_19_Councils,43,1014.498,"harmonised V2 value, not a new raw workbook transcription",prior economic state; no post-disaster controls
