treated_council_key,event_year,candidate_council_key,pre_only_distance,distance_features,feature_count,same_prior_classification,screen_status,event_declared,event_burned_ha,event_fire_status,event_physical_flood_status,post_window_any_declared,post_window_coverage_years,region_status,primary_outcome_comparable,causal_control_eligible,candidate_pre_classification,treated_pre_classification,candidate_pre_prior_year,treated_pre_prior_year,candidate_pre_pre_maintenance_years,treated_pre_pre_maintenance_years,candidate_pre_maintenance_level_log,treated_pre_maintenance_level_log,candidate_pre_maintenance_trend_log_per_year,treated_pre_maintenance_trend_log_per_year,candidate_pre_cash_cover_months,treated_pre_cash_cover_months,candidate_pre_operating_ratio_pct,treated_pre_operating_ratio_pct,candidate_pre_current_ratio,treated_pre_current_ratio,candidate_pre_own_source_pct,treated_pre_own_source_pct,candidate_pre_debt_service_cover,treated_pre_debt_service_cover,candidate_pre_population_log,treated_pre_population_log,candidate_pre_road_km_log,treated_pre_road_km_log,candidate_pre_prior_burn_log,treated_pre_prior_burn_log,candidate_pre_prior_declared_years,treated_pre_prior_declared_years,candidate_rank,selected_for_document_review
eurobodalla,2019,albury,0.7450465890281208,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,True,exclude_documented_concurrent_exposure,0.0,21.76,mapped_burn_positive,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Regional Town/City,Regional Town/City,2018,2018,3,3,17.205040168483286,17.082528756278414,0.02255710383750298,0.26938661229627847,1.22,14.07,13.69,3.43,2.41,1.96,70.83,68.91,7.58,3.37,10.892433773649802,10.5529179276508,6.381883697010875,6.923134411545334,0.0,7.506075418357103,1.0,,,False
eurobodalla,2019,ballina,0.5142558431797096,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,True,exclude_documented_concurrent_exposure,1.0,924.35,mapped_burn_positive,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Regional Town/City,Regional Town/City,2018,2018,3,3,15.717170372212767,17.082528756278414,0.03286191161171104,0.26938661229627847,12.69,14.07,6.96,3.43,3.21,1.96,63.72,68.91,2.69,3.37,10.696683667247571,10.5529179276508,6.55142042006508,6.923134411545334,6.711154471745895,7.506075418357103,3.0,,,False
eurobodalla,2019,balranald,0.9630247244581451,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,False,exclude_scale_class_mismatch,0.0,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Rural,Regional Town/City,2018,2018,3,3,14.823103813341898,17.082528756278414,0.10033530716478634,0.26938661229627847,11.94,14.07,-3.35,3.43,3.78,1.96,35.07,68.91,11.45,3.37,7.75833346749091,10.5529179276508,7.37401440632289,6.923134411545334,5.598414951960839,7.506075418357103,1.0,,,False
eurobodalla,2019,bathurst,0.6152444408510213,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,True,exclude_documented_concurrent_exposure,1.0,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Regional Town/City,Regional Town/City,2018,2018,3,3,17.170664036029034,17.082528756278414,0.008075332261704204,0.26938661229627847,8.9,14.07,-15.36,3.43,0.87,1.96,68.29,68.91,2.17,3.37,10.673757798142656,10.5529179276508,7.212766333555693,6.923134411545334,6.4776405601005544,7.506075418357103,3.0,,,False
eurobodalla,2019,begavalley,0.5511489124104069,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,True,exclude_documented_concurrent_exposure,1.0,339459.06,mapped_burn_positive,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Regional Town/City,Regional Town/City,2018,2018,3,3,17.12367852689437,17.082528756278414,-0.01035481015936135,0.26938661229627847,12.2,14.07,-9.9,3.43,0.6,1.96,66.8,68.91,2.8,3.37,10.444328185145217,10.5529179276508,7.252408247693544,6.923134411545334,9.22982432104887,7.506075418357103,,,,False
eurobodalla,2019,bellingen,0.7181835413190447,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,False,exclude_documented_concurrent_exposure,1.0,17265.35,mapped_burn_positive,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Large Rural,Regional Town/City,2018,2018,3,3,15.182367480098616,17.082528756278414,0.14558589852293746,0.26938661229627847,3.19,14.07,-12.43,3.43,1.46,1.96,68.81,68.91,3.42,3.37,9.469931564261438,10.5529179276508,6.372414943467149,6.923134411545334,6.903160349781774,7.506075418357103,2.0,,,False
eurobodalla,2019,berrigan,1.3948793453599704,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,False,exclude_scale_class_mismatch,0.0,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Large Rural,Regional Town/City,2018,2018,3,3,15.529488829820004,17.082528756278414,0.05861010501343333,0.26938661229627847,29.33,14.07,8.65,3.43,6.79,1.96,59.29,68.91,35.08,3.37,9.071997422354437,10.5529179276508,7.240957890485727,6.923134411545334,0.0,7.506075418357103,2.0,,,False
eurobodalla,2019,blacktown,,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,False,exclude_documented_concurrent_exposure,1.0,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Metropolitan,Regional Town/City,2018,2018,3,3,18.05679415852485,17.082528756278414,0.05388319361879468,0.26938661229627847,19.12,14.07,-6.7,3.43,3.15,1.96,50.81,68.91,,3.37,12.811849293702819,10.5529179276508,7.2908997923732,6.923134411545334,0.0,7.506075418357103,,,,False
eurobodalla,2019,bland,2.5043225377226284,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,False,exclude_scale_class_mismatch,0.0,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Large Rural,Regional Town/City,2018,2018,3,3,15.505422039084127,17.082528756278414,0.0001845699200417883,0.26938661229627847,28.43,14.07,59.77,3.43,16.52,1.96,39.42,68.91,24.16,3.37,8.697178688412643,10.5529179276508,8.030025498800882,6.923134411545334,8.570532707437998,7.506075418357103,1.0,,,False
eurobodalla,2019,blayney,1.0330277847200475,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,False,exclude_documented_concurrent_exposure,1.0,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Large Rural,Regional Town/City,2018,2018,3,3,14.930980291460143,17.082528756278414,-0.11408915689738297,0.26938661229627847,13.1,14.07,-0.6,3.43,3.94,1.96,51.24,68.91,13.14,3.37,8.90150275745161,10.5529179276508,6.6039980236736815,6.923134411545334,0.0,7.506075418357103,1.0,,,False
eurobodalla,2019,bluemountains,0.6198710254133647,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,False,exclude_documented_concurrent_exposure,1.0,66869.52,mapped_burn_positive,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Metropolitan Fringe,Regional Town/City,2018,2018,3,3,16.973361723511704,17.082528756278414,0.00399122756237702,0.26938661229627847,3.13,14.07,-4.81,3.43,1.69,1.96,82.78,68.91,2.25,3.37,11.280501483369353,10.5529179276508,6.617964317720041,6.923134411545334,7.595155980110502,7.506075418357103,,,,False
eurobodalla,2019,bogan,1.4294511969232948,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,False,exclude_documented_concurrent_exposure,1.0,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Rural,Regional Town/City,2018,2018,3,3,15.332614078541903,17.082528756278414,-0.1418905107900894,0.26938661229627847,9.49,14.07,2.05,3.43,7.82,1.96,50.98,68.91,23.71,3.37,7.871692664323645,10.5529179276508,7.388717394088298,6.923134411545334,0.0,7.506075418357103,1.0,,,False
eurobodalla,2019,bourke,0.886884830010526,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,False,exclude_documented_concurrent_exposure,1.0,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Rural,Regional Town/City,2018,2018,3,3,15.450421461341167,17.082528756278414,0.14432866579042258,0.26938661229627847,17.65,14.07,2.63,3.43,4.32,1.96,24.94,68.91,6.4,3.37,7.875119281040293,10.5529179276508,7.805825012125971,6.923134411545334,7.937276665909252,7.506075418357103,,,,False
eurobodalla,2019,brewarrina,0.9617894944073051,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,False,exclude_documented_concurrent_exposure,1.0,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Rural,Regional Town/City,2018,2018,3,3,14.618409050511913,17.082528756278414,0.293087351941848,0.26938661229627847,9.13,14.07,6.36,3.43,3.87,1.96,40.3,68.91,15.22,3.37,7.412160334945205,10.5529179276508,7.347750629987124,6.923134411545334,0.0,7.506075418357103,1.0,,,False
eurobodalla,2019,brokenhill,0.9152149768780522,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,True,candidate_only_hazard_and_outcome_unverified,0.0,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Regional Town/City,Regional Town/City,2018,2018,3,3,15.713730088128626,17.082528756278414,0.0306636057585985,0.26938661229627847,8.49,14.07,-1.53,3.43,4.29,1.96,77.56,68.91,5.11,3.37,9.783295367207723,10.5529179276508,5.529270344753728,6.923134411545334,0.0,7.506075418357103,,,4.0,False
eurobodalla,2019,burwood,0.9517754143358328,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,False,exclude_documented_concurrent_exposure,1.0,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Metropolitan,Regional Town/City,2018,2018,3,3,15.788062777067404,17.082528756278414,0.10511069446077492,0.26938661229627847,10.47,14.07,3.38,3.43,4.67,1.96,77.79,68.91,10.16,3.37,10.593805735252527,10.5529179276508,4.4596818792394854,6.923134411545334,0.0,7.506075418357103,,,,False
eurobodalla,2019,byron,0.4299080522013622,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,True,exclude_documented_concurrent_exposure,1.0,2149.09,mapped_burn_positive,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Regional Town/City,Regional Town/City,2018,2018,3,3,16.874593193949757,17.082528756278414,0.32809986560963544,0.26938661229627847,11.02,14.07,-7.11,3.43,3.65,1.96,72.24,68.91,1.86,3.37,10.45088615653296,10.5529179276508,6.412410867129223,6.923134411545334,5.76027563419241,7.506075418357103,2.0,,,False
eurobodalla,2019,cabonne,1.34849912782346,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,False,exclude_documented_concurrent_exposure,1.0,8.94,mapped_burn_positive,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Large Rural,Regional Town/City,2018,2018,3,3,15.49912805427363,17.082528756278414,-0.10225617404650311,0.26938661229627847,19.76,14.07,-3.16,3.43,7.08,1.96,49.64,68.91,29.45,3.37,9.523763287920113,10.5529179276508,7.565933096579488,6.923134411545334,8.144316272901225,7.506075418357103,3.0,,,False
eurobodalla,2019,camden,0.7298228038558086,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,False,exclude_documented_concurrent_exposure,1.0,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Metropolitan Fringe,Regional Town/City,2018,2018,3,3,16.32884276293387,17.082528756278414,0.44965232055874793,0.26938661229627847,14.36,14.07,-13.55,3.43,2.38,1.96,41.39,68.91,2.32,3.37,11.452750741934159,10.5529179276508,6.570112357376584,6.923134411545334,0.0,7.506075418357103,,,,False
eurobodalla,2019,campbelltown,0.9193236873314558,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,False,exclude_documented_concurrent_exposure,1.0,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Metropolitan Fringe,Regional Town/City,2018,2018,3,3,16.096667805710613,17.082528756278414,-0.4133264869558655,0.26938661229627847,18.24,14.07,5.84,3.43,2.84,1.96,68.7,68.91,8.62,3.37,12.032552244689288,10.5529179276508,6.647762300791734,6.923134411545334,8.101662595824635,7.506075418357103,,,,False
eurobodalla,2019,canadabay,0.9656266252480548,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,False,exclude_documented_concurrent_exposure,1.0,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Metropolitan,Regional Town/City,2018,2018,3,3,16.532916920036342,17.082528756278414,0.08172004928999144,0.26938661229627847,11.43,14.07,4.02,3.43,3.39,1.96,82.01,68.91,27.03,3.37,11.463314964416893,10.5529179276508,5.3471075307174685,6.923134411545334,0.0,7.506075418357103,,,,False
eurobodalla,2019,carrathool,0.912933038925401,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,False,exclude_scale_class_mismatch,0.0,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,False,3,not_in_backbone; classification is not geography,False,False,Rural,Regional Town/City,2018,2018,3,3,15.49745534719701,17.082528756278414,0.20357026233025,0.26938661229627847,12.78,14.07,-8.52,3.43,3.3,1.96,35.03,68.91,12.12,3.37,7.938445551164788,10.5529179276508,7.867699193777695,6.923134411545334,5.3148253615469105,7.506075418357103,2.0,,,False
eurobodalla,2019,centraldarling,1.0261496595271995,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,False,exclude_documented_concurrent_exposure,1.0,0.0,verified_zero_mapped_burn_within_source_scope,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Rural,Regional Town/City,2018,2018,3,3,15.513508830427444,17.082528756278414,0.10120047616905392,0.26938661229627847,2.05,14.07,1.14,3.43,2.93,1.96,43.67,68.91,17.26,3.37,7.516433302915632,10.5529179276508,7.781898137747365,6.923134411545334,6.250575394550523,7.506075418357103,,,,False
eurobodalla,2019,cessnock,0.5273670075261586,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,True,exclude_documented_concurrent_exposure,1.0,61911.78,mapped_burn_positive,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Regional Town/City,Regional Town/City,2018,2018,3,3,16.295572239827138,17.082528756278414,0.016644790991866998,0.26938661229627847,7.01,14.07,-0.14,3.43,3.05,1.96,68.12,68.91,6.06,3.37,10.987020043769144,10.5529179276508,6.962215054771752,6.923134411545334,8.78696312337481,7.506075418357103,3.0,,,False
eurobodalla,2019,clarencevalley,0.5709860579599544,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,True,exclude_documented_concurrent_exposure,1.0,438159.67,mapped_burn_positive,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Regional Town/City,Regional Town/City,2018,2018,3,3,16.752288741710924,17.082528756278414,0.05544281511440552,0.26938661229627847,13.9,14.07,-1.14,3.43,4.42,1.96,72.32,68.91,3.37,3.37,10.852206751629621,10.5529179276508,7.802752913361046,6.923134411545334,11.581209219702355,7.506075418357103,3.0,,,False
eurobodalla,2019,coffsharbour,0.623323985154895,maintenance_level_log;maintenance_trend_log_per_year;cash_cover_months;operating_ratio_pct;current_ratio;own_source_pct;debt_service_cover;population_log;road_km_log;prior_burn_log,10,True,exclude_documented_concurrent_exposure,1.0,4797.71,mapped_burn_positive,unknown_no_complete_inundation_inventory,True,3,not_in_backbone; classification is not geography,False,False,Regional Town/City,Regional Town/City,2018,2018,3,3,16.515931799079205,17.082528756278414,0.045028650231095924,0.26938661229627847,9.88,14.07,5.37,3.43,6.11,1.96,77.63,68.91,2.7,3.37,11.245725527459099,10.5529179276508,6.787393922310954,6.923134411545334,8.103241357174705,7.506075418357103,,,,False
