council_key,council_name,year_start,financial_year,period_start,period_end,reporting_months,source_file,source_sheet,source_excel_row,actual_maintenance_aud,required_maintenance_aud,maintenance_ratio_pct,maintenance_conflict,maintenance_basis,fesm_burned_ha,fesm_status,fesm_source_file,fesm_asof_forecast_status,bushfire_declared,flood_declared,all_declared,bushfire_declaration_status,flood_declaration_status,all_agrns,declaration_inventory_status,declaration_source_files,physical_flood_status,verified_zero_all_disaster_exposure,index_event_year,event_group,role,relative_year,pre_cash_cover_months,pre_operating_ratio_pct,pre_current_ratio,pre_own_source_pct,pre_debt_service_cover,pre_debt_service_cover_requires_review,pre_population,pre_road_km,pre_actual_maintenance_aud,pre_maintenance_ratio_pct,pre_fiscal_year,pre_information_vintage,pre_fiscal_source_file,pre_fiscal_source_sheet,pre_fiscal_source_excel_row,low_pre_cash_cover,weak_pre_operating_position,planned_routine_maintenance_aud,actual_routine_maintenance_aud,planned_routine_status,actual_routine_status,disaster_reconstruction_expenditure_aud,disaster_reconstruction_status,maintenance_deviation,primary_outcome_eligible,primary_exclusion_reason,secondary_only,causal_eligible,routine_separation_status,price_basis,evidence_ids
eurobodalla,Eurobodalla,2016,2016-17,2016-07-01,2017-06-30,12,time-series-data-2016-17.xls,2016-17 DATA,43,15306000.0,15306000.0,100.0,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",616.1504642720117,observed_positive_mapped_burn_within_source_scope,fesm_2016_vector.zip,ineligible_retrospective_product_postdates_historical_targets,,,,unknown_incomplete_inventory_no_positive_record,unknown_incomplete_inventory_no_positive_record,,partial_reconstruction_RAA_annual_reports,raa_2016.pdf;raa_2017.pdf_checked_no_prior_FY_rows,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,treated,-3,14.07,3.43,1.96,68.91,3.37,False,38288,1014.498,26233000.0,100.0,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,43,0,0,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
eurobodalla,Eurobodalla,2017,2017-18,2017-07-01,2018-06-30,12,time-series-data-2017-2018.xls,2017-18 DATA (Final),43,24012000.0,24012000.0,100.0,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",585.11,mapped_burn_positive,fire-extent-severity-mapping-results-2017-18.xlsx,not_reaudited_in_this_extension,0.0,0.0,0.0,no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,treated,-2,14.07,3.43,1.96,68.91,3.37,False,38288,1014.498,26233000.0,100.0,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,43,0,0,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
eurobodalla,Eurobodalla,2018,2018-19,2018-07-01,2019-06-30,12,time-series-data-2018-2019.xlsx,2018_19_Councils,43,26233000.0,26233000.0,100.0,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",616.8,mapped_burn_positive,fire-extent-severity-mapping-results-2018-19.xlsx,not_reaudited_in_this_extension,1.0,0.0,1.0,listed_event_onset,no_listed_event_onset_not_physical_zero,820,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,treated,-1,14.07,3.43,1.96,68.91,3.37,False,38288,1014.498,26233000.0,100.0,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,43,0,0,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
eurobodalla,Eurobodalla,2019,2019-20,2019-07-01,2020-06-30,12,time-series-data-2019-2020.xlsx,Councils,43,25611000.0,25960000.0,98.65562403697996,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",262886.05,mapped_burn_positive,fire-extent-severity-mapping-results-2019-20.xlsx,not_reaudited_in_this_extension,1.0,1.0,1.0,listed_event_onset,listed_event_onset,871|898,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,treated,0,14.07,3.43,1.96,68.91,3.37,False,38288,1014.498,26233000.0,100.0,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,43,0,0,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",E032;E033;E034;E035
eurobodalla,Eurobodalla,2020,2020-21,2020-07-01,2021-06-30,12,time-series-data-2020-2021.xlsx,Councils,43,26301000.0,27110000.0,97.01586130579122,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,verified_zero_mapped_burn_within_source_scope,fire-extent-severity-mapping-results-2020-21.xlsx,not_reaudited_in_this_extension,0.0,1.0,1.0,no_listed_event_onset_not_physical_zero,listed_event_onset,922|923|936|959|960|970,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,treated,1,14.07,3.43,1.96,68.91,3.37,False,38288,1014.498,26233000.0,100.0,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,43,0,0,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
eurobodalla,Eurobodalla,2021,2021-22,2021-07-01,2022-06-30,12,time-series-data-2021-22.xlsx,Councils,43,26746000.0,27714000.0,96.50718048639676,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,verified_zero_mapped_burn_within_source_scope,fire-extent-severity-mapping-results-2021-22.xlsx,not_reaudited_in_this_extension,0.0,1.0,1.0,no_listed_event_onset_not_physical_zero,listed_event_onset,987|1012,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,treated,2,14.07,3.43,1.96,68.91,3.37,False,38288,1014.498,26233000.0,100.0,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,43,0,0,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
griffith,Griffith,2016,2016-17,2016-07-01,2017-06-30,12,time-series-data-2016-17.xls,2016-17 DATA,52,7006000.0,7006000.0,100.0,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",202.44558386750816,observed_positive_mapped_burn_within_source_scope,fesm_2016_vector.zip,ineligible_retrospective_product_postdates_historical_targets,,1.0,1.0,unknown_incomplete_inventory_no_positive_record,observed_positive_partial_inventory_count_lower_bound,,partial_reconstruction_RAA_annual_reports,raa_2016.pdf;raa_2017.pdf_checked_no_prior_FY_rows,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,candidate_comparison,-3,11.41,6.3,2.41,76.44,7.32,False,26882,1289.74,7465000.0,106.55152726234655,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,52,0,0,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
griffith,Griffith,2017,2017-18,2017-07-01,2018-06-30,12,time-series-data-2017-2018.xls,2017-18 DATA (Final),52,7058000.0,7058000.0,100.0,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,verified_zero_mapped_burn_within_source_scope,fire-extent-severity-mapping-results-2017-18.xlsx,not_reaudited_in_this_extension,0.0,0.0,0.0,no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,candidate_comparison,-2,11.41,6.3,2.41,76.44,7.32,False,26882,1289.74,7465000.0,106.55152726234655,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,52,0,0,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
griffith,Griffith,2018,2018-19,2018-07-01,2019-06-30,12,time-series-data-2018-2019.xlsx,2018_19_Councils,52,7465000.0,7006000.0,106.55152726234655,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,verified_zero_mapped_burn_within_source_scope,fire-extent-severity-mapping-results-2018-19.xlsx,not_reaudited_in_this_extension,0.0,0.0,0.0,no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,candidate_comparison,-1,11.41,6.3,2.41,76.44,7.32,False,26882,1289.74,7465000.0,106.55152726234655,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,52,0,0,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",
griffith,Griffith,2019,2019-20,2019-07-01,2020-06-30,12,time-series-data-2019-2020.xlsx,Councils,52,7191000.0,7156000.0,100.48910005589715,False,"Council-estimated requirement; early special schedules unaudited, not a harmonised engineering need",0.0,verified_zero_mapped_burn_within_source_scope,fire-extent-severity-mapping-results-2019-20.xlsx,not_reaudited_in_this_extension,0.0,0.0,0.0,no_listed_event_onset_not_physical_zero,no_listed_event_onset_not_physical_zero,,original_inventory_status_retained_not_recertified,NSW Data Panel.csv; underlying V1 evidence,unknown_no_complete_inundation_inventory,False,2019,black_summer_2019_20,candidate_comparison,0,11.41,6.3,2.41,76.44,7.32,False,26882,1289.74,7465000.0,106.55152726234655,2018,prior-period economic values; historical publication availability not certified,time-series-data-2018-2019.xlsx,2018_19_Councils,52,0,0,,,missing_no_complete_certified_scope,missing_no_separated_matching_actual,,unknown_no_pure_actual_reconstruction_total,,False,"No same-year, same-scope pre-disaster routine plan and separated actual pair; component candidates retained in evidence ledger",True,False,unknown,"nominal AUD; aggregate trend is a diagnostic, not a real expenditure effect",E037
