treated_council_key,candidate_council_key,index_event_year,year_start,relative_year,treated_aggregate_actual_aud,candidate_aggregate_actual_aud,treated_adequacy_pct,candidate_adequacy_pct,treated_index,candidate_index,index_gap,treated_prior_declared,candidate_prior_declared,aggregate_quality_pass,routine_pretrend_available,parallel_trends_established,verdict
eurobodalla,griffith,2019,2016,-3,15306000.0,7006000.0,100.0,100.0,100.0,100.0,0.0,,1.0,True,False,False,NO-GO: only aggregate trajectories; routine definitions unavailable; no statistical pretrend test
eurobodalla,griffith,2019,2017,-2,24012000.0,7058000.0,100.0,100.0,156.8796550372403,100.74222095346846,56.137434083771836,0.0,0.0,True,False,False,NO-GO: only aggregate trajectories; routine definitions unavailable; no statistical pretrend test
eurobodalla,griffith,2019,2018,-1,26233000.0,7465000.0,100.0,106.55152726234655,171.39030445576898,106.55152726234655,64.83877719342243,1.0,0.0,True,False,False,NO-GO: only aggregate trajectories; routine definitions unavailable; no statistical pretrend test
eurobodalla,kiama,2019,2016,-3,15306000.0,4144000.0,100.0,95.8593569280592,100.0,100.0,0.0,,,True,False,False,NO-GO: only aggregate trajectories; routine definitions unavailable; no statistical pretrend test
eurobodalla,kiama,2019,2017,-2,24012000.0,4730000.0,100.0,94.24188085275952,156.8796550372403,114.14092664092664,42.73872839631366,0.0,0.0,True,False,False,NO-GO: only aggregate trajectories; routine definitions unavailable; no statistical pretrend test
eurobodalla,kiama,2019,2018,-1,26233000.0,5535000.0,100.0,107.24665762449138,171.39030445576898,133.5666023166023,37.82370213916667,1.0,0.0,True,False,False,NO-GO: only aggregate trajectories; routine definitions unavailable; no statistical pretrend test
lismore,waggawagga,2021,2018,-3,10739000.0,15293000.0,93.17195904910636,62.877230490913576,100.0,100.0,0.0,1.0,0.0,True,False,False,NO-GO: only aggregate trajectories; routine definitions unavailable; no statistical pretrend test
lismore,waggawagga,2021,2019,-2,10713000.0,16477000.0,91.29878984148628,67.74803667612352,99.75789179625663,107.74210423069378,-7.984212434437154,1.0,1.0,True,False,False,NO-GO: only aggregate trajectories; routine definitions unavailable; no statistical pretrend test
lismore,waggawagga,2021,2020,-1,10394000.0,15292000.0,86.09293464756067,62.87570412400806,96.78741037340535,99.99346106061597,-3.2060506872106203,1.0,0.0,True,False,False,NO-GO: only aggregate trajectories; routine definitions unavailable; no statistical pretrend test
richmondvalley,waggawagga,2021,2018,-3,5191000.0,15293000.0,107.09717350938725,62.877230490913576,100.0,100.0,0.0,1.0,0.0,True,False,False,NO-GO: only aggregate trajectories; routine definitions unavailable; no statistical pretrend test
richmondvalley,waggawagga,2021,2019,-2,5905000.0,16477000.0,111.79477470655056,67.74803667612352,113.75457522635331,107.74210423069378,6.012470995659527,1.0,1.0,True,False,False,NO-GO: only aggregate trajectories; routine definitions unavailable; no statistical pretrend test
richmondvalley,waggawagga,2021,2020,-1,6982000.0,15292000.0,129.63238024507984,62.87570412400806,134.50202273165092,99.99346106061597,34.508561671034954,1.0,0.0,True,False,False,NO-GO: only aggregate trajectories; routine definitions unavailable; no statistical pretrend test
