source_id,url,council_key,kind,retrieved_at_utc,http_status,resolved_url,last_modified_header,local_file,sha256,status,pages,publication_date_verified,http_last_modified_is_publication_date,review_channel
euro_ar2020,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0011/163001/E.ANNUAL-REPORT-2019-2020-FINAL.pdf,eurobodalla,annual report,2026-09-19T00:31:42.734371+00:00,403,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0011/163001/E.ANNUAL-REPORT-2019-2020-FINAL.pdf,,sources/euro_ar2020.html,1f9b9d45bebb9d7f94d71f0fea4404adbba1ec2bc383e1870613099926edd436,http_error,,unknown unless an evidence row supplies a document/adoption date,False,official PDF text indexed by web; direct download 403; no visual PDF verification
euro_reports,https://www.esc.nsw.gov.au/council/plans-and-reporting/performance-reporting,eurobodalla,document index,2026-09-19T00:31:42.734863+00:00,403,https://www.esc.nsw.gov.au/council/plans-and-reporting/performance-reporting,,sources/euro_reports.html,640c8c726fccec6ff05646a746dab766399192006fd5a671538b13081c532d7f,http_error,,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
lismore_reports,https://www.lismore.nsw.gov.au/Council/Corporate-information/Annual-and-financial-reports,lismore,document index,2026-09-19T00:31:42.734945+00:00,200,https://www.lismore.nsw.gov.au/Council/Corporate-information/Annual-and-financial-reports,,sources/lismore_reports.html,c95c97e88dd0eef8ba28c3267b06a8738627165de9523fa6cc75742cbfe07f2b,retrieved,,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
lismore_budgets,https://www.lismore.nsw.gov.au/Council/Corporate-information/Budget-Delivery-Program-and-Operational-Plan/Budgets,lismore,document index,2026-09-19T00:31:42.735031+00:00,200,https://www.lismore.nsw.gov.au/Council/Corporate-information/Reimagine-Lismore-Community-Strategic-Plan-2025%E2%80%932035/Budgets-and-financial-plans,,sources/lismore_budgets.html,804319e2526376a71e7e539b8dfe4088c675d4540df95e02a966090156f9c4e2,retrieved,,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
richmond_reports,https://richmondvalley.nsw.gov.au/council/governance/annual-reports/,richmondvalley,document index,2026-09-19T00:31:42.735118+00:00,200,https://richmondvalley.nsw.gov.au/council/governance/annual-reports/,,sources/richmond_reports.html,c5f9ebc49de84cee50141f640906f414e6045db94f573742d0134c1bac7b1880,retrieved,,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
richmond_budgets,https://richmondvalley.nsw.gov.au/council/governance/budgets-and-financial-reports/,richmondvalley,document index,2026-09-19T00:31:42.735186+00:00,200,https://richmondvalley.nsw.gov.au/council/governance/budgets-and-financial-reports/,,sources/richmond_budgets.html,ef9f6f86e81e7acc1d8dd73a470cf2a9f3b8a69a58fd34427f4f9d9b76044e04,retrieved,,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
richmond_recovery,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/05/Rebuilding-the-Richmond-Valley-2022-25-Recovery-Plan-May-2022_0.pdf,richmondvalley,post-disaster recovery plan,2026-09-19T00:31:43.153124+00:00,200,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/05/Rebuilding-the-Richmond-Valley-2022-25-Recovery-Plan-May-2022_0.pdf,"Wed, 12 Oct 2022 03:24:41 GMT",sources/richmond_recovery.pdf,8e13924da9de9c0367bcebb6b666fa6e15ed028ee454491873274c1ea3aeb98d,retrieved,26.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
lismore_damage,https://www.lismore.nsw.gov.au/Council/Latest-news-and-updates/Latest-news/Council-Releases-2022-Flood-Response-Report,lismore,official damage statement,2026-09-19T00:31:43.154075+00:00,200,https://www.lismore.nsw.gov.au/Council/Latest-news-and-updates/Latest-news/Council-Releases-2022-Flood-Response-Report,,sources/lismore_damage.html,765bdee7302cd3279cddb3e3c1ea2fa9ae3cb552a7d99a502a8b05e873188c10,retrieved,,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
lismore_agreement,https://www.lismore.nsw.gov.au/Council/Latest-news-and-updates/Latest-news/Lismore-Secures-Historic-Funding-Agreement-for-860-Million-Roads-and-Bridges-Rebuild,lismore,agreement announcement,2026-09-19T00:31:43.154899+00:00,200,https://www.lismore.nsw.gov.au/Council/Latest-news-and-updates/Latest-news/Lismore-Secures-Historic-Funding-Agreement-for-860-Million-Roads-and-Bridges-Rebuild,,sources/lismore_agreement.html,92303c699127ade8b181305e57bd697693e4815eb44dbabdbbdad43535a33697,retrieved,,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
ra_payments,https://www.nsw.gov.au/media-releases/new-agreements-deliver-296-million-of-road-repair-funding-just-three-months,statewide,aggregate payment announcement,2026-09-19T00:31:43.183771+00:00,200,https://www.nsw.gov.au/media-releases/new-agreements-deliver-296-million-of-road-repair-funding-just-three-months,"Sat, 19 Sep 2026 00:31:43 GMT",sources/ra_payments.html,ab5cdb6528fd268aa4fd7910591e9603a228b31e6242923eaa2ad5f50efa5048,retrieved,,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
lismore_ar2022,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/annual-report-2022.pdf,lismore,"Annual Report 2021/22 (PDF, 10MB)",2026-09-19T00:32:38.730023+00:00,200,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/6.-corporate-information/annual-report-2022.pdf,"Thu, 07 Nov 2024 15:44:23 GMT",sources/lismore_ar2022.pdf,48515622f508eb786660be06001bf60bac38196a49941c1080b182caea04cee5,retrieved,33.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
lismore_ar2021,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/annual-report-2021.pdf,lismore,"Annual Report 2020/21 (PDF, 13MB)",2026-09-19T00:32:38.730344+00:00,200,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/6.-corporate-information/annual-report-2021.pdf,"Thu, 07 Nov 2024 15:43:22 GMT",sources/lismore_ar2021.pdf,23b9a023eed4b26be0288239f19c56e9fa352adda5547a79aa8c25cf159b8d9c,retrieved,62.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
lismore_ar2020,https://www.lismore.nsw.gov.au/files/assets/public/v/1/5.-council/7.-about-council/6.-corporate-information/annual-report-2019-2020.pdf,lismore,"Annual Report 2019/20 (PDF, 10MB)",2026-09-19T00:32:38.730448+00:00,200,https://www.lismore.nsw.gov.au/files/assets/public/v/1/5.-council/6.-corporate-information/annual-report-2019-2020.pdf,"Thu, 07 Nov 2024 15:46:21 GMT",sources/lismore_ar2020.pdf,9016fb6eff005dba3ed2408b0629fab0eef2ad59750facba0b673be04feec5fb,retrieved,88.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
lismore_ar2019,https://www.lismore.nsw.gov.au/files/assets/public/v/1/5.-council/7.-about-council/6.-corporate-information/annual-report-2018-2019.pdf,lismore,"Annual Report 2018/19 (PDF, 2MB)",2026-09-19T00:32:38.730545+00:00,200,https://www.lismore.nsw.gov.au/files/assets/public/v/1/5.-council/6.-corporate-information/annual-report-2018-2019.pdf,"Thu, 07 Nov 2024 15:46:24 GMT",sources/lismore_ar2019.pdf,917a5c58902cb001142c770a5b1a8c9b02a49f95110eb79df9eea212bd5e9988,retrieved,56.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
lismore_fs2022,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/annual_financial_statements-2022.pdf,lismore,"Financial reports 2021/22 (PDF, 4MB)",2026-09-19T00:32:38.730643+00:00,200,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/6.-corporate-information/annual_financial_statements-2022.pdf,"Thu, 07 Nov 2024 15:49:21 GMT",sources/lismore_fs2022.pdf,fd04a9ffd9edefe49526d8811d0989451f9ca80d24bb5314260c10dceb6dfac1,retrieved,124.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
lismore_fs2024,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/annual_financial_statements-2024.pdf,lismore,"Financial reports 2023/24 (PDF, 6MB)",2026-09-19T00:32:38.730736+00:00,200,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/6.-corporate-information/annual_financial_statements-2024.pdf,"Thu, 07 Nov 2024 15:46:25 GMT",sources/lismore_fs2024.pdf,92035968e4ae9f5a1f1ee6f74b52cfdf14e0adb7d324addf6784b94a56634f19,retrieved,119.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
lismore_budget2023,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/2022-2023-budget-by-program.pdf,lismore,"2022-2023 Budget by Program (PDF, 4MB)",2026-09-19T00:32:42.741438+00:00,200,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/6.-corporate-information/2022-2023-budget-by-program.pdf,"Thu, 07 Nov 2024 15:45:22 GMT",sources/lismore_budget2023.pdf,6e938656f61479fd92742b67e1c41723a57d08541192dff7a68564b610f1f393,retrieved,38.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
lismore_budget2024,https://www.lismore.nsw.gov.au/files/assets/public/v/1/5.-council/7.-about-council/6.-corporate-information/2023-2024-budget-by-program.pdf,lismore,"2023-2024 Budget by Program (PDF, 3MB)",2026-09-19T00:32:44.669305+00:00,200,https://www.lismore.nsw.gov.au/files/assets/public/v/1/5.-council/6.-corporate-information/2023-2024-budget-by-program.pdf,"Thu, 07 Nov 2024 15:45:25 GMT",sources/lismore_budget2024.pdf,6ffaa58e37e8c729420f0ccbfea73e62dc1224caac1536ecd250c0b775f14f97,retrieved,57.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
richmond_ar2022,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Annual-Report-2021-2022-FINAL.pdf,richmondvalley,2021-2022 Richmond Valley Council Annual Report,2026-09-19T00:32:45.560095+00:00,200,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Annual-Report-2021-2022-FINAL.pdf,"Wed, 16 Nov 2022 00:12:51 GMT",sources/richmond_ar2022.pdf,13f3476d5a1fda53630fb314b541693d566b4aecf5568958e0743c41b1f7dce4,retrieved,74.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
richmond_ar2021,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/RVC-Annual-Report-2020-21-WEB-Final.pdf,richmondvalley,2020-2021 Richmond Valley Council Annual Report,2026-09-19T00:32:46.196231+00:00,200,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/RVC-Annual-Report-2020-21-WEB-Final.pdf,"Tue, 16 Nov 2021 22:00:19 GMT",sources/richmond_ar2021.pdf,e6fb7bf0da802d38f226c447b79e4254aed436219feb464e3ff07ac504c49118,retrieved,33.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
richmond_ar2020,https://richmondvalley.nsw.gov.au/wp-content/uploads/2020/11/RVC-Annual-Report-2019-2020-FINAL_WEB.pdf,richmondvalley,2019-2020 Richmond Valley Council Annual Report,2026-09-19T00:32:46.867679+00:00,200,https://richmondvalley.nsw.gov.au/wp-content/uploads/2020/11/RVC-Annual-Report-2019-2020-FINAL_WEB.pdf,"Wed, 18 Nov 2020 05:27:05 GMT",sources/richmond_ar2020.pdf,e99593a69ba01ff1a37c2855f8df422bf5f0e26287d110cebc84a420b2380b9b,retrieved,64.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
richmond_ar2019,https://richmondvalley.nsw.gov.au/wp-content/uploads/2019/11/RVC-Annual-Report-2019_FINAL.pdf,richmondvalley,2018-2019 Richmond Valley Council Annual Report,2026-09-19T00:32:49.598087+00:00,200,https://richmondvalley.nsw.gov.au/wp-content/uploads/2019/11/RVC-Annual-Report-2019_FINAL.pdf,"Mon, 25 Nov 2019 04:38:19 GMT",sources/richmond_ar2019.pdf,b8ae57212a3ea4fd93598ff2ee313135f302a4b03daf524cc3c1d9f5a8f74088,retrieved,65.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
richmond_plan2022,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/06/Operational-Plan-2021-2022-including-Financial-Estimates-2021-2025-Adopted-by-Council-22-June-2021-1.pdf,richmondvalley,2021/2022 Operational Plan (including Financial Estimates 2021/2025),2026-09-19T00:32:49.599206+00:00,200,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/06/Operational-Plan-2021-2022-including-Financial-Estimates-2021-2025-Adopted-by-Council-22-June-2021-1.pdf,"Mon, 05 Jul 2021 00:38:23 GMT",sources/richmond_plan2022.pdf,81c1649178465a2e7d328bc2d538c04b3b71584af800566972f93c6f6e57529f,retrieved,72.0,unknown unless an evidence row supplies a document/adoption date,False,cached official PDF or HTML
