source_csv_row,council_key,agrn,event_start,capacity_financial_year,capacity_period_end,lag_days,publication_before_event_verified,operating_ratio_pct,cash_cover_months,current_ratio,own_source_pct,grants_pct,debt_service_cover,debt_service_ratio_pct,population,road_km
2,albury,1001,2022-01-05,2020-21,2021-06-30,189,False,-2.57,20.95,2.05,72.7,27.301948154463073,2.97,9.486752182488113,55055,595.09
3,albury,1030,2022-08-04,2021-22,2022-06-30,35,False,-2.11,21.5467,3.156,73.29,26.71280603748627,5.4791,4.854469567140251,56036,601.52
4,albury,1034,2022-09-14,2021-22,2022-06-30,76,False,-2.11,21.5467,3.156,73.29,26.71280603748627,5.4791,4.854469567140251,56036,601.52
16,ballina,943,2020-12-10,2019-20,2020-06-30,163,False,3.39,9.99,2.59,69.59,30.409999999999997,2.59,12.3624923460231,44628,703.757
17,ballina,960,2021-03-10,2019-20,2020-06-30,253,False,3.39,9.99,2.59,69.59,30.409999999999997,2.59,12.3624923460231,44628,703.757
18,ballina,1012,2022-02-22,2020-21,2021-06-30,237,False,5.37,13.12,2.7,64.08,35.389745150668254,3.18,10.720426919656092,45217,714.8335
19,ballina,1198,2025-03-03,2023-24,2024-06-30,246,False,4.14,10.768,2.1097,69.37,30.43713826776472,2.5272,13.198372791396048,47935,718.901
20,balranald,987,2021-11-09,2020-21,2021-06-30,132,False,6.35,20.51,6.14,34.73,65.27494375555905,16.73,2.476017630282603,2306,1593.14
21,balranald,1034,2022-09-14,2021-22,2022-06-30,76,False,11.99,24.658,7.1456,35.46,64.53982985305491,24.3495,1.823223979230588,2207,1593.1
29,begavalley,923,2020-08-05,2019-20,2020-06-30,36,False,2.13,12.14,1.08,58.78,33.2,5.33,5.265264120740911,34476,1482.9
30,begavalley,936,2020-10-20,2019-20,2020-06-30,112,False,2.13,12.14,1.08,58.78,33.2,5.33,5.265264120740911,34476,1482.9
31,begavalley,960,2021-03-10,2019-20,2020-06-30,253,False,2.13,12.14,1.08,58.78,33.2,5.33,5.265264120740911,34476,1482.9
32,begavalley,970,2021-05-05,2019-20,2020-06-30,309,False,2.13,12.14,1.08,58.78,33.2,5.33,5.265264120740911,34476,1482.9
33,begavalley,987,2021-11-09,2020-21,2021-06-30,132,False,2.89,11.77,0.93,53.62,46.246664836286584,5.72,4.772271503676537,34727,1493.4900000000002
34,begavalley,1012,2022-02-22,2020-21,2021-06-30,237,False,2.89,11.77,0.93,53.62,46.246664836286584,5.72,4.772271503676537,34727,1493.4900000000002
35,begavalley,1034,2022-09-14,2021-22,2022-06-30,76,False,11.77,12.2588,2.1328,46.62,53.375452754279785,9.0052,3.5009331604086924,35761,1540.6000000000004
36,begavalley,1070,2023-10-03,2022-23,2023-06-30,95,False,6.3,2.4228,2.8096,49.93,50.073728913530736,6.5195,5.957135389440669,35988,1534.329
37,begavalley,1086,2023-11-28,2022-23,2023-06-30,151,False,6.3,2.4228,2.8096,49.93,50.073728913530736,6.5195,5.957135389440669,35988,1534.329
38,begavalley,1100,2023-12-25,2022-23,2023-06-30,178,False,6.3,2.4228,2.8096,49.93,50.073728913530736,6.5195,5.957135389440669,35988,1534.329
39,begavalley,1200,2025-02-08,2023-24,2024-06-30,223,False,6.88,14.7432,3.7603,58.35,41.65395705740771,7.5523,5.2368702705747605,36593,1534.33
40,begavalley,1212,2025-05-18,2023-24,2024-06-30,322,False,6.88,14.7432,3.7603,58.35,41.65395705740771,7.5523,5.2368702705747605,36593,1534.33
41,begavalley,1217,2025-06-30,2023-24,2024-06-30,365,False,6.88,14.7432,3.7603,58.35,41.65395705740771,7.5523,5.2368702705747605,36593,1534.33
42,begavalley,1260,2026-01-14,2024-25,2025-06-30,198,False,,,,,35.72550799525173,,,36593,1530.37
43,begavalley,1263,2026-01-07,2024-25,2025-06-30,191,False,,,,,35.72550799525173,,,36593,1530.37
44,bellingen,943,2020-12-10,2019-20,2020-06-30,163,False,-2.8,4.18,2.56,72.84,27.159999999999997,5.88,3.6776847098381817,12996,586.1400000000001
45,bellingen,960,2021-03-10,2019-20,2020-06-30,253,False,-2.8,4.18,2.56,72.84,27.159999999999997,5.88,3.6776847098381817,12996,586.1400000000001
46,bellingen,1012,2022-02-22,2020-21,2021-06-30,237,False,-1.99,7.34,2.17,58.37,41.07726944479844,5.2,4.091844904495025,13141,610.081
47,bellingen,1198,2025-03-03,2023-24,2024-06-30,246,False,5.61,19.4303,2.9226,56.15,43.81036878316621,4.3323,6.733270891872204,13278,617.6800000000001
48,bellingen,1212,2025-05-18,2023-24,2024-06-30,322,False,5.61,19.4303,2.9226,56.15,43.81036878316621,4.3323,6.733270891872204,13278,617.6800000000001
49,bellingen,1260,2026-01-14,2024-25,2025-06-30,198,False,,,,,51.62943736563368,,,13278,617.6800000000001
50,berrigan,987,2021-11-09,2020-21,2021-06-30,132,False,4.02,25.87,5.01,50.84,49.15700026975991,15.4,2.1110107915215615,8784,1395.586
51,berrigan,1001,2022-01-05,2020-21,2021-06-30,189,False,4.02,25.87,5.01,50.84,49.15700026975991,15.4,2.1110107915215615,8784,1395.586
52,berrigan,1034,2022-09-14,2021-22,2022-06-30,76,False,-2.0,11.2855,3.9414,53.26,46.736073059360734,10.1538,2.9144283236749713,8612,1392.4
53,blacktown,960,2021-03-10,2019-20,2020-06-30,253,False,-4.61,21.16,2.74,51.14,48.86,80.53,0.2076056248058234,374451,1480.26
54,blacktown,1012,2022-02-22,2020-21,2021-06-30,237,False,-7.75,22.84,3.15,54.48,44.00237440074049,79.57,0.2296422702929809,382831,1506.846
55,blacktown,1025,2022-06-27,2020-21,2021-06-30,362,False,-7.75,22.84,3.15,54.48,44.00237440074049,79.57,0.2296422702929809,382831,1506.846
56,blacktown,1119,2024-04-01,2022-23,2023-06-30,276,False,-3.05,23.0518,2.6366,53.87,46.01218638501316,4.7772,4.2900379679962874,410897,1546.65
57,blacktown,1170,2025-01-15,2023-24,2024-06-30,199,False,-0.01,23.4771,2.801,65.03,34.90655449961488,4.7858,4.730248235219299,438843,1549.46
58,blacktown,1247,2025-11-26,2024-25,2025-06-30,149,False,,,,,38.0163869277068,,,438843,1593.3000000000002
59,bland,987,2021-11-09,2020-21,2021-06-30,132,False,1.6,39.2,19.63,39.89,60.111634509905144,30.13,1.0854017669331089,5937,3146.6000000000004
60,bland,1001,2022-01-05,2020-21,2021-06-30,189,False,1.6,39.2,19.63,39.89,60.111634509905144,30.13,1.0854017669331089,5937,3146.6000000000004
61,bland,1030,2022-08-04,2021-22,2022-06-30,35,False,17.02,46.2705,49.5063,33.17,66.82786074968607,43.9966,0.9618856898985588,5542,3146.6000000000004
62,bland,1034,2022-09-14,2021-22,2022-06-30,76,False,17.02,46.2705,49.5063,33.17,66.82786074968607,43.9966,0.9618856898985588,5542,3146.6000000000004
63,blayney,987,2021-11-09,2020-21,2021-06-30,132,False,-3.74,17.23,3.86,57.54,42.04448972660893,7.26,4.654654654654655,7382,735.3600000000001
64,blayney,1001,2022-01-05,2020-21,2021-06-30,189,False,-3.74,17.23,3.86,57.54,42.04448972660893,7.26,4.654654654654655,7382,735.3600000000001
65,blayney,1034,2022-09-14,2021-22,2022-06-30,76,False,-0.86,15.9722,4.6704,47.9,51.892642922498226,8.4429,3.927769842889206,7508,736.84
66,blayney,1052,2023-03-06,2021-22,2022-06-30,249,False,-0.86,15.9722,4.6704,47.9,51.892642922498226,8.4429,3.927769842889206,7508,736.84
67,blayney,1055,2023-02-17,2021-22,2022-06-30,232,False,-0.86,15.9722,4.6704,47.9,51.892642922498226,8.4429,3.927769842889206,7508,736.84
68,bluemountains,960,2021-03-10,2019-20,2020-06-30,253,False,-3.59,4.21,1.43,84.92,15.079999999999998,2.67,5.147387886412956,79118,747.6199999999999
69,bluemountains,987,2021-11-09,2020-21,2021-06-30,132,False,-0.2,3.7,1.66,78.88,21.124559842702173,3.29,4.370223197833716,79195,747.62
70,bluemountains,1012,2022-02-22,2020-21,2021-06-30,237,False,-0.2,3.7,1.66,78.88,21.124559842702173,3.29,4.370223197833716,79195,747.62
71,bluemountains,1025,2022-06-27,2020-21,2021-06-30,362,False,-0.2,3.7,1.66,78.88,21.124559842702173,3.29,4.370223197833716,79195,747.62
72,bluemountains,1119,2024-04-01,2022-23,2023-06-30,276,False,-5.7,3.6492,1.6599,65.98,33.81156846177281,2.2551,3.7764807106480944,77913,749.12
