year_start,financial_year,feature,councils,usable_numeric,missing,qualifier
2012,2012-13,operating_ratio_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2012,2012-13,cash_cover_months,103,0,103,"Numeric coverage only; definition, vintage and event timing gates remain"
2012,2012-13,current_ratio,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2012,2012-13,own_source_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2012,2012-13,grants_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2012,2012-13,debt_service_cover,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2012,2012-13,debt_service_ratio_pct,103,0,103,"Numeric coverage only; definition, vintage and event timing gates remain"
2012,2012-13,population,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2012,2012-13,road_km,103,0,103,"Numeric coverage only; definition, vintage and event timing gates remain"
2013,2013-14,operating_ratio_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2013,2013-14,cash_cover_months,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2013,2013-14,current_ratio,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2013,2013-14,own_source_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2013,2013-14,grants_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2013,2013-14,debt_service_cover,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2013,2013-14,debt_service_ratio_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2013,2013-14,population,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2013,2013-14,road_km,103,0,103,"Numeric coverage only; definition, vintage and event timing gates remain"
2014,2014-15,operating_ratio_pct,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2014,2014-15,cash_cover_months,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2014,2014-15,current_ratio,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2014,2014-15,own_source_pct,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2014,2014-15,grants_pct,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2014,2014-15,debt_service_cover,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2014,2014-15,debt_service_ratio_pct,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2014,2014-15,population,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2014,2014-15,road_km,103,0,103,"Numeric coverage only; definition, vintage and event timing gates remain"
2015,2015-16,operating_ratio_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2015,2015-16,cash_cover_months,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2015,2015-16,current_ratio,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2015,2015-16,own_source_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2015,2015-16,grants_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2015,2015-16,debt_service_cover,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2015,2015-16,debt_service_ratio_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2015,2015-16,population,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2015,2015-16,road_km,103,0,103,"Numeric coverage only; definition, vintage and event timing gates remain"
2016,2016-17,operating_ratio_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2016,2016-17,cash_cover_months,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2016,2016-17,current_ratio,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2016,2016-17,own_source_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2016,2016-17,grants_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2016,2016-17,debt_service_cover,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2016,2016-17,debt_service_ratio_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2016,2016-17,population,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2016,2016-17,road_km,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2017,2017-18,operating_ratio_pct,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2017,2017-18,cash_cover_months,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2017,2017-18,current_ratio,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2017,2017-18,own_source_pct,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2017,2017-18,grants_pct,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2017,2017-18,debt_service_cover,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2017,2017-18,debt_service_ratio_pct,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2017,2017-18,population,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2017,2017-18,road_km,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2018,2018-19,operating_ratio_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2018,2018-19,cash_cover_months,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2018,2018-19,current_ratio,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2018,2018-19,own_source_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2018,2018-19,grants_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2018,2018-19,debt_service_cover,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2018,2018-19,debt_service_ratio_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2018,2018-19,population,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2018,2018-19,road_km,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2019,2019-20,operating_ratio_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2019,2019-20,cash_cover_months,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2019,2019-20,current_ratio,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2019,2019-20,own_source_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2019,2019-20,grants_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2019,2019-20,debt_service_cover,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2019,2019-20,debt_service_ratio_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2019,2019-20,population,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2019,2019-20,road_km,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2020,2020-21,operating_ratio_pct,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2020,2020-21,cash_cover_months,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2020,2020-21,current_ratio,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2020,2020-21,own_source_pct,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2020,2020-21,grants_pct,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2020,2020-21,debt_service_cover,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2020,2020-21,debt_service_ratio_pct,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2020,2020-21,population,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2020,2020-21,road_km,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2021,2021-22,operating_ratio_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2021,2021-22,cash_cover_months,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2021,2021-22,current_ratio,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2021,2021-22,own_source_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2021,2021-22,grants_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2021,2021-22,debt_service_cover,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2021,2021-22,debt_service_ratio_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2021,2021-22,population,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2021,2021-22,road_km,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2022,2022-23,operating_ratio_pct,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2022,2022-23,cash_cover_months,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2022,2022-23,current_ratio,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2022,2022-23,own_source_pct,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2022,2022-23,grants_pct,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2022,2022-23,debt_service_cover,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2022,2022-23,debt_service_ratio_pct,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2022,2022-23,population,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2022,2022-23,road_km,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2023,2023-24,operating_ratio_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2023,2023-24,cash_cover_months,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2023,2023-24,current_ratio,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2023,2023-24,own_source_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2023,2023-24,grants_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2023,2023-24,debt_service_cover,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2023,2023-24,debt_service_ratio_pct,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2023,2023-24,population,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2023,2023-24,road_km,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2024,2024-25,operating_ratio_pct,103,0,103,"Numeric coverage only; definition, vintage and event timing gates remain"
2024,2024-25,cash_cover_months,103,0,103,"Numeric coverage only; definition, vintage and event timing gates remain"
2024,2024-25,current_ratio,103,0,103,"Numeric coverage only; definition, vintage and event timing gates remain"
2024,2024-25,own_source_pct,103,0,103,"Numeric coverage only; definition, vintage and event timing gates remain"
2024,2024-25,grants_pct,103,102,1,"Numeric coverage only; definition, vintage and event timing gates remain"
2024,2024-25,debt_service_cover,103,0,103,"Numeric coverage only; definition, vintage and event timing gates remain"
2024,2024-25,debt_service_ratio_pct,103,0,103,"Numeric coverage only; definition, vintage and event timing gates remain"
2024,2024-25,population,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
2024,2024-25,road_km,103,103,0,"Numeric coverage only; definition, vintage and event timing gates remain"
