dataset,column,dtype,nonmissing,missing,missing_pct,distinct
fiscal,council_key,object,1339,0,0.0,103
fiscal,council_name,object,1339,0,0.0,103
fiscal,year_start,int64,1339,0,0.0,13
fiscal,financial_year,object,1339,0,0.0,13
fiscal,period_start,object,1339,0,0.0,13
fiscal,period_end,object,1339,0,0.0,13
fiscal,reporting_months,int64,1339,0,0.0,1
fiscal,reporting_period_evidence,object,1339,0,0.0,1
fiscal,source_file,object,1339,0,0.0,12
fiscal,source_sheet,object,1339,0,0.0,9
fiscal,source_excel_row,int64,1339,0,0.0,153
fiscal,historical_extension,bool,1339,0,0.0,2
fiscal,operating_ratio_pct,float64,1232,107,7.991038088125467,1013
fiscal,cash_cover_reported_months,float64,1232,107,7.991038088125467,1177
fiscal,current_ratio,float64,1232,107,7.991038088125467,1056
fiscal,own_source_pct,float64,1232,107,7.991038088125467,1119
fiscal,grants_pct,float64,1334,5,0.37341299477221807,1311
fiscal,debt_service_cover,float64,1232,107,7.991038088125467,1111
fiscal,debt_service_ratio_pct,float64,1129,210,15.683345780433159,1076
fiscal,actual_maintenance_aud,float64,1334,5,0.37341299477221807,1279
fiscal,required_maintenance_aud,float64,1334,5,0.37341299477221807,1264
fiscal,maintenance_reported_pct,float64,1334,5,0.37341299477221807,1106
fiscal,total_revenue_including_capital_aud,float64,1334,5,0.37341299477221807,1329
fiscal,total_expenses_aud,float64,1334,5,0.37341299477221807,1327
fiscal,result_before_capital_aud,float64,615,724,54.07020164301718,600
fiscal,residential_rates_aud,float64,1231,108,8.06572068707991,1193
fiscal,farmland_rates_aud,float64,1229,110,8.215085884988797,1025
fiscal,business_rates_aud,float64,1334,5,0.37341299477221807,1155
fiscal,mining_rates_aud,float64,824,515,38.46153846153847,299
fiscal,population,int64,1339,0,0.0,1216
fiscal,area_km2,float64,1133,206,15.384615384615385,196
fiscal,road_reported_km,float64,1339,0,0.0,892
fiscal,cash_cover_months,float64,1129,210,15.683345780433159,1074
fiscal,cash_definition_status,object,1339,0,0.0,2
fiscal,operating_definition_regime,object,1339,0,0.0,4
fiscal,debt_service_cover_requires_review,bool,1339,0,0.0,2
fiscal,road_scope,object,1339,0,0.0,2
fiscal,road_km,float64,927,412,30.76923076923077,629
fiscal,maintenance_gap_aud,float64,1334,5,0.37341299477221807,1154
fiscal,maintenance_calculated_pct,float64,1334,5,0.37341299477221807,1270
fiscal,maintenance_difference_pp,float64,1334,5,0.37341299477221807,1262
fiscal,maintenance_conflict,bool,1339,0,0.0,2
fiscal,maintenance_ratio_pct,float64,1327,12,0.8961911874533234,1263
fiscal,maintenance_basis,object,1339,0,0.0,1
fiscal,fesm_burned_ha,float64,721,618,46.15384615384615,305
fiscal,fesm_burned_pct_raw,object,721,618,46.15384615384615,141
fiscal,fesm_extent_only_ha,float64,206,1133,84.61538461538461,94
fiscal,fesm_min_fire_size_ha_exclusive,float64,721,618,46.15384615384615,2
fiscal,fesm_source_file,object,721,618,46.15384615384615,7
fiscal,fesm_excel_total_row,float64,721,618,46.15384615384615,195
fiscal,fesm_status,object,824,515,38.46153846153847,3
fiscal,boundary_change_flag,object,824,515,38.46153846153847,1
fiscal,boundary_compatibility,object,824,515,38.46153846153847,1
fiscal,physical_flood_status,object,824,515,38.46153846153847,1
fiscal,verified_zero_all_disaster_exposure,object,824,515,38.46153846153847,1
fiscal,bushfire_declared_event_count,float64,824,515,38.46153846153847,4
fiscal,bushfire_agrns,object,138,1201,89.69380134428678,76
fiscal,bushfire_declaration_status,object,824,515,38.46153846153847,2
fiscal,flood_declared_event_count,float64,824,515,38.46153846153847,6
fiscal,flood_agrns,object,398,941,70.27632561613144,68
fiscal,flood_declaration_status,object,824,515,38.46153846153847,2
fiscal,all_declared_event_count,float64,824,515,38.46153846153847,7
fiscal,all_declaration_status,object,824,515,38.46153846153847,2
fiscal,source_list_disagreement_count,float64,824,515,38.46153846153847,2
fiscal,open_ended_onset_event_count,float64,824,515,38.46153846153847,7
fiscal,known_prior_year_carryover_count,float64,824,515,38.46153846153847,1
fiscal,prior_fy_declared_event_count,float64,824,515,38.46153846153847,7
fiscal,direct_infrastructure_damage_documented,float64,5,1334,99.62658700522779,1
fiscal,direct_infrastructure_evidence_ids,object,5,1334,99.62658700522779,5
fiscal,exposure_coverage_status,object,1339,0,0.0,2
fiscal,rates_annual_charges_aud,float64,9,1330,99.32785660941,9
fiscal,user_charges_fees_aud,float64,9,1330,99.32785660941,9
fiscal,other_revenue_aud,float64,9,1330,99.32785660941,9
fiscal,operating_grants_aud,float64,9,1330,99.32785660941,9
fiscal,capital_grants_aud,float64,9,1330,99.32785660941,9
fiscal,interest_investment_aud,float64,9,1330,99.32785660941,9
fiscal,employee_cost_aud,float64,9,1330,99.32785660941,9
fiscal,materials_services_aud,float64,9,1330,99.32785660941,9
