Location_Name,Location_Type,Location_code,STATE,event_name,agrn,cat_A,cat_B,cat_C,cat_D,highest_drfa_category_group,AGDRP,DRA,hazard_type,disaster_start_date,source_csv_row,parsed_start,fy_start,nsw_fy_quarter,council_key,join_status,local_impact_onset_verified,quarter_note
Albury,LGA,10050,New South Wales,AGRN 1001 - NSW - Southern NSW Storm and Floods (5 January 2022 onwards),1001,1,1,0,1,C/D,0,0,Flood,2022-01-05,2,2022-01-05,2021,3,albury,EXACT_NORMALISED_NAME; boundary vintage not verified,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Albury,LGA,10050,New South Wales,AGRN 1030 - Southern and Central West Flooding (4 August 2022 onwards),1030,1,1,0,1,C/D,0,0,Flood,2022-08-04,3,2022-08-04,2022,1,albury,EXACT_NORMALISED_NAME; boundary vintage not verified,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Albury,LGA,10050,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,0,1,Flood,2022-09-14,4,2022-09-14,2022,1,albury,EXACT_NORMALISED_NAME; boundary vintage not verified,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Armidale,LGA,10180,New South Wales,AGRN 936 - NSW Storms and Floods (20 October 2020 onwards),936,1,1,0,0,A/B,0,0,Storm,2020-10-20,5,2020-10-20,2020,2,,UNMATCHED; do not assign exposure zero,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Armidale,LGA,10180,New South Wales,AGRN 943 - NSW Storms and Floods (10 December 2020 onwards),943,1,1,0,0,A/B,0,0,Storm,2020-12-10,6,2020-12-10,2020,2,,UNMATCHED; do not assign exposure zero,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Armidale,LGA,10180,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,1,1,Flood,2021-03-10,7,2021-03-10,2020,3,,UNMATCHED; do not assign exposure zero,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Armidale,LGA,10180,New South Wales,AGRN 979 - NSW - Armidale Storm (14 October 2021),979,1,1,0,0,A/B,0,0,Storm,2021-10-14,8,2021-10-14,2021,2,,UNMATCHED; do not assign exposure zero,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Armidale,LGA,10180,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,1,1,1,1,C/D,1,1,Flood,2022-02-22,9,2022-02-22,2021,3,,UNMATCHED; do not assign exposure zero,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Armidale,LGA,10180,New South Wales,AGRN 1071 - North Eastern NSW Bushfires (21 August 2023 onwards),1071,0,1,0,0,A/B,0,0,Bushfire,2023-08-21,10,2023-08-21,2023,1,,UNMATCHED; do not assign exposure zero,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Armidale,LGA,10180,New South Wales,AGRN 1112 - Armidale NSW Bushfires (9 December - 23 December 2023),1112,0,1,0,0,A/B,0,0,Bushfire,2023-12-09,11,2023-12-09,2023,2,,UNMATCHED; do not assign exposure zero,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Armidale,LGA,10180,New South Wales,AGRN 1119 - NSW East Coast Flooding (from 1 April 2024 onwards),1119,1,1,0,0,A/B,0,0,Flood,2024-04-01,12,2024-04-01,2023,4,,UNMATCHED; do not assign exposure zero,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Armidale,LGA,10180,New South Wales,AGRN 1198 - Tropical Cyclone Alfred Severe Weather (from 3 March 2025),1198,1,1,1,1,C/D,0,1,Cyclone,2025-03-03,13,2025-03-03,2024,3,,UNMATCHED; do not assign exposure zero,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Armidale,LGA,10180,New South Wales,AGRN 1212- NSW East Coast Severe Weather (from 18 May 2025),1212,1,1,1,1,C/D,0,1,Storm,2025-05-18,14,2025-05-18,2024,4,,UNMATCHED; do not assign exposure zero,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Armidale,LGA,10180,New South Wales,AGRN 1216 - NSW Severe Weather Event (from 31 July onwards),1216,1,1,0,0,A/B,0,0,Storm,2025-07-31,15,2025-07-31,2025,1,,UNMATCHED; do not assign exposure zero,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Ballina,LGA,10250,New South Wales,AGRN 943 - NSW Storms and Floods (10 December 2020 onwards),943,1,1,0,0,A/B,0,0,Storm,2020-12-10,16,2020-12-10,2020,2,ballina,EXACT_NORMALISED_NAME; boundary vintage not verified,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Ballina,LGA,10250,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,1,1,Flood,2021-03-10,17,2021-03-10,2020,3,ballina,EXACT_NORMALISED_NAME; boundary vintage not verified,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Ballina,LGA,10250,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,1,1,1,1,C/D,1,1,Flood,2022-02-22,18,2022-02-22,2021,3,ballina,EXACT_NORMALISED_NAME; boundary vintage not verified,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Ballina,LGA,10250,New South Wales,AGRN 1198 - Tropical Cyclone Alfred Severe Weather (from 3 March 2025),1198,1,1,1,1,C/D,1,1,Cyclone,2025-03-03,19,2025-03-03,2024,3,ballina,EXACT_NORMALISED_NAME; boundary vintage not verified,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Balranald,LGA,10300,New South Wales,AGRN 987 - NSW Severe Weather and Flooding from 9 November 2021 onwards,987,1,1,0,1,C/D,0,0,Flood,2021-11-09,20,2021-11-09,2021,2,balranald,EXACT_NORMALISED_NAME; boundary vintage not verified,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Balranald,LGA,10300,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,1,1,Flood,2022-09-14,21,2022-09-14,2022,1,balranald,EXACT_NORMALISED_NAME; boundary vintage not verified,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Bathurst,LGA,10470,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,1,1,Flood,2021-03-10,22,2021-03-10,2020,3,,UNMATCHED; do not assign exposure zero,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Bathurst,LGA,10470,New South Wales,AGRN 987 - NSW Severe Weather and Flooding from 9 November 2021 onwards,987,1,1,0,1,C/D,0,1,Flood,2021-11-09,23,2021-11-09,2021,2,,UNMATCHED; do not assign exposure zero,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Bathurst,LGA,10470,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,1,1,Flood,2022-09-14,24,2022-09-14,2022,1,,UNMATCHED; do not assign exposure zero,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Bathurst,LGA,10470,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,1,1,0,0,A/B,0,0,Bushfire,2023-03-06,25,2023-03-06,2022,3,,UNMATCHED; do not assign exposure zero,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
Bathurst,LGA,10470,New South Wales,AGRN 1193 - Bathurst and Lithgow NSW Bushfire (23 December 2024 - 11 January 2025),1193,0,1,0,0,A/B,0,0,Bushfire,2024-12-23,26,2024-12-23,2024,2,,UNMATCHED; do not assign exposure zero,False,"Event-wide listed start quarter, not council-specific impact or budget decision quarter; current activation snapshot incomplete as event universe"
