council_key,budget_year_start,fiscal_year_start,variable,value,unit,period_end,lag_years,known_original_decision_date,period_precedes_known_original_decision,publication_date,availability_status,definition_status,inclusion_reason,model_eligible,source_id
ballina,2017,2016,operating_ratio_pct,8.88,percent,2017-06-30,1,,,,economic_period_only_publication_unverified,Pre-AASB15/1058,Prior operating balance relative to revenue,0,inherited_fiscal_v2
ballina,2017,2016,cash_cover_months,12.0067,months,2017-06-30,1,,,,economic_period_only_publication_unverified,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Liquidity buffer; preserve cash definition caveat,0,inherited_fiscal_v2
ballina,2017,2016,current_ratio,4.8827,ratio,2017-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,inherited_fiscal_v2
ballina,2017,2016,own_source_pct,64.59,percent,2017-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Locally controlled revenue share,0,inherited_fiscal_v2
ballina,2017,2016,grants_pct,35.364813590002434,percent,2017-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,inherited_fiscal_v2
ballina,2017,2016,debt_service_cover,2.7264,ratio,2017-06-30,1,,,,economic_period_only_publication_unverified,debt_review_flag=False,Debt servicing capacity; preserve quality flags,0,inherited_fiscal_v2
ballina,2017,2016,population,42626.0,persons,2017-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Council service scale,0,inherited_fiscal_v2
ballina,2017,2016,road_km,685.6500000000001,kilometres,2017-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Infrastructure network scale,0,inherited_fiscal_v2
ballina,2017,2015,operating_ratio_pct,-1.51,percent,2016-06-30,2,,,,economic_period_only_publication_unverified,Pre-AASB15/1058,Prior operating balance relative to revenue,0,inherited_fiscal_v2
ballina,2017,2015,cash_cover_months,10.27,months,2016-06-30,2,,,,economic_period_only_publication_unverified,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Liquidity buffer; preserve cash definition caveat,0,inherited_fiscal_v2
ballina,2017,2015,current_ratio,4.2,ratio,2016-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,inherited_fiscal_v2
ballina,2017,2015,own_source_pct,74.98,percent,2016-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Locally controlled revenue share,0,inherited_fiscal_v2
ballina,2017,2015,grants_pct,25.019999999999996,percent,2016-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,inherited_fiscal_v2
ballina,2017,2015,debt_service_cover,2.03,ratio,2016-06-30,2,,,,economic_period_only_publication_unverified,debt_review_flag=False,Debt servicing capacity; preserve quality flags,0,inherited_fiscal_v2
ballina,2017,2015,population,41828.0,persons,2016-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Council service scale,0,inherited_fiscal_v2
ballina,2017,2015,road_km,,kilometres,2016-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Infrastructure network scale,0,inherited_fiscal_v2
ballina,2018,2017,operating_ratio_pct,3.12,percent,2018-06-30,1,,,,economic_period_only_publication_unverified,Pre-AASB15/1058,Prior operating balance relative to revenue,0,inherited_fiscal_v2
ballina,2018,2017,cash_cover_months,10.01,months,2018-06-30,1,,,,economic_period_only_publication_unverified,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Liquidity buffer; preserve cash definition caveat,0,inherited_fiscal_v2
ballina,2018,2017,current_ratio,4.84,ratio,2018-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,inherited_fiscal_v2
ballina,2018,2017,own_source_pct,59.66,percent,2018-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Locally controlled revenue share,0,inherited_fiscal_v2
ballina,2018,2017,grants_pct,39.96559932234541,percent,2018-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,inherited_fiscal_v2
ballina,2018,2017,debt_service_cover,2.38,ratio,2018-06-30,1,,,,economic_period_only_publication_unverified,debt_review_flag=False,Debt servicing capacity; preserve quality flags,0,inherited_fiscal_v2
ballina,2018,2017,population,43457.0,persons,2018-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Council service scale,0,inherited_fiscal_v2
ballina,2018,2017,road_km,693.0909999999999,kilometres,2018-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Infrastructure network scale,0,inherited_fiscal_v2
ballina,2018,2016,operating_ratio_pct,8.88,percent,2017-06-30,2,,,,economic_period_only_publication_unverified,Pre-AASB15/1058,Prior operating balance relative to revenue,0,inherited_fiscal_v2
ballina,2018,2016,cash_cover_months,12.0067,months,2017-06-30,2,,,,economic_period_only_publication_unverified,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Liquidity buffer; preserve cash definition caveat,0,inherited_fiscal_v2
ballina,2018,2016,current_ratio,4.8827,ratio,2017-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,inherited_fiscal_v2
ballina,2018,2016,own_source_pct,64.59,percent,2017-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Locally controlled revenue share,0,inherited_fiscal_v2
ballina,2018,2016,grants_pct,35.364813590002434,percent,2017-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,inherited_fiscal_v2
ballina,2018,2016,debt_service_cover,2.7264,ratio,2017-06-30,2,,,,economic_period_only_publication_unverified,debt_review_flag=False,Debt servicing capacity; preserve quality flags,0,inherited_fiscal_v2
ballina,2018,2016,population,42626.0,persons,2017-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Council service scale,0,inherited_fiscal_v2
ballina,2018,2016,road_km,685.6500000000001,kilometres,2017-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Infrastructure network scale,0,inherited_fiscal_v2
ballina,2019,2018,operating_ratio_pct,6.96,percent,2019-06-30,1,,,,economic_period_only_publication_unverified,Pre-AASB15/1058,Prior operating balance relative to revenue,0,inherited_fiscal_v2
ballina,2019,2018,cash_cover_months,12.69,months,2019-06-30,1,,,,economic_period_only_publication_unverified,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Liquidity buffer; preserve cash definition caveat,0,inherited_fiscal_v2
ballina,2019,2018,current_ratio,3.21,ratio,2019-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,inherited_fiscal_v2
ballina,2019,2018,own_source_pct,63.72,percent,2019-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Locally controlled revenue share,0,inherited_fiscal_v2
ballina,2019,2018,grants_pct,36.28,percent,2019-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,inherited_fiscal_v2
ballina,2019,2018,debt_service_cover,2.69,ratio,2019-06-30,1,,,,economic_period_only_publication_unverified,debt_review_flag=False,Debt servicing capacity; preserve quality flags,0,inherited_fiscal_v2
ballina,2019,2018,population,44208.0,persons,2019-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Council service scale,0,inherited_fiscal_v2
ballina,2019,2018,road_km,699.2380999999999,kilometres,2019-06-30,1,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Infrastructure network scale,0,inherited_fiscal_v2
ballina,2019,2017,operating_ratio_pct,3.12,percent,2018-06-30,2,,,,economic_period_only_publication_unverified,Pre-AASB15/1058,Prior operating balance relative to revenue,0,inherited_fiscal_v2
ballina,2019,2017,cash_cover_months,10.01,months,2018-06-30,2,,,,economic_period_only_publication_unverified,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Liquidity buffer; preserve cash definition caveat,0,inherited_fiscal_v2
ballina,2019,2017,current_ratio,4.84,ratio,2018-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,inherited_fiscal_v2
ballina,2019,2017,own_source_pct,59.66,percent,2018-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Locally controlled revenue share,0,inherited_fiscal_v2
ballina,2019,2017,grants_pct,39.96559932234541,percent,2018-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,inherited_fiscal_v2
ballina,2019,2017,debt_service_cover,2.38,ratio,2018-06-30,2,,,,economic_period_only_publication_unverified,debt_review_flag=False,Debt servicing capacity; preserve quality flags,0,inherited_fiscal_v2
ballina,2019,2017,population,43457.0,persons,2018-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Council service scale,0,inherited_fiscal_v2
ballina,2019,2017,road_km,693.0909999999999,kilometres,2018-06-30,2,,,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Infrastructure network scale,0,inherited_fiscal_v2
ballina,2020,2019,operating_ratio_pct,3.39,percent,2020-06-30,1,2020-06-25,0,,value_conflict_requires_reconciliation,AASB15/1058 and lease regime;direct_report_value_conflict,Prior operating balance relative to revenue,0,inherited_fiscal_v2
ballina,2020,2019,cash_cover_months,9.99,months,2020-06-30,1,2020-06-25,0,,not_pre_adoption_period,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Liquidity buffer; preserve cash definition caveat,0,inherited_fiscal_v2
ballina,2020,2019,current_ratio,2.59,ratio,2020-06-30,1,2020-06-25,0,,not_pre_adoption_period,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,inherited_fiscal_v2
ballina,2020,2019,own_source_pct,69.59,percent,2020-06-30,1,2020-06-25,0,,value_conflict_requires_reconciliation,inherited_definition_requires_comparability_check;direct_report_value_conflict,Locally controlled revenue share,0,inherited_fiscal_v2
ballina,2020,2019,grants_pct,30.409999999999997,percent,2020-06-30,1,2020-06-25,0,,not_pre_adoption_period,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,inherited_fiscal_v2
ballina,2020,2019,debt_service_cover,2.59,ratio,2020-06-30,1,2020-06-25,0,,value_conflict_requires_reconciliation,debt_review_flag=False;direct_report_value_conflict,Debt servicing capacity; preserve quality flags,0,inherited_fiscal_v2
ballina,2020,2019,population,44628.0,persons,2020-06-30,1,2020-06-25,0,,not_pre_adoption_period,inherited_definition_requires_comparability_check,Council service scale,0,inherited_fiscal_v2
ballina,2020,2019,road_km,703.757,kilometres,2020-06-30,1,2020-06-25,0,,not_pre_adoption_period,inherited_definition_requires_comparability_check,Infrastructure network scale,0,inherited_fiscal_v2
ballina,2020,2018,operating_ratio_pct,6.96,percent,2019-06-30,2,2020-06-25,1,,economic_period_only_publication_unverified,Pre-AASB15/1058,Prior operating balance relative to revenue,0,inherited_fiscal_v2
ballina,2020,2018,cash_cover_months,12.69,months,2019-06-30,2,2020-06-25,1,,economic_period_only_publication_unverified,"Includes term deposits; cash-flow-based measure, detailed vintage exclusions remain subject to audit",Liquidity buffer; preserve cash definition caveat,0,inherited_fiscal_v2
ballina,2020,2018,current_ratio,3.21,ratio,2019-06-30,2,2020-06-25,1,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Short-term financial obligations coverage,0,inherited_fiscal_v2
ballina,2020,2018,own_source_pct,63.72,percent,2019-06-30,2,2020-06-25,1,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Locally controlled revenue share,0,inherited_fiscal_v2
ballina,2020,2018,grants_pct,36.28,percent,2019-06-30,2,2020-06-25,1,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Grant reliance; denominator must be harmonised,0,inherited_fiscal_v2
ballina,2020,2018,debt_service_cover,2.69,ratio,2019-06-30,2,2020-06-25,1,,economic_period_only_publication_unverified,debt_review_flag=False,Debt servicing capacity; preserve quality flags,0,inherited_fiscal_v2
ballina,2020,2018,population,44208.0,persons,2019-06-30,2,2020-06-25,1,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Council service scale,0,inherited_fiscal_v2
ballina,2020,2018,road_km,699.2380999999999,kilometres,2019-06-30,2,2020-06-25,1,,economic_period_only_publication_unverified,inherited_definition_requires_comparability_check,Infrastructure network scale,0,inherited_fiscal_v2
eurobodalla,2019,2018,operating_ratio_pct,3.43,percent,2019-06-30,1,,,,economic_period_only_publication_unverified,Pre-AASB15/1058,Prior operating balance relative to revenue,0,inherited_fiscal_v2
